!Keysight Technologies,E4990A,MY54302543,A.03.06
!Date: Tue Mar 24 14:52:03 2026

BEGIN CH1_DATA
DCV(V), +1.851e-004, DCI(A), -2.556e-006
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data, Ls(H)-data, Rs(Ohm)-data
+1.00000000000e+003, +1.31805928802e+001, +8.57486233890e+001, +2.09198433187e-003, +9.77109649249e-001
+1.00733600000e+003, +1.32726217445e+001, +8.57630723490e+001, +2.09128860919e-003, +9.80594037826e-001
+1.01472600000e+003, +1.33675650828e+001, +8.57518557284e+001, +2.09087861714e-003, +9.90218299571e-001
+1.02217100000e+003, +1.34637157109e+001, +8.57383547727e+001, +2.09054281316e-003, +1.00050456570e+000
+1.02967000000e+003, +1.35607170275e+001, +8.57242600873e+001, +2.09023111554e-003, +1.01103951205e+000
+1.03722400000e+003, +1.36586767097e+001, +8.57067681808e+001, +2.08994977663e-003, +1.02250126532e+000
+1.04483300000e+003, +1.37575608270e+001, +8.56898759566e+001, +2.08970369568e-003, +1.03394846817e+000
+1.05249800000e+003, +1.38566941615e+001, +8.56728935816e+001, +2.08938648615e-003, +1.04549426679e+000
+1.06022000000e+003, +1.39560745159e+001, +8.56559932008e+001, +2.08899790394e-003, +1.05709736800e+000
+1.06799800000e+003, +1.40560969138e+001, +8.56380633894e+001, +2.08859712282e-003, +1.06905947082e+000
+1.07583300000e+003, +1.41556166439e+001, +8.56205827962e+001, +2.08801770024e-003, +1.08093483968e+000
+1.08372600000e+003, +1.42557488096e+001, +8.56022097878e+001, +2.08742124084e-003, +1.09313899676e+000
+1.09167600000e+003, +1.43566549114e+001, +8.55848155729e+001, +2.08683876515e-003, +1.10522213515e+000
+1.09968500000e+003, +1.44583683932e+001, +8.55677063021e+001, +2.08626921155e-003, +1.11735696690e+000
+1.10775300000e+003, +1.45612881310e+001, +8.55508318969e+001, +2.08576939830e-003, +1.12958633367e+000
+1.11588000000e+003, +1.46653052008e+001, +8.55358718416e+001, +2.08532718260e-003, +1.14147298390e+000
+1.12406600000e+003, +1.47703746522e+001, +8.55206118037e+001, +2.08492888517e-003, +1.15357299251e+000
+1.13231200000e+003, +1.48758907025e+001, +8.55070058584e+001, +2.08449243776e-003, +1.16533557723e+000
+1.14061900000e+003, +1.49827743578e+001, +8.54914944897e+001, +2.08413495485e-003, +1.17775223850e+000
+1.14898700000e+003, +1.50901400709e+001, +8.54767027544e+001, +2.08373986707e-003, +1.19007558836e+000
+1.15741700000e+003, +1.51981537770e+001, +8.54620304592e+001, +2.08332732349e-003, +1.20247380952e+000
+1.16590800000e+003, +1.53069484345e+001, +8.54473176098e+001, +2.08291718679e-003, +1.21499988683e+000
+1.17446100000e+003, +1.54164860156e+001, +8.54322998789e+001, +2.08250177811e-003, +1.22772251572e+000
+1.18307800000e+003, +1.55268452878e+001, +8.54168730857e+001, +2.08208797967e-003, +1.24067845034e+000
+1.19175700000e+003, +1.56378673361e+001, +8.54010168340e+001, +2.08165805552e-003, +1.25386350609e+000
+1.20050000000e+003, +1.57495887332e+001, +8.53847208318e+001, +2.08121370895e-003, +1.26728647250e+000
+1.20930700000e+003, +1.58621921676e+001, +8.53665528731e+001, +2.08077502283e-003, +1.28136045805e+000
+1.21817900000e+003, +1.59752781626e+001, +8.53484574929e+001, +2.08029376840e-003, +1.29552445676e+000
