!Keysight Technologies,E4990A,MY54302543,A.03.06
!Date: Tue Mar 24 14:54:32 2026

BEGIN CH1_DATA
DCV(V), +4.164e-005, DCI(A), -3.882e-007
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data, Ls(H)-data, Rs(Ohm)-data
+1.00000000000e+003, +1.14099703715e+001, +8.67590780131e+001, +1.81304882318e-003, +6.45058116213e-001
+1.00733600000e+003, +1.14932208012e+001, +8.67761975682e+001, +1.81300794086e-003, +6.46336020036e-001
+1.01472600000e+003, +1.15765533460e+001, +8.67678537982e+001, +1.81283898972e-003, +6.52705507981e-001
+1.02217100000e+003, +1.16603731327e+001, +8.67563102462e+001, +1.81264470526e-003, +6.59776908131e-001
+1.02967000000e+003, +1.17453763330e+001, +8.67448069620e+001, +1.81254050600e-003, +6.66940959787e-001
+1.03722400000e+003, +1.18311577303e+001, +8.67306899990e+001, +1.81245583102e-003, +6.74722234054e-001
+1.04483300000e+003, +1.19174479443e+001, +8.67150597084e+001, +1.81235113259e-003, +6.82889065331e-001
+1.05249800000e+003, +1.20043311560e+001, +8.66995500316e+001, +1.81224072464e-003, +6.91111761127e-001
+1.06022000000e+003, +1.20910645644e+001, +8.66849747441e+001, +1.81201321206e-003, +6.99175847915e-001
+1.06799800000e+003, +1.21786371090e+001, +8.66699407826e+001, +1.81181748719e-003, +7.07430010038e-001
+1.07583300000e+003, +1.22651752095e+001, +8.66540289797e+001, +1.81137369635e-003, +7.15857240227e-001
+1.08372600000e+003, +1.23526197181e+001, +8.66385443721e+001, +1.81097253074e-003, +7.24293610473e-001
+1.09167600000e+003, +1.24407186924e+001, +8.66229356223e+001, +1.81057711199e-003, +7.32842570952e-001
+1.09968500000e+003, +1.25296179608e+001, +8.66088704066e+001, +1.81020826059e-003, +7.41149801135e-001
+1.10775300000e+003, +1.26194211536e+001, +8.65950090857e+001, +1.80987789380e-003, +7.49509418653e-001
+1.11588000000e+003, +1.27101282896e+001, +8.65817634161e+001, +1.80958601368e-003, +7.57829944350e-001
+1.12406600000e+003, +1.28022958625e+001, +8.65698640665e+001, +1.80941189722e-003, +7.65979423083e-001
+1.13231200000e+003, +1.28948593366e+001, +8.65578507296e+001, +1.80919935931e-003, +7.74216460255e-001
+1.14061900000e+003, +1.29880231468e+001, +8.65464991983e+001, +1.80897762226e-003, +7.82378631518e-001
+1.14898700000e+003, +1.30821119789e+001, +8.65338618871e+001, +1.80878812515e-003, +7.90926565440e-001
+1.15741700000e+003, +1.31765759891e+001, +8.65220039508e+001, +1.80855704407e-003, +7.99359749020e-001
+1.16590800000e+003, +1.32718901903e+001, +8.65102285998e+001, +1.80835029378e-003, +8.07864585113e-001
+1.17446100000e+003, +1.33675769391e+001, +8.64993340102e+001, +1.80810277316e-003, +8.16226140281e-001
+1.18307800000e+003, +1.34642148257e+001, +8.64861768420e+001, +1.80788399980e-003, +8.25212939626e-001
+1.19175700000e+003, +1.35614584176e+001, +8.64728271539e+001, +1.80765425241e-003, +8.34326738802e-001
+1.20050000000e+003, +1.36592742907e+001, +8.64586652254e+001, +1.80740514332e-003, +8.43714330396e-001
+1.20930700000e+003, +1.37576832743e+001, +8.64431992839e+001, +1.80713884567e-003, +8.53499427385e-001
+1.21817900000e+003, +1.38572018643e+001, +8.64268823553e+001, +1.80692243811e-003, +8.63612038462e-001
+1.22711600000e+003, +1.39568746648e+001, +8.64109521207e+001, +1.80663358185e-003, +8.73696795127e-001
+1.23611900000e+003, +1.40574103356e+001, +8.63945318080e+001, +1.80636177547e-003, +8.84011057325e-001
+1.24518700000e+003, +1.41586112824e+001, +8.63782516773e+001, +1.80608415222e-003, +8.94390212440e-001
+1.25432200000e+003, +1.42603392309e+001, +8.63631450292e+001, +1.80578256475e-003, +9.04568651583e-001
+1.26352400000e+003, +1.43625400347e+001, +8.63478901710e+001, +1.80544818928e-003, +9.14867758856e-001
+1.27279400000e+003, +1.44654433424e+001, +8.63324642477e+001, +1.80510896698e-003, +9.25309147382e-001
+1.28213200000e+003, +1.45691340733e+001, +8.63168224396e+001, +1.80477546676e-003, +9.35911127536e-001
+1.29153800000e+003, +1.46738577386e+001, +8.63013594456e+001, +1.80447858911e-003, +9.46590472576e-001
+1.30101300000e+003, +1.47793219757e+001, +8.62854516410e+001, +1.80417923751e-003, +9.57488626241e-001
+1.31055700000e+003, +1.48859846856e+001, +8.62676085096e+001, +1.80392990350e-003, +9.69024872210e-001
+1.32017200000e+003, +1.49931886890e+001, +8.62498609336e+001, +1.80365178973e-003, +9.80637770441e-001
+1.32985700000e+003, +1.51011449252e+001, +8.62323933863e+001, +1.80337249299e-003, +9.92292632575e-001
+1.33961400000e+003, +1.52100575957e+001, +8.62167854348e+001, +1.80311689750e-003, +1.00358364029e+000
+1.34944100000e+003, +1.53195101083e+001, +8.62004480982e+001, +1.80283288890e-003, +1.01516413982e+000
+1.35934100000e+003, +1.54296528609e+001, +8.61875512789e+001, +1.80254340743e-003, +1.02592830110e+000
+1.36931400000e+003, +1.55405756109e+001, +8.61737599365e+001, +1.80225013260e-003, +1.03703600749e+000
+1.37936000000e+003, +1.56523343436e+001, +8.61600473093e+001, +1.80196162661e-003, +1.04823146504e+000
