!Keysight Technologies,E4990A,MY54302543,A.03.06
!Date: Tue Mar 24 14:05:22 2026

BEGIN CH1_DATA
DCV(V), +3.442e-004, DCI(A), +3.352e-006
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data, Ls(H)-data, Rs(Ohm)-data
+1.00000000000e+003, +1.59441894503e-001, +8.74513796204e+001, +2.53508649359e-005, +7.08992657557e-003
+1.00733600000e+003, +1.61118615719e-001, +8.75779074494e+001, +2.54333360961e-005, +6.80901772784e-003
+1.01472600000e+003, +1.62855173843e-001, +8.76654268559e+001, +2.55218580272e-005, +6.63385897443e-003
+1.02217100000e+003, +1.64740788667e-001, +8.77224654188e+001, +2.56303485428e-005, +6.54680055698e-003
+1.02967000000e+003, +1.66606979272e-001, +8.76941482663e+001, +2.57314030734e-005, +6.70323889085e-003
+1.03722400000e+003, +1.69189032385e-001, +8.75356257005e+001, +2.59368922669e-005, +7.27482131510e-003
+1.04483300000e+003, +1.71314851042e-001, +8.74217097995e+001, +2.60692417130e-005, +7.70650734192e-003
+1.05249800000e+003, +1.73276356322e-001, +8.72413436753e+001, +2.61718591967e-005, +8.33962387935e-003
+1.06022000000e+003, +1.74945519330e-001, +8.71163260659e+001, +2.62286949240e-005, +8.80122205039e-003
+1.06799800000e+003, +1.76383806877e-001, +8.69702232596e+001, +2.62482843886e-005, +9.32275536685e-003
+1.07583300000e+003, +1.76580711075e-001, +8.67772648908e+001, +2.60814160084e-005, +9.92695868483e-003
+1.08372600000e+003, +1.76597916331e-001, +8.66219045714e+001, +2.58899337855e-005, +1.04059854718e-002
+1.09167600000e+003, +1.76780136525e-001, +8.64993761458e+001, +2.57246065787e-005, +1.07940903995e-002
+1.09968500000e+003, +1.77253967126e-001, +8.64284288310e+001, +2.56037436545e-005, +1.10420915767e-002
+1.10775300000e+003, +1.77843699279e-001, +8.64035922002e+001, +2.55011381979e-005, +1.11557702140e-002
+1.11588000000e+003, +1.79091745029e-001, +8.64745517477e+001, +2.54950320322e-005, +1.10126846646e-002
+1.12406600000e+003, +1.80698664189e-001, +8.66646849435e+001, +2.55415357642e-005, +1.05129322655e-002
+1.13231200000e+003, +1.82387636626e-001, +8.68010293420e+001, +2.55960033119e-005, +1.01778808080e-002
+1.14061900000e+003, +1.83969332311e-001, +8.70094914736e+001, +2.56349888523e-005, +9.59777666686e-003
+1.14898700000e+003, +1.85401608152e-001, +8.71516051020e+001, +2.56496604131e-005, +9.21323519644e-003
+1.15741700000e+003, +1.87025233303e-001, +8.73149681779e+001, +2.56893683831e-005, +8.76128965615e-003
+1.16590800000e+003, +1.88730708989e-001, +8.74902709696e+001, +2.57384059154e-005, +8.26433443872e-003
+1.17446100000e+003, +1.90315286432e-001, +8.76739221137e+001, +2.57689788920e-005, +7.72424406136e-003
+1.18307800000e+003, +1.91960752993e-001, +8.78192360737e+001, +2.58050405264e-005, +7.30455230200e-003
+1.19175700000e+003, +1.93658927766e-001, +8.79213351168e+001, +2.58454483234e-005, +7.02431688405e-003
+1.20050000000e+003, +1.95175896853e-001, +8.80124735312e+001, +2.58596594456e-005, +6.76907568151e-003
+1.20930700000e+003, +1.96821348184e-001, +8.79059317593e+001, +2.58860413554e-005, +7.19190113221e-003
+1.21817900000e+003, +1.98316969193e-001, +8.78307917546e+001, +2.58915215952e-005, +7.50645240572e-003
+1.22711600000e+003, +1.99875681141e-001, +8.77729525785e+001, +2.59039692500e-005, +7.76707370826e-003
+1.23611900000e+003, +2.01323304804e-001, +8.76810093349e+001, +2.58998998357e-005, +8.14613943398e-003
+1.24518700000e+003, +2.02711720983e-001, +8.76515634314e+001, +2.58880597496e-005, +8.30641169635e-003
+1.25432200000e+003, +2.03973283175e-001, +8.76478343591e+001, +2.58593917924e-005, +8.37137041745e-003
+1.26352400000e+003, +2.04958254058e-001, +8.76988466783e+001, +2.57959595350e-005, +8.22946446267e-003
+1.27279400000e+003, +2.05975889202e-001, +8.77386232170e+001, +2.57359407168e-005, +8.12744282038e-003
+1.28213200000e+003, +2.07177883860e-001, +8.77877617263e+001, +2.56984530891e-005, +7.99732507019e-003
+1.29153800000e+003, +2.08467473996e-001, +8.77796141824e+001, +2.56699518503e-005, +8.07672706474e-003
+1.30101300000e+003, +2.10011040201e-001, +8.77622907899e+001, +2.56713860324e-005, +8.19997882251e-003
+1.31055700000e+003, +2.11781857422e-001, +8.76131032116e+001, +2.56966201220e-005, +8.82011270086e-003
+1.32017200000e+003, +2.13607668790e-001, +8.74857177168e+001, +2.57269418859e-005, +9.37063127594e-003
+1.32985700000e+003, +2.15457482704e-001, +8.74206869585e+001, +2.57594481861e-005, +9.69608255908e-003
+1.33961400000e+003, +2.17238562560e-001, +8.73765197054e+001, +2.57823173590e-005, +9.94352405691e-003
+1.34944100000e+003, +2.18903089304e-001, +8.74029562828e+001, +2.57912167903e-005, +9.91881514170e-003
+1.35934100000e+003, +2.20608414174e-001, +8.75848263881e+001, +2.58064244032e-005, +9.29649360272e-003
+1.36931400000e+003, +2.22189517231e-001, +8.78246221956e+001, +2.58064073771e-005, +8.43395499954e-003
+1.37936000000e+003, +2.23866631953e-001, +8.80105634041e+001, +2.58148744320e-005, +7.77158435740e-003
+1.38947900000e+003, +2.25289343061e-001, +8.81621977883e+001, +2.57920191443e-005, +7.22507422092e-003
+1.39967300000e+003, +2.26861154518e-001, +8.82956231908e+001, +2.57846657649e-005, +6.74744059860e-003
+1.40994100000e+003, +2.27984450245e-001, +8.83087067224e+001, +2.57238033020e-005, +6.72881278008e-003
+1.42028500000e+003, +2.28924805587e-001, +8.83060755813e+001, +2.56417497423e-005, +6.76707487174e-003
+1.43070400000e+003, +2.29938007382e-001, +8.82077383741e+001, +2.55663418807e-005, +7.19148715908e-003
+1.44120100000e+003, +2.31089457316e-001, +8.82173828823e+001, +2.55073580975e-005, +7.18861964050e-003
+1.45177400000e+003, +2.32437647562e-001, +8.82091154470e+001, +2.54692058549e-005, +7.26408153726e-003
+1.46242400000e+003, +2.34006420934e-001, +8.81832143078e+001, +2.54540112696e-005, +7.41884099664e-003
+1.47315300000e+003, +2.35784722082e-001, +8.82406589404e+001, +2.54614517839e-005, +7.23893733786e-003
+1.48396100000e+003, +2.37754726648e-001, +8.82491705023e+001, +2.54873102512e-005, +7.26411634034e-003
+1.49484700000e+003, +2.39704963271e-001, +8.83033083324e+001, +2.55099710119e-005, +7.09731115420e-003
+1.50581400000e+003, +2.41590820876e-001, +8.83111427607e+001, +2.55235181206e-005, +7.12012873903e-003
+1.51686100000e+003, +2.43581772427e-001, +8.83207518183e+001, +2.55465689483e-005, +7.13797238698e-003
+1.52798900000e+003, +2.45586761855e-001, +8.83509246381e+001, +2.55696597435e-005, +7.06745189129e-003
+1.53919900000e+003, +2.47505473801e-001, +8.83639903381e+001, +2.55819178161e-005, +7.06625041128e-003
+1.55049100000e+003, +2.49588397650e-001, +8.83629842021e+001, +2.56093165929e-005, +7.13009870840e-003
+1.56186600000e+003, +2.51628720511e-001, +8.83567579781e+001, +2.56305504252e-005, +7.21571830056e-003
+1.57332400000e+003, +2.53503840122e-001, +8.83602205648e+001, +2.56335420695e-005, +7.25417548098e-003
+1.58486700000e+003, +2.55385059896e-001, +8.82947752429e+001, +2.56348291140e-005, +7.59959360399e-003
+1.59649400000e+003, +2.57021207124e-001, +8.82075353415e+001, +2.56099800477e-005, +8.03944529027e-003
+1.60820600000e+003, +2.58766597560e-001, +8.81464807916e+001, +2.55952502282e-005, +8.36964276244e-003
+1.62000500000e+003, +2.60674225122e-001, +8.80849939557e+001, +2.55952423410e-005, +8.71093445513e-003
+1.63188900000e+003, +2.62445608796e-001, +8.80384865818e+001, +2.55808090138e-005, +8.98303566966e-003
+1.64386100000e+003, +2.64492284317e-001, +8.80077096618e+001, +2.55920716333e-005, +9.19507938868e-003
+1.65592100000e+003, +2.66785207278e-001, +8.80210757254e+001, +2.56261386231e-005, +9.21259413064e-003
+1.66807000000e+003, +2.69097899721e-001, +8.80595417352e+001, +2.56606145187e-005, +9.11190024125e-003
+1.68030700000e+003, +2.71307687037e-001, +8.80662363481e+001, +2.56830261958e-005, +9.15504335626e-003
+1.69263400000e+003, +2.73350662790e-001, +8.81144648422e+001, +2.56886920216e-005, +8.99401777166e-003
+1.70505200000e+003, +2.75356395627e-001, +8.80867106256e+001, +2.56883070807e-005, +9.19332213983e-003
+1.71756100000e+003, +2.77182458011e-001, +8.81694173587e+001, +2.56715449099e-005, +8.85438822353e-003
+1.73016100000e+003, +2.78919494714e-001, +8.82101570644e+001, +2.56448725364e-005, +8.71165207693e-003
+1.74285400000e+003, +2.80558694703e-001, +8.82551199905e+001, +2.56083404126e-005, +8.54278614423e-003
+1.75564100000e+003, +2.82420080514e-001, +8.83030041174e+001, +2.55911305589e-005, +8.36354177272e-003
+1.76852000000e+003, +2.84302215723e-001, +8.83677233750e+001, +2.55749115173e-005, +8.09827697258e-003
+1.78149500000e+003, +2.86276217843e-001, +8.84221329451e+001, +2.55656059359e-005, +7.88275722022e-003
+1.79456400000e+003, +2.88392071239e-001, +8.84925051831e+001, +2.55678469409e-005, +7.58693569485e-003
+1.80773000000e+003, +2.90587083403e-001, +8.85444365796e+001, +2.55754164542e-005, +7.38138896260e-003
+1.82099200000e+003, +2.92625329451e-001, +8.85911869916e+001, +2.55677617666e-005, +7.19447112194e-003
+1.83435100000e+003, +2.94883806470e-001, +8.86172049015e+001, +2.55777372470e-005, +7.11613145125e-003
+1.84780900000e+003, +2.97020975566e-001, +8.85918007159e+001, +2.55751971210e-005, +7.29936166674e-003
+1.86136500000e+003, +2.99306275342e-001, +8.85463918137e+001, +2.55837751185e-005, +7.59266013511e-003
