!Keysight Technologies,E4990A,MY54302543,A.03.06
!Date: Tue Mar 24 14:07:18 2026

BEGIN CH1_DATA
DCV(V), -5.838e-005, DCI(A), +2.609e-006
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data, Ls(H)-data, Rs(Ohm)-data
+1.00000000000e+003, +1.56172890118e-001, +8.73778522747e+001, +2.48296625418e-005, +7.14477502865e-003
+1.00733600000e+003, +1.57904027802e-001, +8.75037517161e+001, +2.49245127192e-005, +6.87734725750e-003
+1.01472600000e+003, +1.59559365625e-001, +8.76015468075e+001, +2.50042031273e-005, +6.67734891448e-003
+1.02217100000e+003, +1.61530406855e-001, +8.76320777259e+001, +2.51292697650e-005, +6.67383492945e-003
+1.02967000000e+003, +1.63380032661e-001, +8.76198964399e+001, +2.52316834876e-005, +6.78495994244e-003
+1.03722400000e+003, +1.65836273914e-001, +8.74448928705e+001, +2.54211456012e-005, +7.39302296013e-003
+1.04483300000e+003, +1.68025709105e-001, +8.73291371838e+001, +2.55668343536e-005, +7.82974086277e-003
+1.05249800000e+003, +1.69910372133e-001, +8.71926402839e+001, +2.56623966758e-005, +8.32188164421e-003
+1.06022000000e+003, +1.71487303821e-001, +8.70385641499e+001, +2.57084408406e-005, +8.85968499046e-003
+1.06799800000e+003, +1.72897541738e-001, +8.69140670357e+001, +2.57281341086e-005, +9.30770653256e-003
+1.07583300000e+003, +1.72993667080e-001, +8.66932883727e+001, +2.55494644325e-005, +9.97844292220e-003
+1.08372600000e+003, +1.73051581360e-001, +8.65689185771e+001, +2.53686317096e-005, +1.03567708190e-002
+1.09167600000e+003, +1.73325077070e-001, +8.63956716581e+001, +2.52190009502e-005, +1.08962394063e-002
+1.09968500000e+003, +1.73789373582e-001, +8.63425887273e+001, +2.51009190549e-005, +1.10861156108e-002
+1.10775300000e+003, +1.74359035217e-001, +8.63053117244e+001, +2.49987374623e-005, +1.12356603347e-002
+1.11588000000e+003, +1.75594490870e-001, +8.63588062113e+001, +2.49940099889e-005, +1.11516640159e-002
+1.12406600000e+003, +1.77060696538e-001, +8.65801923116e+001, +2.50251353850e-005, +1.05619309866e-002
+1.13231200000e+003, +1.78628327230e-001, +8.67534570822e+001, +2.50672555972e-005, +1.01161771439e-002
+1.14061900000e+003, +1.80158741976e-001, +8.68961769894e+001, +2.51013638405e-005, +9.75477423657e-003
+1.14898700000e+003, +1.81760484748e-001, +8.70510350282e+001, +2.51436889745e-005, +9.35092751671e-003
+1.15741700000e+003, +1.83356361188e-001, +8.72089260638e+001, +2.51831911704e-005, +8.92838508740e-003
+1.16590800000e+003, +1.84960615880e-001, +8.74176350559e+001, +2.52228324785e-005, +8.33349544134e-003
+1.17446100000e+003, +1.86444802989e-001, +8.76026420216e+001, +2.52436142856e-005, +7.79890820438e-003
+1.18307800000e+003, +1.88197385305e-001, +8.77573878489e+001, +2.52980811076e-005, +7.36434671911e-003
+1.19175700000e+003, +1.89743786926e-001, +8.78638548813e+001, +2.53220043194e-005, +7.07253439436e-003
+1.20050000000e+003, +1.91352220204e-001, +8.79074265761e+001, +2.53513890696e-005, +6.98706888505e-003
+1.20930700000e+003, +1.92773015370e-001, +8.78479854808e+001, +2.53526520781e-005, +7.23880184220e-003
+1.21817900000e+003, +1.94298643372e-001, +8.77395071253e+001, +2.53653409782e-005, +7.66368430278e-003
+1.22711600000e+003, +1.95848613597e-001, +8.76819603718e+001, +2.53804600618e-005, +7.92136897568e-003
+1.23611900000e+003, +1.97307981975e-001, +8.76216616460e+001, +2.53822570447e-005, +8.18786992994e-003
+1.24518700000e+003, +1.98718246263e-001, +8.75686565019e+001, +2.53765255280e-005, +8.43006813229e-003
+1.25432200000e+003, +1.99827443533e-001, +8.76140119753e+001, +2.53331704738e-005, +8.31907862621e-003
+1.26352400000e+003, +2.00884155008e-001, +8.76244449076e+001, +2.52818545110e-005, +8.32652368641e-003
+1.27279400000e+003, +2.01880275489e-001, +8.76777601327e+001, +2.52231363030e-005, +8.18011521908e-003
+1.28213200000e+003, +2.03012599694e-001, +8.76807232904e+001, +2.51799278109e-005, +8.21550602118e-003
+1.29153800000e+003, +2.04246589155e-001, +8.76965100873e+001, +2.51487661003e-005, +8.20921245912e-003
+1.30101300000e+003, +2.05602657895e-001, +8.76809752060e+001, +2.51310939365e-005, +8.31941715156e-003
+1.31055700000e+003, +2.07528980406e-001, +8.75044979462e+001, +2.51785611209e-005, +9.03601061523e-003
+1.32017200000e+003, +2.09264338858e-001, +8.74294156272e+001, +2.52027308402e-005, +9.38552885465e-003
+1.32985700000e+003, +2.10957518007e-001, +8.73447107052e+001, +2.52199171686e-005, +9.77301917225e-003
+1.33961400000e+003, +2.12779947091e-001, +8.73145817755e+001, +2.52518941319e-005, +9.96921538649e-003
