!Keysight Technologies,E4990A,MY54302543,A.03.06
!Date: Tue Mar 24 14:29:15 2026

BEGIN CH1_DATA
DCV(V), +2.506e-004, DCI(A), +4.021e-006
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data, Ls(H)-data, Rs(Ohm)-data
+1.00000000000e+003, +6.25554511645e-001, +8.82032516478e+001, +9.95111431238e-005, +1.96136580966e-002
+1.00733600000e+003, +6.30832427814e-001, +8.82495427274e+001, +9.96224170980e-005, +1.92697166999e-002
+1.01472600000e+003, +6.36053787704e-001, +8.82845138576e+001, +9.97172962358e-005, +1.90411658317e-002
+1.02217100000e+003, +6.41330995310e-001, +8.83012524261e+001, +9.98131806818e-005, +1.90118691845e-002
+1.02967000000e+003, +6.46661336692e-001, +8.83020751741e+001, +9.99098350420e-005, +1.91606021690e-002
+1.03722400000e+003, +6.52710688601e-001, +8.82764613490e+001, +1.00108689140e-004, +1.96315060884e-002
+1.04483300000e+003, +6.58427470664e-001, +8.82400433044e+001, +1.00248128628e-004, +2.02217619704e-002
+1.05249800000e+003, +6.63962723896e-001, +8.82018288665e+001, +1.00352601346e-004, +2.08343900850e-002
+1.06022000000e+003, +6.69277619254e-001, +8.81794991164e+001, +1.00417910249e-004, +2.12618713708e-002
+1.06799800000e+003, +6.74235782744e-001, +8.81455021464e+001, +1.00423177843e-004, +2.18192424227e-002
+1.07583300000e+003, +6.78130188824e-001, +8.81123539886e+001, +1.00265750999e-004, +2.23373903240e-002
+1.08372600000e+003, +6.81862849809e-001, +8.80775424526e+001, +1.00081349767e-004, +2.28743974392e-002
+1.09167600000e+003, +6.85750948305e-001, +8.80568929995e+001, +9.99178291174e-005, +2.32518358463e-002
+1.09968500000e+003, +6.89962987111e-001, +8.80443983068e+001, +9.97986357625e-005, +2.35450295145e-002
+1.10775300000e+003, +6.94344744543e-001, +8.80461042000e+001, +9.97010589718e-005, +2.36738962470e-002
+1.11588000000e+003, +6.99241294091e-001, +8.80708079495e+001, +9.96743644470e-005, +2.35395325702e-002
+1.12406600000e+003, +7.04765941590e-001, +8.81255748530e+001, +9.97334360571e-005, +2.30522280259e-002
+1.13231200000e+003, +7.10157003016e-001, +8.81704608613e+001, +9.97670086070e-005, +2.26725120442e-002
+1.14061900000e+003, +7.15577045575e-001, +8.82207339244e+001, +9.97990690850e-005, +2.22179948697e-002
+1.14898700000e+003, +7.21220020511e-001, +8.82668959183e+001, +9.98559800214e-005, +2.18124052231e-002
+1.15741700000e+003, +7.26699221280e-001, +8.83172788384e+001, +9.98843952419e-005, +2.13393793667e-002
+1.16590800000e+003, +7.32254439187e-001, +8.83752390209e+001, +9.99178824670e-005, +2.07620701315e-002
+1.17446100000e+003, +7.38046474112e-001, +8.84223999054e+001, +9.99771133335e-005, +2.03190371216e-002
+1.18307800000e+003, +7.43629599376e-001, +8.84649744312e+001, +1.00001736294e-004, +1.99203834658e-002
+1.19175700000e+003, +7.49336560303e-001, +8.84992222028e+001, +1.00036926643e-004, +1.96255132519e-002
+1.20050000000e+003, +7.55000475251e-001, +8.85222222733e+001, +1.00060051712e-004, +1.94708789578e-002
+1.20930700000e+003, +7.60735480514e-001, +8.85059808664e+001, +1.00085133860e-004, +1.98343504624e-002
+1.21817900000e+003, +7.66450043713e-001, +8.84829014270e+001, +1.00101507048e-004, +2.02919728233e-002
+1.22711600000e+003, +7.72082218427e-001, +8.84807731122e+001, +1.00102604037e-004, +2.04697559534e-002
+1.23611900000e+003, +7.77783848447e-001, +8.84632549806e+001, +1.00106560492e-004, +2.08586420051e-002
+1.24518700000e+003, +7.83475859194e-001, +8.84657310689e+001, +1.00104925338e-004, +2.09774441530e-002
+1.25432200000e+003, +7.88836884868e-001, +8.84764790681e+001, +1.00056371395e-004, +2.09730611475e-002
+1.26352400000e+003, +7.94201454221e-001, +8.85001397489e+001, +1.00004258585e-004, +2.07878339571e-002
+1.27279400000e+003, +7.99479757101e-001, +8.85086897532e+001, +9.99360906624e-005, +2.08067286437e-002
+1.28213200000e+003, +8.05115089564e-001, +8.85196093193e+001, +9.99080258810e-005, +2.08000009019e-002
+1.29153800000e+003, +8.10796233048e-001, +8.85336134698e+001, +9.98808926247e-005, +2.07486640979e-002
+1.30101300000e+003, +8.16751718581e-001, +8.85318821189e+001, +9.98817093074e-005, +2.09257401534e-002
+1.31055700000e+003, +8.22959463943e-001, +8.84942880587e+001, +9.99062545794e-005, +2.16245817506e-002
+1.32017200000e+003, +8.29198122774e-001, +8.84693719864e+001, +9.99293208351e-005, +2.21489772652e-002
+1.32985700000e+003, +8.35531586835e-001, +8.84572088351e+001, +9.99586998777e-005, +2.24954611904e-002
+1.33961400000e+003, +8.41881894044e-001, +8.84534858198e+001, +9.99846660730e-005, +2.27211185482e-002
+1.34944100000e+003, +8.48155508050e-001, +8.84642734581e+001, +9.99967060224e-005, +2.27308011050e-002
+1.35934100000e+003, +8.54458163708e-001, +8.85217054380e+001, +1.00008738381e-004, +2.20435209605e-002
+1.36931400000e+003, +8.60835568038e-001, +8.85857055740e+001, +1.00024171741e-004, +2.12467885804e-002
+1.37936000000e+003, +8.67148556974e-001, +8.86389730058e+001, +1.00026130400e-004, +2.05966584941e-002
+1.38947900000e+003, +8.73251995001e-001, +8.86845345720e+001, +9.99984473584e-005, +2.00474083926e-002
+1.39967300000e+003, +8.79545140611e-001, +8.87175658918e+001, +9.99868493017e-005, +1.96849491918e-002
+1.40994100000e+003, +8.85508328185e-001, +8.87379376492e+001, +9.99324361507e-005, +1.95036416469e-002
+1.42028500000e+003, +8.91272618652e-001, +8.87324781382e+001, +9.98501944175e-005, +1.97155077394e-002
+1.43070400000e+003, +8.97108948764e-001, +8.87314949586e+001, +9.97720930805e-005, +1.98600013802e-002
+1.44120100000e+003, +9.03440459035e-001, +8.87241921268e+001, +9.97441508687e-005, +2.01152897149e-002
+1.45177400000e+003, +9.09509477069e-001, +8.87219135586e+001, +9.96828132056e-005, +2.02865785235e-002
+1.46242400000e+003, +9.16083078929e-001, +8.87305606692e+001, +9.96724387340e-005, +2.02949808958e-002
+1.47315300000e+003, +9.22843394107e-001, +8.87450797514e+001, +9.96772635900e-005, +2.02109523646e-002
+1.48396100000e+003, +9.29790413043e-001, +8.87512253641e+001, +9.96964164641e-005, +2.02633906025e-002
+1.49484700000e+003, +9.36742562718e-001, +8.87710933330e+001, +9.97111528989e-005, +2.00901519982e-002
+1.50581400000e+003, +9.43860538741e-001, +8.87827710337e+001, +9.97375318569e-005, +2.00504814986e-002
+1.51686100000e+003, +9.51037608434e-001, +8.87872573748e+001, +9.97642048003e-005, +2.01284935301e-002
+1.52798900000e+003, +9.58010807421e-001, +8.88007398429e+001, +9.97643026831e-005, +2.00506967930e-002
+1.53919900000e+003, +9.65391158219e-001, +8.88113153726e+001, +9.98010718871e-005, +2.00270128182e-002
+1.55049100000e+003, +9.72741383195e-001, +8.88084272890e+001, +9.98284548916e-005, +2.02285150075e-002
+1.56186600000e+003, +9.79912144475e-001, +8.88204349127e+001, +9.98323879411e-005, +2.01723148855e-002
+1.57332400000e+003, +9.87286769723e-001, +8.88124535202e+001, +9.98509014310e-005, +2.04616290051e-002
+1.58486700000e+003, +9.94428899256e-001, +8.88109584734e+001, +9.98406775255e-005, +2.06355929804e-002
+1.59649400000e+003, +1.00152626783e+000, +8.87908467301e+001, +9.98202074390e-005, +2.11343467926e-002
+1.60820600000e+003, +1.00868942248e+000, +8.87737179867e+001, +9.98013562512e-005, +2.15869872738e-002
+1.62000500000e+003, +1.01608233913e+000, +8.87649027613e+001, +9.98002816643e-005, +2.19014962548e-002
+1.63188900000e+003, +1.02348542976e+000, +8.87604320035e+001, +9.97951732965e-005, +2.21409120950e-002
+1.64386100000e+003, +1.03107009289e+000, +8.87532555408e+001, +9.98022665939e-005, +2.24341041391e-002
+1.65592100000e+003, +1.03903625929e+000, +8.87605966183e+001, +9.98411566922e-005, +2.24743364120e-002
+1.66807000000e+003, +1.04684934409e+000, +8.87724086955e+001, +9.98597226695e-005, +2.24275652320e-002
+1.68030700000e+003, +1.05474946369e+000, +8.87762702016e+001, +9.98807385192e-005, +2.25257467491e-002
+1.69263400000e+003, +1.06267279305e+000, +8.87896587839e+001, +9.98986744564e-005, +2.24466973766e-002
+1.70505200000e+003, +1.07053766101e+000, +8.88047198615e+001, +9.99056254165e-005, +2.23314806498e-002
+1.71756100000e+003, +1.07809606434e+000, +8.88209354805e+001, +9.98788328563e-005, +2.21840965254e-002
+1.73016100000e+003, +1.08568194207e+000, +8.88391198390e+001, +9.98497724194e-005, +2.19956933694e-002
+1.74285400000e+003, +1.09341387205e+000, +8.88568295540e+001, +9.98291227153e-005, +2.18144426044e-002
+1.75564100000e+003, +1.10116623736e+000, +8.88778731152e+001, +9.98053929568e-005, +2.15647515366e-002
+1.76852000000e+003, +1.10902668741e+000, +8.88917360522e+001, +9.97862962478e-005, +2.14504046062e-002
+1.78149500000e+003, +1.11709997490e+000, +8.89072921864e+001, +9.97811674953e-005, +2.13033121633e-002
+1.79456400000e+003, +1.12529521446e+000, +8.89305841820e+001, +9.97819527859e-005, +2.10022211178e-002
+1.80773000000e+003, +1.13355303566e+000, +8.89497682255e+001, +9.97827450718e-005, +2.07768663237e-002
+1.82099200000e+003, +1.14193972215e+000, +8.89606702878e+001, +9.97892635942e-005, +2.07133370905e-002
+1.83435100000e+003, +1.15026436944e+000, +8.89707271636e+001, +9.97850038108e-005, +2.06624676849e-002
