! CMT, S5085, 19027456, 23.4.5/2
! Date: 4/10/2026 2:31:15 PM
! Stimulus(Hz),    S11(dB),           S21(dB),           S12(dB),           S22(dB),           S11(°),            S21(°),            S12(°),            S22(°)
9.00000000000E+03,-3.75363820523E+00,-4.07113490326E+00,-8.44131345461E+00,-5.00917188620E-01,-5.66499894131E-01,-7.49929516833E+01,-2.63413238211E+01,+3.05799458477E+01
9.24781195299E+03,-3.85850329681E+00,-4.12762728713E+00,-8.37627681112E+00,-3.70491056022E-01,-1.77451479471E+00,-7.67188364797E+01,-2.47545732123E+01,+2.98355012852E+01
9.49562390598E+03,-3.97346161123E+00,-4.19364037338E+00,-8.27493327343E+00,-2.39854720585E-01,-2.92758756249E+00,-7.84390644506E+01,-2.32743173018E+01,+2.90881994350E+01
9.74343585896E+03,-4.09798607171E+00,-4.25446725122E+00,-8.14487817858E+00,-1.12524745882E-01,-3.98888826939E+00,-8.02153632437E+01,-2.19311465799E+01,+2.83168491233E+01
9.99124781195E+03,-4.23473565859E+00,-4.31968714922E+00,-7.98442570280E+00,+1.46127532205E-02,-5.03331952299E+00,-8.19930218067E+01,-2.07553923088E+01,+2.75435278077E+01
1.02390597649E+04,-4.38257984597E+00,-4.38569872875E+00,-7.79835343241E+00,+1.35876205166E-01,-5.99349652345E+00,-8.37735325334E+01,-1.97372484832E+01,+2.67269991688E+01
1.04868717179E+04,-4.53860673310E+00,-4.45341544781E+00,-7.59345473802E+00,+2.53552384027E-01,-6.88229684311E+00,-8.55980274274E+01,-1.89313274730E+01,+2.59331002790E+01
1.07346836709E+04,-4.71141559397E+00,-4.51738405016E+00,-7.37226606576E+00,+3.74441172837E-01,-7.71731081084E+00,-8.74602790876E+01,-1.82898048584E+01,+2.50998743392E+01
1.09824956239E+04,-4.88337421759E+00,-4.59553732954E+00,-7.14784348368E+00,+4.82688998554E-01,-8.42180027184E+00,-8.93043903834E+01,-1.78624491727E+01,+2.42193948587E+01
1.12303075769E+04,-5.07058785438E+00,-4.67064901167E+00,-6.90818111003E+00,+5.93359296126E-01,-9.07390644475E+00,-9.11917461112E+01,-1.75954135645E+01,+2.33514149991E+01
1.14781195299E+04,-5.26328903861E+00,-4.75094756914E+00,-6.67603480299E+00,+6.95576826558E-01,-9.61953200666E+00,-9.30632799981E+01,-1.75042164512E+01,+2.24389769808E+01
1.17259314829E+04,-5.46668933106E+00,-4.83115390120E+00,-6.43492554194E+00,+7.94620911749E-01,-1.00942936831E+01,-9.49411952402E+01,-1.75703819513E+01,+2.15183767188E+01
1.19737434359E+04,-5.67197922971E+00,-4.91532779475E+00,-6.19559298482E+00,+8.89281464943E-01,-1.04503562637E+01,-9.68284152990E+01,-1.78112065274E+01,+2.05812937860E+01
