! CMT, S5085, 19027456, 23.4.5/2
! Date: 9/2/2026 11:11:22 AM
! Stimulus(Hz),    S11(dB),           S21(dB),           S12(dB),           S22(dB),           S11(°),            S21(°),            S12(°),            S22(°)
9.00000000000E+03,-2.03553415780E+00,-7.08869972041E+00,-7.09539682322E+00,-1.98787392457E+00,+1.82542948765E+01,-5.56450351389E+01,-5.56654480438E+01,+2.16264286554E+01
9.24781195299E+03,-1.99022051826E+00,-7.22721872665E+00,-7.23179715780E+00,-1.94921419934E+00,+1.75245635024E+01,-5.60838989551E+01,-5.60742224861E+01,+2.10127215494E+01
9.49562390598E+03,-1.94906446089E+00,-7.37809278433E+00,-7.36983806060E+00,-1.92310574984E+00,+1.67957773973E+01,-5.64040823643E+01,-5.64341607264E+01,+2.04288307272E+01
9.74343585896E+03,-1.92312242136E+00,-7.51360256506E+00,-7.50650369751E+00,-1.89047318147E+00,+1.61730019642E+01,-5.67972144070E+01,-5.66922818717E+01,+1.98449188741E+01
9.99124781195E+03,-1.89950039507E+00,-7.64080402064E+00,-7.63677339378E+00,-1.85616397592E+00,+1.55363642389E+01,-5.70530539491E+01,-5.70711211199E+01,+1.93173960395E+01
1.02390597649E+04,-1.87070481939E+00,-7.77361845131E+00,-7.77295078220E+00,-1.83266735874E+00,+1.49078325005E+01,-5.73898410216E+01,-5.74022556773E+01,+1.87696168897E+01
1.04868717179E+04,-1.84858736925E+00,-7.90219681087E+00,-7.89970056371E+00,-1.80798184847E+00,+1.43047867734E+01,-5.76350117103E+01,-5.76584605805E+01,+1.82332820013E+01
1.07346836709E+04,-1.81941828293E+00,-8.03141558963E+00,-8.02199313001E+00,-1.78484115528E+00,+1.37311731561E+01,-5.80091394196E+01,-5.79595825547E+01,+1.77295390427E+01
1.09824956239E+04,-1.80274415378E+00,-8.14039778135E+00,-8.14213809886E+00,-1.76362581925E+00,+1.31562622294E+01,-5.82674974085E+01,-5.82340811767E+01,+1.72543767031E+01
1.12303075769E+04,-1.78629576837E+00,-8.25462229698E+00,-8.25512911222E+00,-1.74201805443E+00,+1.26247454726E+01,-5.85123741571E+01,-5.85518369126E+01,+1.68030135784E+01
1.14781195299E+04,-1.76673780490E+00,-8.36507082808E+00,-8.36615553056E+00,-1.72575161554E+00,+1.21031377845E+01,-5.87826697480E+01,-5.87859263597E+01,+1.63750845947E+01
1.17259314829E+04,-1.75113692576E+00,-8.47504145547E+00,-8.46981412885E+00,-1.70828012569E+00,+1.15698993613E+01,-5.90306589324E+01,-5.90544446547E+01,+1.59570607971E+01
1.19737434359E+04,-1.73479485894E+00,-8.57574790825E+00,-8.57733786523E+00,-1.68964373736E+00,+1.10608403830E+01,-5.93066270837E+01,-5.92886651557E+01,+1.55581350168E+01
1.22215553888E+04,-1.72324735155E+00,-8.68568016463E+00,-8.68005557700E+00,-1.67946534578E+00,+1.05603248617E+01,-5.95372211367E+01,-5.94904655142E+01,+1.51054639622E+01
1.24693673418E+04,-1.70627729838E+00,-8.77893054629E+00,-8.77966442397E+00,-1.66322441643E+00,+1.00668940938E+01,-5.98382426368E+01,-5.97690704693E+01,+1.47388002250E+01
1.27171792948E+04,-1.70081808106E+00,-8.86682601573E+00,-8.86767781847E+00,-1.64744973730E+00,+9.60613617307E+00,-6.00469846875E+01,-6.00149299210E+01,+1.43686808850E+01
1.29649912478E+04,-1.68892247920E+00,-8.96288432647E+00,-8.96515355710E+00,-1.63508788998E+00,+9.13987087722E+00,-6.02684834544E+01,-6.02679107471E+01,+1.39854346098E+01
