! CMT, S5085, 19027456, 23.4.5/2
! Date: 5/26/2026 1:33:36 PM
! Stimulus(Hz),    S11(dB),           S21(dB),           S12(dB),           S22(dB),           S11(°),            S21(°),            S12(°),            S22(°)
9.00000000000E+03,-1.65386787370E-01,-2.57451363104E+01,-2.57833441244E+01,-1.53658232581E+00,-1.70708529481E+02,-1.34651447937E+02,-1.34117157243E+02,+4.59277788336E+01
9.00486835309E+03,-1.70845924298E-01,-2.57657261331E+01,-2.57940464406E+01,-1.52428480955E+00,-1.70759418862E+02,-1.34671049373E+02,-1.34257301208E+02,+4.58635562569E+01
9.00973933961E+03,-1.71727932728E-01,-2.57703107371E+01,-2.58127203140E+01,-1.52069090826E+00,-1.70679905912E+02,-1.34850700425E+02,-1.34085758424E+02,+4.58779884326E+01
9.01461296098E+03,-1.66957007114E-01,-2.57769659772E+01,-2.58123624379E+01,-1.51753172558E+00,-1.70742841944E+02,-1.34850896447E+02,-1.34308413438E+02,+4.58027669020E+01
9.01948921863E+03,-1.56408082354E-01,-2.57762217357E+01,-2.58013098967E+01,-1.52124613240E+00,-1.70719846601E+02,-1.34833422835E+02,-1.34214730208E+02,+4.58102300379E+01
9.02436811399E+03,-1.53826446138E-01,-2.57855852581E+01,-2.58054058912E+01,-1.52292299266E+00,-1.70755895986E+02,-1.34685270650E+02,-1.34281706633E+02,+4.57799361102E+01
9.02924964848E+03,-1.66639694593E-01,-2.57853141520E+01,-2.58584349230E+01,-1.52123950697E+00,-1.70697057351E+02,-1.34760597685E+02,-1.34212850293E+02,+4.57667584721E+01
9.03413382352E+03,-1.65810936462E-01,-2.58263447727E+01,-2.58599021552E+01,-1.52076244413E+00,-1.70790893352E+02,-1.34788218559E+02,-1.34339732551E+02,+4.56957961746E+01
9.03902064056E+03,-1.70137751324E-01,-2.58334186791E+01,-2.58680491709E+01,-1.52727444688E+00,-1.70782524885E+02,-1.34809030508E+02,-1.34159119223E+02,+4.57222108808E+01
9.04391010101E+03,-1.66119852577E-01,-2.58370078467E+01,-2.58590147411E+01,-1.52498489195E+00,-1.70824823587E+02,-1.34864991104E+02,-1.34370863846E+02,+4.56717467926E+01
9.04880220631E+03,-1.71774970698E-01,-2.58322742549E+01,-2.58749183778E+01,-1.52508268590E+00,-1.70751682070E+02,-1.34749757913E+02,-1.34367976486E+02,+4.56363531283E+01
9.05369695789E+03,-1.69057570765E-01,-2.58376613524E+01,-2.58810280473E+01,-1.52240386944E+00,-1.70738926106E+02,-1.34742326185E+02,-1.34212059489E+02,+4.55899458051E+01
9.05859435717E+03,-1.69281039421E-01,-2.58484844265E+01,-2.58916046172E+01,-1.52007741944E+00,-1.70711202456E+02,-1.34736299405E+02,-1.34246233675E+02,+4.55792762741E+01
9.06349440559E+03,-1.67010254413E-01,-2.58650592153E+01,-2.58975049150E+01,-1.51534457475E+00,-1.70709093316E+02,-1.34780474417E+02,-1.34303849091E+02,+4.55433896503E+01
9.06839710459E+03,-1.48516872915E-01,-2.58557740540E+01,-2.58857004059E+01,-1.51676946583E+00,-1.70755775711E+02,-1.34722671686E+02,-1.34257181770E+02,+4.55355846052E+01
9.07330245560E+03,-1.65851523179E-01,-2.58911735596E+01,-2.59151011476E+01,-1.52585862107E+00,-1.70787065846E+02,-1.34906510998E+02,-1.34183015050E+02,+4.55073891771E+01
9.07821046005E+03,-1.62631721071E-01,-2.58905387143E+01,-2.59186131266E+01,-1.52131046920E+00,-1.70738268287E+02,-1.34788635360E+02,-1.34278807810E+02,+4.54427467448E+01
9.08312111938E+03,-1.59632583588E-01,-2.59008029195E+01,-2.59456640870E+01,-1.53017451032E+00,-1.70776527606E+02,-1.34929631106E+02,-1.34244425451E+02,+4.54360390425E+01
9.08803443502E+03,-1.68787500314E-01,-2.58909461893E+01,-2.59417629802E+01,-1.52702851064E+00,-1.70759297467E+02,-1.34627360660E+02,-1.34257773122E+02,+4.54053258675E+01
9.09295040841E+03,-1.67931780594E-01,-2.59327970305E+01,-2.59519610203E+01,-1.52476111306E+00,-1.70937918234E+02,-1.35046980863E+02,-1.34312273548E+02,+4.54344158285E+01
9.09786904099E+03,-1.51565878042E-01,-2.58980630421E+01,-2.59610801894E+01,-1.52606389430E+00,-1.70807259466E+02,-1.35007489685E+02,-1.34351223158E+02,+4.53654143856E+01
9.10279033420E+03,-1.62599458664E-01,-2.59539216058E+01,-2.59484396770E+01,-1.52644674880E+00,-1.70762456937E+02,-1.34842498236E+02,-1.34234615168E+02,+4.53498156172E+01
9.10771428947E+03,-1.65752761037E-01,-2.59478578469E+01,-2.59679973352E+01,-1.51725429691E+00,-1.70820252521E+02,-1.34978890599E+02,-1.34318472505E+02,+4.53390911587E+01
9.11264090825E+03,-1.40828910814E-01,-2.59210379201E+01,-2.59679696682E+01,-1.52519771764E+00,-1.70862659207E+02,-1.34891347380E+02,-1.34437280548E+02,+4.52514994858E+01
9.11757019197E+03,-1.73672876992E-01,-2.59619574935E+01,-2.59763067009E+01,-1.51979288102E+00,-1.70858531627E+02,-1.35021925484E+02,-1.34160702627E+02,+4.52626384839E+01
9.12250214208E+03,-1.51938190170E-01,-2.59442572000E+01,-2.59986395288E+01,-1.53196458502E+00,-1.70835479086E+02,-1.34881964653E+02,-1.34446339244E+02,+4.52258250525E+01
9.12743676003E+03,-1.56772793490E-01,-2.59853134974E+01,-2.60045822089E+01,-1.52935153467E+00,-1.70818474524E+02,-1.34963243075E+02,-1.34267541261E+02,+4.52149482246E+01
9.13237404724E+03,-1.62623493410E-01,-2.59822567417E+01,-2.60036395571E+01,-1.52445103037E+00,-1.70821360647E+02,-1.34903924708E+02,-1.34311131473E+02,+4.51713923816E+01
9.13731400518E+03,-1.56547037214E-01,-2.59906239399E+01,-2.60299257914E+01,-1.53114936823E+00,-1.70910096754E+02,-1.34884609606E+02,-1.34348341262E+02,+4.51636966478E+01
9.14225663528E+03,-1.61171329021E-01,-2.60294927033E+01,-2.60257993449E+01,-1.52876691559E+00,-1.70840183051E+02,-1.34905315833E+02,-1.34267399143E+02,+4.51395859047E+01
9.14720193898E+03,-1.71899322178E-01,-2.60313451522E+01,-2.60480897824E+01,-1.52401956578E+00,-1.70894025163E+02,-1.34855184007E+02,-1.34312032883E+02,+4.51299805906E+01
9.15214991774E+03,-1.61640731730E-01,-2.60288287398E+01,-2.60443481876E+01,-1.52254229044E+00,-1.70857229386E+02,-1.34983878081E+02,-1.34278040977E+02,+4.50539577209E+01
9.15710057300E+03,-1.68976595577E-01,-2.60455791981E+01,-2.60654510464E+01,-1.52377101622E+00,-1.70861975522E+02,-1.34910821773E+02,-1.34384486294E+02,+4.50548080691E+01
9.16205390621E+03,-1.65684347303E-01,-2.60281091765E+01,-2.60611259321E+01,-1.53220149720E+00,-1.70866058239E+02,-1.34773656484E+02,-1.34364020276E+02,+4.50549358692E+01
9.16700991881E+03,-1.65859059904E-01,-2.60541003738E+01,-2.60819169020E+01,-1.52390590619E+00,-1.70939968602E+02,-1.34769054004E+02,-1.34507621000E+02,+4.49873541373E+01
9.17196861226E+03,-1.68766089758E-01,-2.60463497032E+01,-2.60958583147E+01,-1.52339731332E+00,-1.70979104902E+02,-1.35083336800E+02,-1.34424603427E+02,+4.49825977169E+01
9.17692998801E+03,-1.60797742201E-01,-2.60825781797E+01,-2.61030871287E+01,-1.53505412420E+00,-1.70880476250E+02,-1.34878550457E+02,-1.34347950672E+02,+4.49328678395E+01
9.18189404751E+03,-1.67991269358E-01,-2.60733005902E+01,-2.61052359272E+01,-1.52624723303E+00,-1.70846828985E+02,-1.34847805607E+02,-1.34359479604E+02,+4.49359015908E+01
9.18686079220E+03,-1.71174116327E-01,-2.60757234362E+01,-2.61178891475E+01,-1.52914304119E+00,-1.70930146892E+02,-1.34836235959E+02,-1.34526522615E+02,+4.48951731013E+01
9.19183022355E+03,-1.66626822050E-01,-2.60718858111E+01,-2.60873441475E+01,-1.52247220587E+00,-1.70920958370E+02,-1.34869970130E+02,-1.34377350084E+02,+4.49093684225E+01
9.19680234300E+03,-1.50492109283E-01,-2.60915987450E+01,-2.61224129750E+01,-1.52759750667E+00,-1.70957957458E+02,-1.34905290145E+02,-1.34515688390E+02,+4.48547348849E+01
9.20177715201E+03,-1.63503521134E-01,-2.61177465043E+01,-2.61313945086E+01,-1.52541564145E+00,-1.70849345977E+02,-1.34754872119E+02,-1.34381129630E+02,+4.48317078422E+01
9.20675465204E+03,-1.66154688588E-01,-2.61239119738E+01,-2.61477405711E+01,-1.52240450832E+00,-1.70842879870E+02,-1.34828101800E+02,-1.34434785113E+02,+4.48389271707E+01
9.21173484453E+03,-1.67683020701E-01,-2.61432980084E+01,-2.61784655023E+01,-1.52749251131E+00,-1.70903062015E+02,-1.34988854541E+02,-1.34567530890E+02,+4.48036668802E+01
9.21671773095E+03,-1.75409881841E-01,-2.61508187007E+01,-2.61636670277E+01,-1.52662492093E+00,-1.70874177590E+02,-1.34992775105E+02,-1.34317762072E+02,+4.47413718108E+01
9.22170331276E+03,-1.63646202016E-01,-2.61590208512E+01,-2.61693114740E+01,-1.52537866276E+00,-1.70938772424E+02,-1.34870026481E+02,-1.34600369010E+02,+4.46942915476E+01
9.22669159141E+03,-1.54366976911E-01,-2.61521019300E+01,-2.61771665330E+01,-1.52696266505E+00,-1.70931578185E+02,-1.34999352354E+02,-1.34440828576E+02,+4.47167032914E+01
9.23168256835E+03,-1.71036018897E-01,-2.61488487213E+01,-2.61950437391E+01,-1.52641683592E+00,-1.70877322604E+02,-1.35021454584E+02,-1.34436074779E+02,+4.46551871310E+01
9.23667624506E+03,-1.57455563570E-01,-2.61629008952E+01,-2.61989211488E+01,-1.52711522161E+00,-1.70873433455E+02,-1.35009291454E+02,-1.34363370842E+02,+4.46336509712E+01
9.24167262298E+03,-1.61112541612E-01,-2.61687732093E+01,-2.62104720457E+01,-1.52794739168E+00,-1.70882343839E+02,-1.34969324189E+02,-1.34312414152E+02,+4.46194781202E+01
9.24667170359E+03,-1.56108056825E-01,-2.61797412660E+01,-2.62372495543E+01,-1.52943862321E+00,-1.70941082520E+02,-1.35102810448E+02,-1.34340326636E+02,+4.45979851086E+01
9.25167348834E+03,-1.57967590643E-01,-2.61977156772E+01,-2.62205410031E+01,-1.52629625278E+00,-1.71008938648E+02,-1.35147921706E+02,-1.34583400812E+02,+4.45600697303E+01
9.25667797870E+03,-1.63702786639E-01,-2.62102909768E+01,-2.62200065327E+01,-1.52879394689E+00,-1.71040550968E+02,-1.35198041938E+02,-1.34519542045E+02,+4.45296067401E+01
9.26168517613E+03,-1.63376451385E-01,-2.62202891381E+01,-2.62409125043E+01,-1.52139487501E+00,-1.70940504865E+02,-1.34861466767E+02,-1.34392971357E+02,+4.45167291205E+01
9.26669508209E+03,-1.64930074153E-01,-2.62131202799E+01,-2.62525773388E+01,-1.53155541651E+00,-1.70910923581E+02,-1.34903729291E+02,-1.34221884608E+02,+4.45396828241E+01
9.27170769805E+03,-1.63544114107E-01,-2.62289487908E+01,-2.62615575457E+01,-1.52073751890E+00,-1.70960231057E+02,-1.34980989991E+02,-1.34333298693E+02,+4.44833792029E+01
9.27672302547E+03,-1.50720625146E-01,-2.62136314568E+01,-2.62726087893E+01,-1.52734766476E+00,-1.71040766760E+02,-1.35084421246E+02,-1.34514981081E+02,+4.44972521838E+01
9.28174106583E+03,-1.66904706753E-01,-2.62612806092E+01,-2.62782110521E+01,-1.52930821458E+00,-1.70970114161E+02,-1.34975045497E+02,-1.34483506427E+02,+4.43958881052E+01
9.28676182058E+03,-1.57940930210E-01,-2.62566792601E+01,-2.62812165436E+01,-1.52606335666E+00,-1.71021173708E+02,-1.35133407296E+02,-1.34426055151E+02,+4.43444213734E+01
9.29178529121E+03,-1.73433084287E-01,-2.62782598888E+01,-2.63008672109E+01,-1.53010525104E+00,-1.70996718115E+02,-1.34949858775E+02,-1.34401436380E+02,+4.43599812464E+01
9.29681147917E+03,-1.67059083453E-01,-2.62899050140E+01,-2.63084446511E+01,-1.53122531391E+00,-1.70969559494E+02,-1.35178499267E+02,-1.34348703928E+02,+4.43644006892E+01
9.30184038593E+03,-1.57152052235E-01,-2.62914349650E+01,-2.63192539340E+01,-1.52985849752E+00,-1.71162158539E+02,-1.35054652467E+02,-1.34603584096E+02,+4.42914054975E+01
