Freq.	1/S21       v1)
9.00000000000000e+003	       1.16654219800792e+001       -1.42711217204352e+002       
9.00129521635986e+003	       1.16762024946083e+001       -1.42656541780644e+002       
9.00259061911810e+003	       1.16869831631681e+001       -1.42601969624558e+002       
9.00388620830155e+003	       1.16977639559088e+001       -1.42547500542377e+002       
9.00518198393703e+003	       1.17085448431487e+001       -1.42493134340375e+002       
9.00647794605137e+003	       1.17193257953735e+001       -1.42438870824819e+002       
9.00777409467142e+003	       1.17301067832360e+001       -1.42384709801975e+002       
9.00907042982402e+003	       1.17408877775551e+001       -1.42330651078110e+002       
9.01036695153600e+003	       1.17516687493151e+001       -1.42276694459499e+002       
9.01166365983422e+003	       1.17624496696657e+001       -1.42222839752429e+002       
9.01296055474553e+003	       1.17732305099206e+001       -1.42169086763199e+002       
9.01425763629678e+003	       1.17840112415573e+001       -1.42115435298128e+002       
9.01555490451484e+003	       1.17947918362164e+001       -1.42061885163559e+002       
9.01685235942657e+003	       1.18055722657009e+001       -1.42008436165860e+002       
9.01815000105883e+003	       1.18163525019757e+001       -1.41955088111429e+002       
9.01944782943850e+003	       1.18271325171669e+001       -1.41901840806701e+002       
9.02074584459246e+003	       1.18379122835609e+001       -1.41848694058147e+002       
9.02204404654758e+003	       1.18486917736045e+001       -1.41795647672280e+002       
9.02334243533074e+003	       1.18594709599034e+001       -1.41742701455660e+002       
9.02464101096884e+003	       1.18702498152221e+001       -1.41689855214896e+002       
9.02593977348876e+003	       1.18810283124833e+001       -1.41637108756649e+002       
9.02723872291739e+003	       1.18918064247669e+001       -1.41584461887637e+002       
9.02853785928165e+003	       1.19025841253097e+001       -1.41531914414640e+002       
9.02983718260842e+003	       1.19133613875047e+001       -1.41479466144499e+002       
9.03113669292462e+003	       1.19241381849003e+001       -1.41427116884125e+002       
9.03243639025715e+003	       1.19349144912001e+001       -1.41374866440497e+002       
9.03373627463294e+003	       1.19456902802617e+001       -1.41322714620672e+002       
9.03503634607889e+003	       1.19564655260966e+001       -1.41270661231781e+002       
9.03633660462193e+003	       1.19672402028691e+001       -1.41218706081038e+002       
9.03763705028899e+003	       1.19780142848961e+001       -1.41166848975742e+002       
