Freq.	1/S12         v1)
9.00000000000000e+003	         2.41796166418554e+001         8.61630873507145e+001         
9.00129521635986e+003	         2.41808960411395e+001         8.61636018176547e+001         
9.00259061911810e+003	         2.41821754320052e+001         8.61641161976543e+001         
9.00388620830155e+003	         2.41834548144552e+001         8.61646304907274e+001         
9.00518198393703e+003	         2.41847341884919e+001         8.61651446968879e+001         
9.00647794605137e+003	         2.41860135541178e+001         8.61656588161497e+001         
9.00777409467142e+003	         2.41872929113353e+001         8.61661728485269e+001         
9.00907042982402e+003	         2.41885722601471e+001         8.61666867940332e+001         
9.01036695153600e+003	         2.41898516005556e+001         8.61672006526828e+001         
9.01166365983422e+003	         2.41911309325633e+001         8.61677144244893e+001         
9.01296055474553e+003	         2.41924102561726e+001         8.61682281094670e+001         
9.01425763629678e+003	         2.41936895713861e+001         8.61687417076295e+001         
9.01555490451484e+003	         2.41949688782062e+001         8.61692552189910e+001         
9.01685235942657e+003	         2.41962481766354e+001         8.61697686435652e+001         
9.01815000105883e+003	         2.41975274666763e+001         8.61702819813661e+001         
9.01944782943850e+003	         2.41988067483312e+001         8.61707952324076e+001         
9.02074584459246e+003	         2.42000860216028e+001         8.61713083967036e+001         
9.02204404654758e+003	         2.42013652864934e+001         8.61718214742680e+001         
9.02334243533074e+003	         2.42026445430055e+001         8.61723344651147e+001         
9.02464101096884e+003	         2.42039237911417e+001         8.61728473692577e+001         
9.02593977348876e+003	         2.42052030309044e+001         8.61733601867108e+001         
9.02723872291739e+003	         2.42064822622961e+001         8.61738729174879e+001         
9.02853785928165e+003	         2.42077614853193e+001         8.61743855616028e+001         
9.02983718260842e+003	         2.42090406999764e+001         8.61748981190696e+001         
9.03113669292462e+003	         2.42103199062700e+001         8.61754105899020e+001         
9.03243639025715e+003	         2.42115991042025e+001         8.61759229741139e+001         
9.03373627463294e+003	         2.42128782937764e+001         8.61764352717192e+001         
9.03503634607889e+003	         2.42141574749941e+001         8.61769474827318e+001         
9.03633660462193e+003	         2.42154366478582e+001         8.61774596071656e+001         
9.03763705028899e+003	         2.42167158123711e+001         8.61779716450344e+001         
9.03893768310699e+003	         2.42179949685353e+001         8.61784835963521e+001         
9.04023850310287e+003	         2.42192741163533e+001         8.61789954611325e+001         
9.04153951030357e+003	         2.42205532558275e+001         8.61795072393895e+001         
9.04284070473602e+003	         2.42218323869604e+001         8.61800189311369e+001         
9.04414208642717e+003	         2.42231115097545e+001         8.61805305363886e+001         
9.04544365540398e+003	         2.42243906242123e+001         8.61810420551585e+001         
9.04674541169339e+003	         2.42256697303362e+001         8.61815534874603e+001         
9.04804735532235e+003	         2.42269488281287e+001         8.61820648333080e+001         
9.04934948631784e+003	         2.42282279175923e+001         8.61825760927153e+001         
9.05065180470682e+003	         2.42295069987294e+001         8.61830872656961e+001         
9.05195431051625e+003	         2.42307860715425e+001         8.61835983522643e+001         
9.05325700377310e+003	         2.42320651360340e+001         8.61841093524336e+001         
9.05455988450436e+003	         2.42333441922065e+001         8.61846202662178e+001         
9.05586295273700e+003	         2.42346232400624e+001         8.61851310936309e+001         
9.05716620849800e+003	         2.42359022796042e+001         8.61856418346865e+001         
9.05846965181436e+003	         2.42371813108343e+001         8.61861524893986e+001         
9.05977328271306e+003	         2.42384603337552e+001         8.61866630577808e+001         
9.06107710122111e+003	         2.42397393483693e+001         8.61871735398472e+001         
9.06238110736549e+003	         2.42410183546791e+001         8.61876839356113e+001         
9.06368530117322e+003	         2.42422973526872e+001         8.61881942450871e+001         
9.06498968267130e+003	         2.42435763423958e+001         8.61887044682884e+001         
9.06629425188674e+003	         2.42448553238076e+001         8.61892146052288e+001         
9.06759900884656e+003	         2.42461342969249e+001         8.61897246559223e+001         
9.06890395357777e+003	         2.42474132617502e+001         8.61902346203826e+001         
9.07020908610740e+003	         2.42486922182860e+001         8.61907444986235e+001         
9.07151440646247e+003	         2.42499711665347e+001         8.61912542906588e+001         
9.07281991467003e+003	         2.42512501064988e+001         8.61917639965022e+001         
9.07412561075709e+003	         2.42525290381808e+001         8.61922736161675e+001         
9.07543149475070e+003	         2.42538079615830e+001         8.61927831496686e+001         
9.07673756667790e+003	         2.42550868767080e+001         8.61932925970191e+001         
9.07804382656573e+003	         2.42563657835581e+001         8.61938019582328e+001         
9.07935027444125e+003	         2.42576446821360e+001         8.61943112333235e+001         
9.08065691033152e+003	         2.42589235724439e+001         8.61948204223050e+001         
9.08196373426358e+003	         2.42602024544844e+001         8.61953295251910e+001         
9.08327074626450e+003	         2.42614813282599e+001         8.61958385419952e+001         
9.08457794636134e+003	         2.42627601937728e+001         8.61963474727315e+001         
9.08588533458118e+003	         2.42640390510257e+001         8.61968563174135e+001         
9.08719291095109e+003	         2.42653179000209e+001         8.61973650760550e+001         
9.08850067549814e+003	         2.42665967407609e+001         8.61978737486697e+001         
9.08980862824942e+003	         2.42678755732481e+001         8.61983823352714e+001         
9.09111676923201e+003	         2.42691543974850e+001         8.61988908358738e+001         
9.09242509847300e+003	         2.42704332134741e+001         8.61993992504906e+001         
9.09373361599948e+003	         2.42717120212178e+001         8.61999075791356e+001         
9.09504232183855e+003	         2.42729908207184e+001         8.62004158218225e+001         
9.09635121601732e+003	         2.42742696119786e+001         8.62009239785649e+001         
9.09766029856288e+003	         2.42755483950006e+001         8.62014320493767e+001         
9.09896956950234e+003	         2.42768271697870e+001         8.62019400342715e+001         
9.10027902886281e+003	         2.42781059363402e+001         8.62024479332631e+001         
9.10158867667142e+003	         2.42793846946626e+001         8.62029557463651e+001         
9.10289851295528e+003	         2.42806634447567e+001         8.62034634735912e+001         
9.10420853774152e+003	         2.42819421866250e+001         8.62039711149553e+001         
9.10551875105726e+003	         2.42832209202697e+001         8.62044786704708e+001         
9.10682915292964e+003	         2.42844996456935e+001         8.62049861401516e+001         
9.10813974338579e+003	         2.42857783628986e+001         8.62054935240113e+001         
9.10945052245284e+003	         2.42870570718877e+001         8.62060008220637e+001         
9.11076149015796e+003	         2.42883357726630e+001         8.62065080343224e+001         
9.11207264652827e+003	         2.42896144652270e+001         8.62070151608010e+001         
9.11338399159094e+003	         2.42908931495823e+001         8.62075222015133e+001         
9.11469552537312e+003	         2.42921718257311e+001         8.62080291564730e+001         
9.11600724790197e+003	         2.42934504936759e+001         8.62085360256936e+001         
9.11731915920464e+003	         2.42947291534192e+001         8.62090428091890e+001         
9.11863125930832e+003	         2.42960078049634e+001         8.62095495069727e+001         
9.11994354824016e+003	         2.42972864483109e+001         8.62100561190584e+001         
9.12125602602735e+003	         2.42985650834642e+001         8.62105626454598e+001         
9.12256869269706e+003	         2.42998437104256e+001         8.62110690861905e+001         
9.12388154827647e+003	         2.43011223291977e+001         8.62115754412641e+001         
9.12519459279278e+003	         2.43024009397828e+001         8.62120817106944e+001         
9.12650782627317e+003	         2.43036795421834e+001         8.62125878944950e+001         
9.12782124874483e+003	         2.43049581364018e+001         8.62130939926795e+001         
9.12913486023497e+003	         2.43062367224406e+001         8.62136000052615e+001         
9.13044866077079e+003	         2.43075153003021e+001         8.62141059322547e+001         
9.13176265037949e+003	         2.43087938699887e+001         8.62146117736728e+001         
9.13307682908828e+003	         2.43100724315030e+001         8.62151175295293e+001         
9.13439119692438e+003	         2.43113509848472e+001         8.62156231998379e+001         
9.13570575391500e+003	         2.43126295300239e+001         8.62161287846122e+001         
9.13702050008738e+003	         2.43139080670354e+001         8.62166342838658e+001         
9.13833543546872e+003	         2.43151865958842e+001         8.62171396976124e+001         
9.13965056008627e+003	         2.43164651165728e+001         8.62176450258655e+001         
9.14096587396725e+003	         2.43177436291034e+001         8.62181502686388e+001         
9.14228137713890e+003	         2.43190221334785e+001         8.62186554259458e+001         
9.14359706962847e+003	         2.43203006297006e+001         8.62191604978003e+001         
9.14491295146320e+003	         2.43215791177720e+001         8.62196654842157e+001         
9.14622902267034e+003	         2.43228575976953e+001         8.62201703852057e+001         
9.14754528327714e+003	         2.43241360694727e+001         8.62206752007839e+001         
