Freq.	1/S21       v1)
9.00000000000000e+003	       9.74503033272654e+000       -1.17146291987010e+002       
9.00129521635986e+003	       9.76084358076399e+000       -1.17106941367083e+002       
9.00259061911810e+003	       9.77664064767908e+000       -1.17067708661756e+002       
9.00388620830155e+003	       9.79242155888523e+000       -1.17028593368588e+002       
9.00518198393703e+003	       9.80818633983298e+000       -1.16989594987767e+002       
9.00647794605137e+003	       9.82393501600867e+000       -1.16950713022090e+002       
9.00777409467142e+003	       9.83966761293320e+000       -1.16911946976953e+002       
9.00907042982402e+003	       9.85538415616077e+000       -1.16873296360334e+002       
9.01036695153600e+003	       9.87108467127763e+000       -1.16834760682776e+002       
9.01166365983422e+003	       9.88676918390088e+000       -1.16796339457376e+002       
9.01296055474553e+003	       9.90243771967725e+000       -1.16758032199766e+002       
9.01425763629678e+003	       9.91809030428192e+000       -1.16719838428101e+002       
9.01555490451484e+003	       9.93372696341734e+000       -1.16681757663043e+002       
9.01685235942657e+003	       9.94934772281210e+000       -1.16643789427748e+002       
9.01815000105883e+003	       9.96495260821977e+000       -1.16605933247848e+002       
9.01944782943850e+003	       9.98054164541777e+000       -1.16568188651442e+002       
9.02074584459246e+003	       9.99611486020629e+000       -1.16530555169075e+002       
9.02204404654758e+003	       1.00116722784072e+001       -1.16493032333730e+002       
9.02334243533074e+003	       1.00272139258629e+001       -1.16455619680810e+002       
9.02464101096884e+003	       1.00427398284353e+001       -1.16418316748124e+002       
9.02593977348876e+003	       1.00582500120049e+001       -1.16381123075876e+002       
9.02723872291739e+003	       1.00737445024695e+001       -1.16344038206648e+002       
9.02853785928165e+003	       1.00892233257436e+001       -1.16307061685386e+002       
9.02983718260842e+003	       1.01046865077566e+001       -1.16270193059390e+002       
9.03113669292462e+003	       1.01201340744529e+001       -1.16233431878295e+002       
9.03243639025715e+003	       1.01355660517899e+001       -1.16196777694061e+002       
9.03373627463294e+003	       1.01509824657379e+001       -1.16160230060959e+002       
9.03503634607889e+003	       1.01663833422783e+001       -1.16123788535556e+002       
9.03633660462193e+003	       1.01817687074035e+001       -1.16087452676705e+002       
9.03763705028899e+003	       1.01971385871154e+001       -1.16051222045527e+002       
9.03893768310699e+003	       1.02124930074245e+001       -1.16015096205400e+002       
9.04023850310287e+003	       1.02278319943496e+001       -1.15979074721949e+002       
9.04153951030357e+003	       1.02431555739160e+001       -1.15943157163027e+002       
9.04284070473602e+003	       1.02584637721556e+001       -1.15907343098706e+002       
9.04414208642717e+003	       1.02737566151052e+001       -1.15871632101263e+002       
9.04544365540398e+003	       1.02890341288062e+001       -1.15836023745168e+002       
9.04674541169339e+003	       1.03042963393035e+001       -1.15800517607071e+002       
9.04804735532235e+003	       1.03195432726447e+001       -1.15765113265787e+002       
9.04934948631784e+003	       1.03347749548795e+001       -1.15729810302285e+002       
9.05065180470682e+003	       1.03499914120587e+001       -1.15694608299680e+002       
9.05195431051625e+003	       1.03651926702333e+001       -1.15659506843211e+002       
9.05325700377310e+003	       1.03803787554541e+001       -1.15624505520236e+002       
9.05455988450436e+003	       1.03955496937706e+001       -1.15589603920220e+002       
9.05586295273700e+003	       1.04107055112303e+001       -1.15554801634717e+002       
9.05716620849800e+003	       1.04258462338782e+001       -1.15520098257363e+002       
9.05846965181436e+003	       1.04409718877558e+001       -1.15485493383862e+002       
9.05977328271306e+003	       1.04560824989004e+001       -1.15450986611973e+002       
9.06107710122111e+003	       1.04711780933444e+001       -1.15416577541502e+002       
9.06238110736549e+003	       1.04862586971149e+001       -1.15382265774286e+002       
9.06368530117322e+003	       1.05013243362326e+001       -1.15348050914180e+002       
9.06498968267130e+003	       1.05163750367112e+001       -1.15313932567053e+002       
9.06629425188674e+003	       1.05314108245571e+001       -1.15279910340768e+002       
9.06759900884656e+003	       1.05464317257680e+001       -1.15245983845173e+002       
9.06890395357777e+003	       1.05614377663332e+001       -1.15212152692093e+002       
9.07020908610740e+003	       1.05764289722321e+001       -1.15178416495315e+002       
9.07151440646247e+003	       1.05914053694341e+001       -1.15144774870575e+002       
9.07281991467003e+003	       1.06063669838977e+001       -1.15111227435552e+002       
9.07412561075709e+003	       1.06213138415702e+001       -1.15077773809853e+002       
9.07543149475070e+003	       1.06362459683866e+001       -1.15044413615002e+002       
9.07673756667790e+003	       1.06511633902695e+001       -1.15011146474431e+002       
9.07804382656573e+003	       1.06660661331283e+001       -1.14977972013466e+002       
9.07935027444125e+003	       1.06809542228587e+001       -1.14944889859320e+002       
9.08065691033152e+003	       1.06958276853417e+001       -1.14911899641077e+002       
9.08196373426358e+003	       1.07106865464440e+001       -1.14879000989686e+002       
9.08327074626450e+003	       1.07255308320163e+001       -1.14846193537947e+002       
9.08457794636134e+003	       1.07403605678937e+001       -1.14813476920503e+002       
9.08588533458118e+003	       1.07551757798946e+001       -1.14780850773827e+002       
9.08719291095109e+003	       1.07699764938204e+001       -1.14748314736213e+002       
9.08850067549814e+003	       1.07847627354550e+001       -1.14715868447762e+002       
9.08980862824942e+003	       1.07995345305643e+001       -1.14683511550380e+002       
9.09111676923201e+003	       1.08142919048953e+001       -1.14651243687756e+002       
9.09242509847300e+003	       1.08290348841764e+001       -1.14619064505362e+002       
9.09373361599948e+003	       1.08437634941161e+001       -1.14586973650437e+002       
9.09504232183855e+003	       1.08584777604030e+001       -1.14554970771978e+002       
9.09635121601732e+003	       1.08731777087053e+001       -1.14523055520731e+002       
9.09766029856288e+003	       1.08878633646701e+001       -1.14491227549181e+002       
9.09896956950234e+003	       1.09025347539231e+001       -1.14459486511539e+002       
9.10027902886281e+003	       1.09171919020683e+001       -1.14427832063736e+002       
9.10158867667142e+003	       1.09318348346873e+001       -1.14396263863410e+002       
9.10289851295528e+003	       1.09464635773388e+001       -1.14364781569900e+002       
9.10420853774152e+003	       1.09610781555587e+001       -1.14333384844231e+002       
9.10551875105726e+003	       1.09756785948590e+001       -1.14302073349109e+002       
9.10682915292964e+003	       1.09902649207279e+001       -1.14270846748909e+002       
9.10813974338579e+003	       1.10048371586290e+001       -1.14239704709666e+002       
9.10945052245284e+003	       1.10193953340014e+001       -1.14208646899066e+002       
9.11076149015796e+003	       1.10339394722587e+001       -1.14177672986436e+002       
9.11207264652827e+003	       1.10484695987892e+001       -1.14146782642733e+002       
9.11338399159094e+003	       1.10629857389549e+001       -1.14115975540539e+002       
9.11469552537312e+003	       1.10774879180918e+001       -1.14085251354046e+002       
