Freq.	S12   v1)/S21   v1)
9.00000000000000e+003	   -4.44846911745737e+000   6.08403419315294e+001    
9.00129521635986e+003	   -4.44716300080853e+000   6.08597533665864e+001    
9.00259061911810e+003	   -4.44585551727681e+000   6.08791622327931e+001    
9.00388620830155e+003	   -4.44454666729467e+000   6.08985685230980e+001    
9.00518198393703e+003	   -4.44323645129580e+000   6.09179722304437e+001    
9.00647794605137e+003	   -4.44192486971509e+000   6.09373733477827e+001    
9.00777409467142e+003	   -4.44061192298871e+000   6.09567718680670e+001    
9.00907042982401e+003	   -4.43929761155403e+000   6.09761677842603e+001    
9.01036695153600e+003	   -4.43798193584965e+000   6.09955610893265e+001    
9.01166365983422e+003	   -4.43666489631540e+000   6.10149517762331e+001    
9.01296055474552e+003	   -4.43534649339234e+000   6.10343398379529e+001    
9.01425763629678e+003	   -4.43402672752272e+000   6.10537252674639e+001    
9.01555490451484e+003	   -4.43270559915008e+000   6.10731080577510e+001    
9.01685235942657e+003	   -4.43138310871909e+000   6.10924882018004e+001    
9.01815000105883e+003	   -4.43005925667571e+000   6.11118656926000e+001    
9.01944782943850e+003	   -4.42873404346711e+000   6.11312405231515e+001    
9.02074584459246e+003	   -4.42740746954161e+000   6.11506126864535e+001    
9.02204404654757e+003	   -4.42607953534885e+000   6.11699821755089e+001    
9.02334243533074e+003	   -4.42475024133958e+000   6.11893489833319e+001    
9.02464101096884e+003	   -4.42341958796585e+000   6.12087131029351e+001    
9.02593977348876e+003	   -4.42208757568085e+000   6.12280745273395e+001    
9.02723872291739e+003	   -4.42075420493903e+000   6.12474332495677e+001    
9.02853785928165e+003	   -4.41941947619602e+000   6.12667892626477e+001    
9.02983718260842e+003	   -4.41808338990865e+000   6.12861425596146e+001    
9.03113669292462e+003	   -4.41674594653499e+000   6.13054931335077e+001    
9.03243639025715e+003	   -4.41540714653427e+000   6.13248409773683e+001    
9.03373627463294e+003	   -4.41406699036698e+000   6.13441860842453e+001    
9.03503634607889e+003	   -4.41272547849475e+000   6.13635284471882e+001    
9.03633660462193e+003	   -4.41138261138043e+000   6.13828680592576e+001    
9.03763705028899e+003	   -4.41003838948807e+000   6.14022049135139e+001    
9.03893768310699e+003	   -4.40869281328294e+000   6.14215390030244e+001    
9.04023850310287e+003	   -4.40734588323147e+000   6.14408703208579e+001    
9.04153951030357e+003	   -4.40599759980130e+000   6.14601988600968e+001    
9.04284070473602e+003	   -4.40464796346127e+000   6.14795246138161e+001    
9.04414208642717e+003	   -4.40329697468140e+000   6.14988475751045e+001    
9.04544365540398e+003	   -4.40194463393287e+000   6.15181677370520e+001    
9.04674541169339e+003	   -4.40059094168812e+000   6.15374850927564e+001    
9.04804735532236e+003	   -4.39923589842072e+000   6.15567996353171e+001    
9.04934948631785e+003	   -4.39787950460543e+000   6.15761113578371e+001    
9.05065180470682e+003	   -4.39652176071822e+000   6.15954202534287e+001    
9.05195431051625e+003	   -4.39516266723622e+000   6.16147263152058e+001    
9.05325700377310e+003	   -4.39380222463774e+000   6.16340295362906e+001    
9.05455988450436e+003	   -4.39244043340227e+000   6.16533299098098e+001    
9.05586295273700e+003	   -4.39107729401051e+000   6.16726274288871e+001    
9.05716620849800e+003	   -4.38971280694430e+000   6.16919220866629e+001    
9.05846965181436e+003	   -4.38834697268665e+000   6.17112138762754e+001    
9.05977328271306e+003	   -4.38697979172178e+000   6.17305027908665e+001    
9.06107710122111e+003	   -4.38561126453504e+000   6.17497888235908e+001    
9.06238110736549e+003	   -4.38424139161299e+000   6.17690719676017e+001    
9.06368530117322e+003	   -4.38287017344334e+000   6.17883522160546e+001    
9.06498968267130e+003	   -4.38149761051494e+000   6.18076295621210e+001    
9.06629425188674e+003	   -4.38012370331787e+000   6.18269039989663e+001    
9.06759900884656e+003	   -4.37874845234333e+000   6.18461755197649e+001    
9.06890395357777e+003	   -4.37737185808367e+000   6.18654441177008e+001    
9.07020908610740e+003	   -4.37599392103243e+000   6.18847097859556e+001    
9.07151440646248e+003	   -4.37461464168433e+000   6.19039725177192e+001    
9.07281991467003e+003	   -4.37323402055250e+000   6.19232323052887e+001    
9.07412561075709e+003	   -4.37185205809940e+000   6.19424891436647e+001    
9.07543149475070e+003	   -4.37046875484046e+000   6.19617430251471e+001    
9.07673756667790e+003	   -4.36908411127497e+000   6.19809939429504e+001    
9.07804382656573e+003	   -4.36769812790345e+000   6.20002418902888e+001    
9.07935027444126e+003	   -4.36631080522746e+000   6.20194868603845e+001    
9.08065691033152e+003	   -4.36492214374979e+000   6.20387288464640e+001    
9.08196373426358e+003	   -4.36353214397439e+000   6.20579678417538e+001    
9.08327074626450e+003	   -4.36214080640631e+000   6.20772038394942e+001    
9.08457794636134e+003	   -4.36074813155176e+000   6.20964368329242e+001    
9.08588533458118e+003	   -4.35935411991807e+000   6.21156668152931e+001    
9.08719291095109e+003	   -4.35795877201379e+000   6.21348937798484e+001    
9.08850067549814e+003	   -4.35656208834852e+000   6.21541177198504e+001    
9.08980862824942e+003	   -4.35516406943303e+000   6.21733386285583e+001    
9.09111676923201e+003	   -4.35376471577928e+000   6.21925564992393e+001    
9.09242509847300e+003	   -4.35236402790028e+000   6.22117713251681e+001    
9.09373361599948e+003	   -4.35096200631020e+000   6.22309830996224e+001    
9.09504232183855e+003	   -4.34955865152438e+000   6.22501918158878e+001    
9.09635121601732e+003	   -4.34815396405928e+000   6.22693974672438e+001    
9.09766029856287e+003	   -4.34674794443246e+000   6.22886000469925e+001    
9.09896956950233e+003	   -4.34534059316263e+000   6.23077995484281e+001    
9.10027902886281e+003	   -4.34393191076963e+000   6.23269959648572e+001    
9.10158867667142e+003	   -4.34252189777439e+000   6.23461892895880e+001    
9.10289851295528e+003	   -4.34111055469902e+000   6.23653795159374e+001    
9.10420853774152e+003	   -4.33969788206671e+000   6.23845666372215e+001    
9.10551875105726e+003	   -4.33828388040176e+000   6.24037506467696e+001    
9.10682915292963e+003	   -4.33686855022964e+000   6.24229315379108e+001    
9.10813974338578e+003	   -4.33545189207691e+000   6.24421093039813e+001    
9.10945052245284e+003	   -4.33403390647121e+000   6.24612839383266e+001    
9.11076149015795e+003	   -4.33261459394138e+000   6.24804554342850e+001    
9.11207264652827e+003	   -4.33119395501727e+000   6.24996237852155e+001    
9.11338399159094e+003	   -4.32977199022991e+000   6.25187889844758e+001    
9.11469552537312e+003	   -4.32834870011143e+000   6.25379510254261e+001    
9.11600724790196e+003	   -4.32692408519504e+000   6.25571099014376e+001    
9.11731915920464e+003	   -4.32549814601507e+000   6.25762656058839e+001    
9.11863125930831e+003	   -4.32407088310701e+000   6.25954181321416e+001    
9.11994354824016e+003	   -4.32264229700734e+000   6.26145674735985e+001    
9.12125602602735e+003	   -4.32121238825371e+000   6.26337136236457e+001    
9.12256869269706e+003	   -4.31978115738488e+000   6.26528565756779e+001    
9.12388154827647e+003	   -4.31834860494067e+000   6.26719963230976e+001    
9.12519459279278e+003	   -4.31691473146205e+000   6.26911328593069e+001    
9.12650782627317e+003	   -4.31547953749103e+000   6.27102661777257e+001    
9.12782124874483e+003	   -4.31404302357073e+000   6.27293962717684e+001    
9.12913486023497e+003	   -4.31260519024535e+000   6.27485231348556e+001    
9.13044866077079e+003	   -4.31116603806023e+000   6.27676467604202e+001    
9.13176265037949e+003	   -4.30972556756175e+000   6.27867671418965e+001    
9.13307682908828e+003	   -4.30828377929737e+000   6.28058842727247e+001    
9.13439119692438e+003	   -4.30684067381570e+000   6.28249981463471e+001    
9.13570575391500e+003	   -4.30539625166636e+000   6.28441087562178e+001    
9.13702050008737e+003	   -4.30395051340008e+000   6.28632160957931e+001    
9.13833543546872e+003	   -4.30250345956867e+000   6.28823201585369e+001    
9.13965056008626e+003	   -4.30105509072505e+000   6.29014209379145e+001    
9.14096587396725e+003	   -4.29960540742314e+000   6.29205184274016e+001    
9.14228137713890e+003	   -4.29815441021801e+000   6.29396126204760e+001    
9.14359706962847e+003	   -4.29670209966577e+000   6.29587035106257e+001    
9.14491295146320e+003	   -4.29524847632361e+000   6.29777910913377e+001    
9.14622902267033e+003	   -4.29379354074980e+000   6.29968753561098e+001    
9.14754528327713e+003	   -4.29233729350362e+000   6.30159562984449e+001    
9.14886173331085e+003	   -4.29087973514551e+000   6.30350339118491e+001    
9.15017837279875e+003	   -4.28942086623694e+000   6.30541081898369e+001    
9.15149520176810e+003	   -4.28796068734040e+000   6.30731791259243e+001    
9.15281222024615e+003	   -4.28649919901947e+000   6.30922467136399e+001    
9.15412942826020e+003	   -4.28503640183883e+000   6.31113109465111e+001    
9.15544682583750e+003	   -4.28357229636415e+000   6.31303718180780e+001    
9.15676441300535e+003	   -4.28210688316221e+000   6.31494293218780e+001    
9.15808218979103e+003	   -4.28064016280082e+000   6.31684834514614e+001    
9.15940015622183e+003	   -4.27917213584884e+000   6.31875342003841e+001    
9.16071831232503e+003	   -4.27770280287625e+000   6.32065815621966e+001    
9.16203665812795e+003	   -4.27623216445396e+000   6.32256255304696e+001    
9.16335519365786e+003	   -4.27476022115399e+000   6.32446660987785e+001    
9.16467391894209e+003	   -4.27328697354946e+000   6.32637032606890e+001    
9.16599283400794e+003	   -4.27181242221445e+000   6.32827370097910e+001    
9.16731193888271e+003	   -4.27033656772411e+000   6.33017673396727e+001    
9.16863123359373e+003	   -4.26885941065467e+000   6.33207942439238e+001    
9.16995071816831e+003	   -4.26738095158335e+000   6.33398177161461e+001    
9.17127039263379e+003	   -4.26590119108845e+000   6.33588377499453e+001    
9.17259025701748e+003	   -4.26442012974924e+000   6.33778543389354e+001    
9.17391031134673e+003	   -4.26293776814612e+000   6.33968674767293e+001    
9.17523055564885e+003	   -4.26145410686047e+000   6.34158771569514e+001    
9.17655098995121e+003	   -4.25996914647466e+000   6.34348833732329e+001    
9.17787161428112e+003	   -4.25848288757221e+000   6.34538861192050e+001    
9.17919242866596e+003	   -4.25699533073754e+000   6.34728853885120e+001    
9.18051343313306e+003	   -4.25550647655617e+000   6.34918811747993e+001    
9.18183462770978e+003	   -4.25401632561462e+000   6.35108734717202e+001    
9.18315601242349e+003	   -4.25252487850046e+000   6.35298622729321e+001    
9.18447758730154e+003	   -4.25103213580223e+000   6.35488475721007e+001    
9.18579935237130e+003	   -4.24953809810956e+000   6.35678293628946e+001    
