! CMT, S5085, 19027456, 23.4.5/2
! Date: 9/2/2026 1:01:41 PM
! Stimulus(Hz),    S11(dB),           S21(dB),           S12(dB),           S22(dB),           S11(°),            S21(°),            S12(°),            S22(°)
9.00000000000E+03,-3.64861369487E+00,-4.33780287050E+00,-8.45152879323E+00,-4.98758916664E-01,-1.73139650386E-01,-7.42352134141E+01,-2.68513801944E+01,+2.95208979878E+01
9.24781195299E+03,-3.73962685925E+00,-4.38331423035E+00,-8.37653447284E+00,-3.72354290185E-01,-1.39505535044E+00,-7.59226341235E+01,-2.53690455436E+01,+2.87854014714E+01
9.49562390598E+03,-3.83596552612E+00,-4.45439554079E+00,-8.27489887235E+00,-2.56261938332E-01,-2.51512794497E+00,-7.75308247898E+01,-2.39701518640E+01,+2.80714925492E+01
9.74343585896E+03,-3.96189117277E+00,-4.51394674873E+00,-8.14990863344E+00,-1.31350739934E-01,-3.54990114461E+00,-7.93050576945E+01,-2.27426168319E+01,+2.73081686132E+01
9.99124781195E+03,-4.08916473572E+00,-4.56849962474E+00,-7.99296600486E+00,-4.66677011076E-03,-4.55276273782E+00,-8.09421929212E+01,-2.16660775119E+01,+2.65634831287E+01
1.02390597649E+04,-4.22311362934E+00,-4.63356865654E+00,-7.82645631527E+00,+1.07384654816E-01,-5.46090708591E+00,-8.26866475119E+01,-2.07653964017E+01,+2.57599256017E+01
1.04868717179E+04,-4.36337813972E+00,-4.70660642878E+00,-7.63769156282E+00,+2.16577163768E-01,-6.35098029844E+00,-8.43349201113E+01,-1.99429350729E+01,+2.49555616419E+01
1.07346836709E+04,-4.51274435816E+00,-4.78642552731E+00,-7.44004225832E+00,+3.23914152412E-01,-7.06005010407E+00,-8.61169924568E+01,-1.93895341677E+01,+2.41412965553E+01
1.09824956239E+04,-4.67657335241E+00,-4.84491909815E+00,-7.23312778729E+00,+4.30604222473E-01,-7.81104802176E+00,-8.79211361446E+01,-1.89780424372E+01,+2.32954860394E+01
1.12303075769E+04,-4.85040896509E+00,-4.91956718160E+00,-7.01114421136E+00,+5.34889407250E-01,-8.43747552724E+00,-8.96532227863E+01,-1.87713307417E+01,+2.24377990945E+01
1.14781195299E+04,-5.02414157378E+00,-4.99329375946E+00,-6.79478380612E+00,+6.30729840982E-01,-8.94938738531E+00,-9.14580308858E+01,-1.86625380265E+01,+2.15945626417E+01
1.17259314829E+04,-5.20780505748E+00,-5.07359157888E+00,-6.56397514100E+00,+7.27247284469E-01,-9.42040334512E+00,-9.32481950253E+01,-1.87580144032E+01,+2.07225233279E+01
1.19737434359E+04,-5.39330323113E+00,-5.14915938298E+00,-6.35004862644E+00,+8.19353880874E-01,-9.77685499789E+00,-9.50783661617E+01,-1.89519317994E+01,+1.98323412453E+01
