Freq.	V(out)
9.00000000000000e+003	6.36677486153836e-001     2.14308108269101e-001
9.00114266865275e+003	6.36678305144855e-001     2.14335305179766e-001
9.00228548238236e+003	6.36679124343752e-001     2.14362505538741e-001
9.00342844120723e+003	6.36679943750588e-001     2.14389709346464e-001
9.00457154514580e+003	6.36680763365415e-001     2.14416916603369e-001
9.00571479421648e+003	6.36681583188281e-001     2.14444127309896e-001
9.00685818843770e+003	6.36682403219247e-001     2.14471341466477e-001
9.00800172782789e+003	6.36683223458345e-001     2.14498559073551e-001
9.00914541240548e+003	6.36684043905651e-001     2.14525780131553e-001
9.01028924218891e+003	6.36684864561209e-001     2.14553004640916e-001
9.01143321719661e+003	6.36685685425066e-001     2.14580232602084e-001
9.01257733744702e+003	6.36686506497284e-001     2.14607464015487e-001
9.01372160295858e+003	6.36687327777908e-001     2.14634698881565e-001
9.01486601374973e+003	6.36688149266998e-001     2.14661937200755e-001
9.01601056983892e+003	6.36688970964611e-001     2.14689178973490e-001
9.01715527124459e+003	6.36689792870786e-001     2.14716424200209e-001
9.01830011798520e+003	6.36690614985584e-001     2.14743672881347e-001
9.01944511007919e+003	6.36691437309056e-001     2.14770925017346e-001
9.02059024754503e+003	6.36692259841258e-001     2.14798180608635e-001
9.02173553040116e+003	6.36693082582243e-001     2.14825439655659e-001
9.02288095866605e+003	6.36693905532056e-001     2.14852702158846e-001
9.02402653235816e+003	6.36694728690761e-001     2.14879968118642e-001
9.02517225149596e+003	6.36695552058404e-001     2.14907237535478e-001
9.02631811609790e+003	6.36696375635040e-001     2.14934510409795e-001
9.02746412618246e+003	6.36697199420723e-001     2.14961786742026e-001
9.02861028176811e+003	6.36698023415496e-001     2.14989066532611e-001
9.02975658287333e+003	6.36698847619430e-001     2.15016349781988e-001
9.03090302951658e+003	6.36699672032565e-001     2.15043636490593e-001
9.03204962171634e+003	6.36700496654958e-001     2.15070926658864e-001
9.03319635949110e+003	6.36701321486669e-001     2.15098220287234e-001
9.03434324285934e+003	6.36702146527735e-001     2.15125517376149e-001
9.03549027183955e+003	6.36702971778227e-001     2.15152817926041e-001
9.03663744645020e+003	6.36703797238178e-001     2.15180121937347e-001
9.03778476670980e+003	6.36704622907661e-001     2.15207429410508e-001
9.03893223263683e+003	6.36705448786719e-001     2.15234740345958e-001
9.04007984424978e+003	6.36706274875412e-001     2.15262054744140e-001
9.04122760156716e+003	6.36707101173780e-001     2.15289372605486e-001
9.04237550460746e+003	6.36707927681890e-001     2.15316693930438e-001
9.04352355338919e+003	6.36708754399786e-001     2.15344018719429e-001
9.04467174793085e+003	6.36709581327525e-001     2.15371346972907e-001
9.04582008825094e+003	6.36710408465158e-001     2.15398678691297e-001
9.04696857436797e+003	6.36711235812745e-001     2.15426013875048e-001
9.04811720630046e+003	6.36712063370336e-001     2.15453352524590e-001
9.04926598406691e+003	6.36712891137977e-001     2.15480694640366e-001
9.05041490768585e+003	6.36713719115729e-001     2.15508040222816e-001
9.05156397717579e+003	6.36714547303646e-001     2.15535389272372e-001
9.05271319255524e+003	6.36715375701769e-001     2.15562741789478e-001
9.05386255384274e+003	6.36716204310174e-001     2.15590097774571e-001
9.05501206105681e+003	6.36717033128896e-001     2.15617457228086e-001
9.05616171421598e+003	6.36717862157992e-001     2.15644820150465e-001
9.05731151333877e+003	6.36718691397521e-001     2.15672186542148e-001
9.05846145844371e+003	6.36719520847528e-001     2.15699556403573e-001
9.05961154954935e+003	6.36720350508075e-001     2.15726929735174e-001
9.06076178667422e+003	6.36721180379206e-001     2.15754306537392e-001
9.06191216983685e+003	6.36722010460989e-001     2.15781686810671e-001
9.06306269905580e+003	6.36722840753462e-001     2.15809070555443e-001
9.06421337434959e+003	6.36723671256682e-001     2.15836457772153e-001
9.06536419573679e+003	6.36724501970711e-001     2.15863848461231e-001
9.06651516323593e+003	6.36725332895594e-001     2.15891242623126e-001
9.06766627686557e+003	6.36726164031385e-001     2.15918640258272e-001
9.06881753664426e+003	6.36726995378142e-001     2.15946041367108e-001
9.06996894259055e+003	6.36727826935916e-001     2.15973445950076e-001
9.07112049472302e+003	6.36728658704763e-001     2.16000854007612e-001
9.07227219306020e+003	6.36729490684731e-001     2.16028265540158e-001
9.07342403762068e+003	6.36730322875881e-001     2.16055680548151e-001
9.07457602842300e+003	6.36731155278259e-001     2.16083099032032e-001
9.07572816548575e+003	6.36731987891917e-001     2.16110520992237e-001
9.07688044882748e+003	6.36732820716915e-001     2.16137946429214e-001
9.07803287846678e+003	6.36733653753309e-001     2.16165375343393e-001
9.07918545442221e+003	6.36734487001151e-001     2.16192807735221e-001
9.08033817671236e+003	6.36735320460494e-001     2.16220243605132e-001
9.08149104535580e+003	6.36736154131381e-001     2.16247682953570e-001
9.08264406037111e+003	6.36736988013878e-001     2.16275125780971e-001
9.08379722177687e+003	6.36737822108040e-001     2.16302572087779e-001
9.08495052959168e+003	6.36738656413913e-001     2.16330021874431e-001
9.08610398383413e+003	6.36739490931554e-001     2.16357475141368e-001
9.08725758452279e+003	6.36740325661018e-001     2.16384931889030e-001
9.08841133167627e+003	6.36741160602357e-001     2.16412392117856e-001
9.08956522531317e+003	6.36741995755624e-001     2.16439855828288e-001
9.09071926545207e+003	6.36742831120873e-001     2.16467323020763e-001
9.09187345211159e+003	6.36743666698163e-001     2.16494793695727e-001
9.09302778531031e+003	6.36744502487543e-001     2.16522267853617e-001
9.09418226506686e+003	6.36745338489060e-001     2.16549745494869e-001
9.09533689139983e+003	6.36746174702784e-001     2.16577226619930e-001
9.09649166432783e+003	6.36747011128758e-001     2.16604711229239e-001
9.09764658386948e+003	6.36747847767035e-001     2.16632199323236e-001
9.09880165004340e+003	6.36748684617672e-001     2.16659690902358e-001
9.09995686286819e+003	6.36749521680718e-001     2.16687185967051e-001
9.10111222236248e+003	6.36750358956238e-001     2.16714684517754e-001
9.10226772854489e+003	6.36751196444278e-001     2.16742186554906e-001
9.10342338143404e+003	6.36752034144893e-001     2.16769692078950e-001
9.10457918104857e+003	6.36752872058139e-001     2.16797201090326e-001
9.10573512740709e+003	6.36753710184063e-001     2.16824713589474e-001
9.10689122052824e+003	6.36754548522728e-001     2.16852229576836e-001
9.10804746043066e+003	6.36755387074178e-001     2.16879749052854e-001
9.10920384713297e+003	6.36756225838482e-001     2.16907272017965e-001
9.11036038065382e+003	6.36757064815678e-001     2.16934798472616e-001
9.11151706101185e+003	6.36757904005837e-001     2.16962328417244e-001
9.11267388822570e+003	6.36758743408992e-001     2.16989861852291e-001
9.11383086231402e+003	6.36759583025214e-001     2.17017398778200e-001
9.11498798329545e+003	6.36760422854547e-001     2.17044939195410e-001
