! CMT, S5085, 19027456, 23.4.5/2
! Date: 4/10/2026 2:03:02 PM
! Stimulus(Hz),    S11(dB),           S21(dB),           S12(dB),           S22(dB),           S11(°),            S21(°),            S12(°),            S22(°)
9.00000000000E+03,-2.07788225293E+00,-6.98224073647E+00,-6.97895501673E+00,-2.04632132729E+00,+1.86476231118E+01,-5.56693722686E+01,-5.57014463889E+01,+2.20729113740E+01
9.24781195299E+03,-2.04054841238E+00,-7.13098587229E+00,-7.13510572853E+00,-2.00909623047E+00,+1.79394081018E+01,-5.60740014433E+01,-5.61004558987E+01,+2.14278389604E+01
9.49562390598E+03,-2.00601849695E+00,-7.27784748745E+00,-7.27970749410E+00,-1.97267972422E+00,+1.72453956854E+01,-5.64164545886E+01,-5.64534824796E+01,+2.08344744646E+01
9.74343585896E+03,-1.97159307797E+00,-7.41760194144E+00,-7.42401819074E+00,-1.93885019397E+00,+1.65935456700E+01,-5.67975239869E+01,-5.68305040591E+01,+2.02514622300E+01
9.99124781195E+03,-1.94235599088E+00,-7.55918411174E+00,-7.56742978804E+00,-1.90631513535E+00,+1.59263943785E+01,-5.71108991122E+01,-5.71676968026E+01,+1.97088363836E+01
1.02390597649E+04,-1.91523883979E+00,-7.69706304960E+00,-7.70080581708E+00,-1.87765983148E+00,+1.53042293188E+01,-5.74566203019E+01,-5.74783298612E+01,+1.91543602964E+01
1.04868717179E+04,-1.88905756147E+00,-7.82938719763E+00,-7.82802499420E+00,-1.85418636216E+00,+1.46940515280E+01,-5.77588953787E+01,-5.77886991139E+01,+1.86555839462E+01
1.07346836709E+04,-1.86868787627E+00,-7.94745632532E+00,-7.95356373319E+00,-1.82398462702E+00,+1.41157094759E+01,-5.80581712009E+01,-5.80611703937E+01,+1.81623827874E+01
1.09824956239E+04,-1.84366949797E+00,-8.07560985274E+00,-8.07685132136E+00,-1.80198083165E+00,+1.35394878852E+01,-5.83314260392E+01,-5.83803018181E+01,+1.76707892178E+01
1.12303075769E+04,-1.82392946380E+00,-8.19167435055E+00,-8.19037931772E+00,-1.77850472124E+00,+1.29789531273E+01,-5.86241316475E+01,-5.86386889790E+01,+1.72134964022E+01
1.14781195299E+04,-1.80508839096E+00,-8.30827199722E+00,-8.31065263246E+00,-1.75817332588E+00,+1.24359018844E+01,-5.88845390826E+01,-5.89368828436E+01,+1.67538250949E+01
1.17259314829E+04,-1.78729966858E+00,-8.41765133513E+00,-8.41995106126E+00,-1.74090876198E+00,+1.19082342751E+01,-5.91582095150E+01,-5.91505614736E+01,+1.63111249249E+01
1.19737434359E+04,-1.77050495845E+00,-8.52342061759E+00,-8.52402724743E+00,-1.72265243524E+00,+1.13934369679E+01,-5.93987282692E+01,-5.94124873257E+01,+1.58885227223E+01
1.22215553888E+04,-1.75672287867E+00,-8.62815030510E+00,-8.63050416582E+00,-1.70567939168E+00,+1.08821984686E+01,-5.96491913814E+01,-5.96878317467E+01,+1.54836541220E+01
1.24693673418E+04,-1.74105002442E+00,-8.72784802377E+00,-8.72959643157E+00,-1.68924006048E+00,+1.04046949903E+01,-5.99113687385E+01,-5.99368418584E+01,+1.50941330044E+01
1.27171792948E+04,-1.72749590290E+00,-8.82530816284E+00,-8.83091382390E+00,-1.67617016578E+00,+9.91473727986E+00,-6.01688214777E+01,-6.01796507451E+01,+1.47018957418E+01
1.29649912478E+04,-1.71706945277E+00,-8.91803368078E+00,-8.92219889871E+00,-1.66209107954E+00,+9.44546607447E+00,-6.04120473041E+01,-6.04015395373E+01,+1.43297990167E+01
1.32128032008E+04,-1.70317826864E+00,-9.01335473661E+00,-9.01290582227E+00,-1.64945728473E+00,+8.99892509346E+00,-6.06033303055E+01,-6.06662561576E+01,+1.39517566418E+01
1.34606151538E+04,-1.69374729717E+00,-9.10027164156E+00,-9.09931879147E+00,-1.63854324654E+00,+8.54458567126E+00,-6.08904888109E+01,-6.08977752503E+01,+1.36048457345E+01
1.37084271068E+04,-1.68575584669E+00,-9.18071126210E+00,-9.18213416673E+00,-1.62869169449E+00,+8.10030213703E+00,-6.11204404338E+01,-6.11298309138E+01,+1.32598872236E+01
1.39562390598E+04,-1.67693525624E+00,-9.26379635928E+00,-9.26560202485E+00,-1.61713333546E+00,+7.67728603160E+00,-6.13193447110E+01,-6.13592323195E+01,+1.29096019607E+01
1.42040510128E+04,-1.66872679913E+00,-9.34200623287E+00,-9.34112178332E+00,-1.60867525409E+00,+7.26171479973E+00,-6.15844449497E+01,-6.15989079081E+01,+1.25846926726E+01
1.44518629657E+04,-1.66312248867E+00,-9.42018052094E+00,-9.42358683290E+00,-1.59998592173E+00,+6.85150106457E+00,-6.18296008439E+01,-6.18390581861E+01,+1.22533896261E+01
1.46996749187E+04,-1.65571319832E+00,-9.49779581128E+00,-9.49528447971E+00,-1.59236159908E+00,+6.43853271795E+00,-6.20503783393E+01,-6.20859930942E+01,+1.19598605487E+01
1.49474868717E+04,-1.65255305848E+00,-9.56245298631E+00,-9.56985992973E+00,-1.58596202388E+00,+6.04378877506E+00,-6.22746355757E+01,-6.22865774413E+01,+1.16453707237E+01
1.51952988247E+04,-1.64606401233E+00,-9.63813313512E+00,-9.64143620578E+00,-1.57937316122E+00,+5.64879319300E+00,-6.25617918347E+01,-6.25600159504E+01,+1.13453199403E+01
1.54431107777E+04,-1.64270140492E+00,-9.70782549261E+00,-9.70684128419E+00,-1.57340244506E+00,+5.26649566298E+00,-6.27837376944E+01,-6.27780549608E+01,+1.10497198918E+01
1.56909227307E+04,-1.63856083723E+00,-9.77075435179E+00,-9.76855214437E+00,-1.56852930238E+00,+4.88445297488E+00,-6.29988705232E+01,-6.30108320997E+01,+1.07631343965E+01
1.59387346837E+04,-1.63576880369E+00,-9.83300927017E+00,-9.83578594317E+00,-1.56190445498E+00,+4.51453106074E+00,-6.32785957358E+01,-6.32464345521E+01,+1.04744634459E+01
1.61865466367E+04,-1.63443777925E+00,-9.89326035285E+00,-9.89574050536E+00,-1.56044425575E+00,+4.15199693450E+00,-6.35119478608E+01,-6.35192676370E+01,+1.01987449070E+01
1.64343585896E+04,-1.63143892278E+00,-9.95367907833E+00,-9.95566072528E+00,-1.55551294444E+00,+3.79177757598E+00,-6.37621867774E+01,-6.37868776806E+01,+9.92533180437E+00
1.66821705426E+04,-1.62958627889E+00,-1.00096054718E+01,-1.00114915888E+01,-1.55279087689E+00,+3.42406090889E+00,-6.40394299227E+01,-6.40077752531E+01,+9.66306276595E+00
1.69299824956E+04,-1.62936529316E+00,-1.00695830661E+01,-1.00665727302E+01,-1.55025025919E+00,+3.07868931688E+00,-6.42671363206E+01,-6.43020366961E+01,+9.40722598132E+00
1.71777944486E+04,-1.63019892892E+00,-1.01180430072E+01,-1.01203282741E+01,-1.54888886457E+00,+2.73649282173E+00,-6.45430934635E+01,-6.45566564346E+01,+9.14891651171E+00
1.74256064016E+04,-1.62961935860E+00,-1.01718868981E+01,-1.01722845808E+01,-1.54523405835E+00,+2.39307811150E+00,-6.48367021150E+01,-6.48592479544E+01,+8.89735523450E+00
1.76734183546E+04,-1.63077209625E+00,-1.02235959959E+01,-1.02239043876E+01,-1.54615005199E+00,+2.06217252403E+00,-6.50828967579E+01,-6.51127599101E+01,+8.65691559127E+00
1.79212303076E+04,-1.63215205370E+00,-1.02726634892E+01,-1.02749551672E+01,-1.54536710527E+00,+1.73312596639E+00,-6.53774143883E+01,-6.53961392028E+01,+8.40364952887E+00
1.81690422606E+04,-1.63343959639E+00,-1.03209853111E+01,-1.03192740639E+01,-1.54610129286E+00,+1.39823716917E+00,-6.56617691054E+01,-6.56673624833E+01,+8.17278876789E+00
1.84168542136E+04,-1.63636080336E+00,-1.03659481547E+01,-1.03690795069E+01,-1.54560132231E+00,+1.07417436803E+00,-6.59569682188E+01,-6.59548215678E+01,+7.93326636978E+00
1.86646661665E+04,-1.63887619300E+00,-1.04134901862E+01,-1.04169296617E+01,-1.54675021545E+00,+7.63396134923E-01,-6.62152462425E+01,-6.62395689281E+01,+7.69839388692E+00
1.89124781195E+04,-1.64283201747E+00,-1.04590209041E+01,-1.04575186670E+01,-1.54770133018E+00,+4.46370280889E-01,-6.65303670006E+01,-6.65359673703E+01,+7.47814807795E+00
1.91602900725E+04,-1.64472894640E+00,-1.04990343742E+01,-1.05006700768E+01,-1.55014401228E+00,+1.30011646457E-01,-6.68077508925E+01,-6.68491106524E+01,+7.25995507227E+00
1.94081020255E+04,-1.65017807887E+00,-1.05439520403E+01,-1.05408624418E+01,-1.55271584632E+00,-1.70281642244E-01,-6.71317212967E+01,-6.71492851313E+01,+7.03611724063E+00
1.96559139785E+04,-1.65508996285E+00,-1.05784457733E+01,-1.05805363923E+01,-1.55545756541E+00,-4.75564510611E-01,-6.74477445929E+01,-6.74703657683E+01,+6.82203990549E+00
1.99037259315E+04,-1.66108161649E+00,-1.06210596132E+01,-1.06193548907E+01,-1.55961277274E+00,-7.74943226483E-01,-6.77714637844E+01,-6.78006652579E+01,+6.61074595308E+00
2.01515378845E+04,-1.66790379872E+00,-1.06625066800E+01,-1.06578973632E+01,-1.56262085299E+00,-1.07073066520E+00,-6.80912781171E+01,-6.81310379387E+01,+6.40517589503E+00
2.03993498375E+04,-1.67222817418E+00,-1.06987012139E+01,-1.06953980817E+01,-1.56661205087E+00,-1.36691475439E+00,-6.84506556840E+01,-6.84312996089E+01,+6.20035893069E+00
2.06471617904E+04,-1.67924051960E+00,-1.07340611367E+01,-1.07347612807E+01,-1.56958240422E+00,-1.65306481888E+00,-6.87770563396E+01,-6.87972741050E+01,+5.99969394605E+00
2.08949737434E+04,-1.68575520561E+00,-1.07699216433E+01,-1.07732231671E+01,-1.57604374720E+00,-1.93597518805E+00,-6.91239694353E+01,-6.91496237653E+01,+5.78979103667E+00
2.11427856964E+04,-1.69359475755E+00,-1.08048172438E+01,-1.08062507021E+01,-1.58029606634E+00,-2.22249692495E+00,-6.94780471922E+01,-6.95019733634E+01,+5.60127279638E+00
2.13905976494E+04,-1.70169854690E+00,-1.08394574936E+01,-1.08405096301E+01,-1.58755623733E+00,-2.49394246355E+00,-6.98177508352E+01,-6.98459312691E+01,+5.40314749176E+00
2.16384096024E+04,-1.71018255186E+00,-1.08742928865E+01,-1.08709598700E+01,-1.59295801155E+00,-2.77029059272E+00,-7.02078586377E+01,-7.02151818899E+01,+5.21606157649E+00
2.18862215554E+04,-1.72037781954E+00,-1.09107957732E+01,-1.09096858459E+01,-1.60005160600E+00,-3.04054423504E+00,-7.05811810112E+01,-7.05663646170E+01,+5.02518418131E+00
2.21340335084E+04,-1.72744146994E+00,-1.09412162326E+01,-1.09395298271E+01,-1.60719836043E+00,-3.31146223588E+00,-7.09489179705E+01,-7.09628232057E+01,+4.83964169485E+00
2.23818454614E+04,-1.73791066159E+00,-1.09705420888E+01,-1.09705418147E+01,-1.61422117774E+00,-3.57788127918E+00,-7.13365472188E+01,-7.13367564189E+01,+4.65841799513E+00
2.26296574144E+04,-1.74792130502E+00,-1.10062094299E+01,-1.10026665400E+01,-1.62203328531E+00,-3.83717519979E+00,-7.17210812794E+01,-7.17107271909E+01,+4.48707797120E+00
2.28774693673E+04,-1.75949629837E+00,-1.10394179248E+01,-1.10374020759E+01,-1.63105274749E+00,-4.08720106122E+00,-7.21244494678E+01,-7.21114078258E+01,+4.31179670051E+00
2.31252813203E+04,-1.77100113668E+00,-1.10663092092E+01,-1.10698827459E+01,-1.63993177829E+00,-4.35109155651E+00,-7.25103139293E+01,-7.25263429222E+01,+4.13922411724E+00
2.33730932733E+04,-1.78162628911E+00,-1.10964947930E+01,-1.10983173463E+01,-1.64927879532E+00,-4.60622950201E+00,-7.29507785402E+01,-7.29232297083E+01,+3.97245139506E+00
2.36209052263E+04,-1.79357715762E+00,-1.11290161299E+01,-1.11328639964E+01,-1.65772773506E+00,-4.84854868177E+00,-7.33571027034E+01,-7.33493687981E+01,+3.80573361900E+00
2.38687171793E+04,-1.80613317895E+00,-1.11640164263E+01,-1.11598040653E+01,-1.66866174121E+00,-5.09209415965E+00,-7.37683339625E+01,-7.37478015905E+01,+3.64227702181E+00
2.41165291323E+04,-1.81905579592E+00,-1.11925187815E+01,-1.11960195951E+01,-1.67860447628E+00,-5.33791721501E+00,-7.41893265120E+01,-7.41896495753E+01,+3.47981777113E+00
2.43643410853E+04,-1.83162704053E+00,-1.12236851093E+01,-1.12241823691E+01,-1.69014859974E+00,-5.56993936843E+00,-7.46153087349E+01,-7.46653230699E+01,+3.32559695238E+00
2.46121530383E+04,-1.84553341404E+00,-1.12565838099E+01,-1.12560403310E+01,-1.70015873119E+00,-5.79708241020E+00,-7.50651683309E+01,-7.50660820804E+01,+3.17242206813E+00
2.48599649912E+04,-1.85953671170E+00,-1.12842440205E+01,-1.12844167302E+01,-1.71250236287E+00,-6.03021351277E+00,-7.54870910691E+01,-7.55182337475E+01,+3.02919207245E+00
2.51077769442E+04,-1.87333715675E+00,-1.13169777768E+01,-1.13181363589E+01,-1.72438023505E+00,-6.25775502908E+00,-7.59419162224E+01,-7.59317098067E+01,+2.87717350461E+00
2.53555888972E+04,-1.88922327951E+00,-1.13492345092E+01,-1.13468207598E+01,-1.73624394203E+00,-6.47810302810E+00,-7.64260155623E+01,-7.63918095122E+01,+2.73794786990E+00
2.56034008502E+04,-1.90470814407E+00,-1.13789152890E+01,-1.13778082538E+01,-1.74918283547E+00,-6.69686883576E+00,-7.68645389650E+01,-7.68516065993E+01,+2.59219001828E+00
2.58512128032E+04,-1.91885523442E+00,-1.14070362237E+01,-1.14132967877E+01,-1.76214397273E+00,-6.91645004785E+00,-7.73362991402E+01,-7.73568024676E+01,+2.46454514883E+00
