! CMT, S5085, 19027456, 23.4.5/2
! Date: 4/27/2026 2:41:15 PM
! Stimulus(Hz),    S11(dB),           S21(dB),           S12(dB),           S22(dB),           S11(°),            S21(°),            S12(°),            S22(SWR)
9.00000000000E+03,-3.85282491858E-01,-1.26797739336E+01,-1.26711604449E+01,-4.96801975896E-01,-1.61534918253E+02,+1.18119430430E+02,+1.18135539588E+02,+3.49767427369E+01
9.00486835309E+03,-3.62939981217E-01,-1.27033999862E+01,-1.26988698752E+01,-4.87276217020E-01,-1.61635789271E+02,+1.17949760903E+02,+1.17846239858E+02,+3.56601337032E+01
9.00973933961E+03,-3.67488003321E-01,-1.27088394175E+01,-1.27373950562E+01,-4.88497345753E-01,-1.61541585216E+02,+1.17922024131E+02,+1.17934576877E+02,+3.55710385360E+01
9.01461296098E+03,-3.72770497709E-01,-1.27374676618E+01,-1.27432565028E+01,-4.68667746488E-01,-1.61669151668E+02,+1.17756441282E+02,+1.17682451344E+02,+3.70752924252E+01
9.01948921863E+03,-3.40052542770E-01,-1.27726212239E+01,-1.27714714975E+01,-4.75548181490E-01,-1.61575048171E+02,+1.17793254877E+02,+1.17666604363E+02,+3.65391333073E+01
9.02436811399E+03,-3.34757980258E-01,-1.28114826025E+01,-1.28195243539E+01,-4.80649730508E-01,-1.61773679269E+02,+1.17684047220E+02,+1.17598050667E+02,+3.61515067771E+01
9.02924964848E+03,-3.65125916869E-01,-1.28382647693E+01,-1.28646852309E+01,-4.84845427907E-01,-1.61710849035E+02,+1.17660775681E+02,+1.17689914422E+02,+3.58388234924E+01
9.03413382352E+03,-3.62507609640E-01,-1.28753999100E+01,-1.28756019361E+01,-4.65950584870E-01,-1.61932964090E+02,+1.17497947155E+02,+1.17458259816E+02,+3.72913900994E+01
9.03902064056E+03,-3.45548816657E-01,-1.29252710869E+01,-1.29032538958E+01,-4.54962620500E-01,-1.61894548882E+02,+1.17400960728E+02,+1.17353588113E+02,+3.81916010194E+01
9.04391010101E+03,-3.42246335017E-01,-1.29150001740E+01,-1.29233129349E+01,-4.55024831938E-01,-1.61871266996E+02,+1.17327895304E+02,+1.17371914232E+02,+3.81863818135E+01
9.04880220631E+03,-3.37432293975E-01,-1.29547746520E+01,-1.29543502668E+01,-4.52862783338E-01,-1.61970774217E+02,+1.17388460750E+02,+1.17285479775E+02,+3.83686073249E+01
9.05369695789E+03,-3.48932016550E-01,-1.30102078466E+01,-1.30052694974E+01,-4.58299920788E-01,-1.61954375402E+02,+1.17311172694E+02,+1.17282684731E+02,+3.79136206876E+01
