! CMT, S5085, 19027456, 23.4.5/2
! Date: 4/27/2026 3:09:16 PM
! Stimulus(Hz),    S11(dB),           S21(dB),           S12(dB),           S22(dB),           S11(°),            S21(°),            S12(°),            S22(SWR)
9.00000000000E+03,-1.14228600447E-01,-2.94001038613E+01,-2.96309737271E+01,-2.79530334131E+00,-1.62280889052E+02,+8.02318935973E+01,+8.08099889878E+01,+6.26817567817E+00
9.00486835309E+03,-1.08579389602E-01,-2.94864558006E+01,-2.98539259093E+01,-2.76062291349E+00,-1.62382948253E+02,+7.86485286300E+01,+7.81519142497E+01,+6.34558514730E+00
9.00973933961E+03,-1.12735185576E-01,-2.96684190099E+01,-3.00062123232E+01,-2.76125603270E+00,-1.62427304609E+02,+7.94799782680E+01,+7.87153327106E+01,+6.34415440172E+00
9.01461296098E+03,-9.94345694290E-02,-2.98349839137E+01,-2.99769250078E+01,-2.76365256947E+00,-1.62600582674E+02,+7.93238038504E+01,+7.85160722559E+01,+6.33874460864E+00
9.01948921863E+03,-9.29074647853E-02,-2.99632160476E+01,-3.02803792622E+01,-2.76549473068E+00,-1.62560505691E+02,+7.93300513286E+01,+7.88707263338E+01,+6.33459265571E+00
9.02436811399E+03,-8.71600359345E-02,-3.00979745058E+01,-3.03833403755E+01,-2.76962993718E+00,-1.62640905193E+02,+7.89594937737E+01,+7.88882853546E+01,+6.32529280933E+00
9.02924964848E+03,-1.06621589544E-01,-3.00256316873E+01,-3.03595539006E+01,-2.76497186923E+00,-1.62588725655E+02,+7.90000730344E+01,+7.88120337772E+01,+6.33577053936E+00
9.03413382352E+03,-1.16377032292E-01,-3.03681116080E+01,-3.04709912878E+01,-2.75965010232E+00,-1.62681618438E+02,+7.88905886883E+01,+7.85926825107E+01,+6.34778483105E+00
9.03902064056E+03,-8.66866436544E-02,-3.04272014293E+01,-3.07633652517E+01,-2.77077283868E+00,-1.62754313535E+02,+7.88246893862E+01,+7.85489424602E+01,+6.32272742588E+00
9.04391010101E+03,-1.06317918612E-01,-3.03965847704E+01,-3.07179788214E+01,-2.76798308002E+00,-1.62774681969E+02,+7.92247966240E+01,+7.88700865594E+01,+6.32899314062E+00
