! CMT, S5085, , 23.4.5/2
! Date: 4/28/2026 4:32:27 PM
! Stimulus(Hz),    S11(dB),           S21(dB),           S12(dB),           S22(dB),           S11(°),            S21(°),            S12(°),            S22(°)
9.00000000000E+03,-5.75987526091E-01,-1.24901075009E+01,-1.24967994811E+01,-9.03301085254E-01,-1.58238166063E+02,-9.32241502566E+01,-8.99664412188E+01,-1.49387651756E+02
9.00486835309E+03,-5.52783865482E-01,-1.26562131094E+01,-1.27272360181E+01,-7.95281584008E-01,-1.58542761162E+02,-9.29462681776E+01,-9.26864906703E+01,-1.50007565086E+02
9.00973933961E+03,-5.31387902762E-01,-1.26183273747E+01,-1.26540458134E+01,-8.36477061368E-01,-1.58366058086E+02,-9.33194472971E+01,-9.24261016470E+01,-1.49995841534E+02
9.01461296098E+03,-5.22390224511E-01,-1.26871408190E+01,-1.27799968517E+01,-7.65666839548E-01,-1.58557232161E+02,-9.32893248912E+01,-9.38392865446E+01,-1.50241357033E+02
9.01948921863E+03,-5.84482804919E-01,-1.26619421401E+01,-1.27740930425E+01,-8.44435419636E-01,-1.58592530698E+02,-9.20881794440E+01,-9.27469003779E+01,-1.50253747323E+02
9.02436811399E+03,-5.53184746718E-01,-1.27639832015E+01,-1.28460204473E+01,-7.44903379383E-01,-1.58647689449E+02,-9.20684246552E+01,-9.42794013960E+01,-1.50515373891E+02
9.02924964848E+03,-5.69454953453E-01,-1.27261373724E+01,-1.28148121260E+01,-8.27433326299E-01,-1.58686046830E+02,-9.21460734097E+01,-9.29784661295E+01,-1.50395861168E+02
9.03413382352E+03,-5.30465092527E-01,-1.28359292957E+01,-1.29492144197E+01,-7.66779600085E-01,-1.58677508660E+02,-9.35874878398E+01,-9.42365954961E+01,-1.50612668618E+02
9.03902064056E+03,-5.03569679456E-01,-1.28832449276E+01,-1.29769203892E+01,-8.01920700753E-01,-1.58827793934E+02,-9.37061628801E+01,-9.30275705354E+01,-1.50795665931E+02
9.04391010101E+03,-4.99896616109E-01,-1.28533804872E+01,-1.30138381005E+01,-7.42205261597E-01,-1.58795950447E+02,-9.38668576870E+01,-9.43325157450E+01,-1.50894107955E+02
9.04880220631E+03,-4.80786348786E-01,-1.29593559270E+01,-1.30238984059E+01,-7.84244770776E-01,-1.59013584631E+02,-9.39354588299E+01,-9.32254061735E+01,-1.50935315570E+02
9.05369695789E+03,-5.28489672295E-01,-1.29928937393E+01,-1.30777877774E+01,-7.67518414377E-01,-1.58961231711E+02,-9.28623479985E+01,-9.34848237197E+01,-1.50914714391E+02
9.05859435717E+03,-5.39305623962E-01,-1.30900519928E+01,-1.31386661184E+01,-7.28145014687E-01,-1.59198458991E+02,-9.26879426092E+01,-9.47898943968E+01,-1.51182714240E+02
9.06349440559E+03,-4.92766825223E-01,-1.30839908437E+01,-1.31793971718E+01,-7.22235613171E-01,-1.59021870690E+02,-9.40140777984E+01,-9.45683969598E+01,-1.51160909880E+02
9.06839710459E+03,-5.23574413324E-01,-1.30967325496E+01,-1.32202267794E+01,-7.26230997952E-01,-1.59137170623E+02,-9.26515400709E+01,-9.47203395578E+01,-1.51268610097E+02
