! CMT, S5085, 19027456, 23.4.5/2
! Date: 4/29/2026 4:06:43 PM
! Stimulus(Hz),    S11(dB),           S21(dB),           S12(dB),           S22(dB),           S11(°),            S21(°),            S12(°),            S22(°)
9.00000000000E+03,+3.50901368589E-02,-1.64998469705E+01,-1.66027430305E+01,+1.12483814642E-02,-1.69559249347E+02,+1.07567586721E+02,+1.07450535821E+02,-1.62974403465E+02
9.00486835309E+03,+3.64169990429E-02,-1.64459632337E+01,-1.65429999373E+01,+2.52955467305E-02,-1.69856201418E+02,+1.06436913362E+02,+1.06330708597E+02,-1.63203681321E+02
9.00973933961E+03,+5.62513642950E-02,-1.64744060358E+01,-1.65771561699E+01,+5.01666398545E-02,-1.69767992001E+02,+1.06252662220E+02,+1.06186065131E+02,-1.63144016162E+02
9.01461296098E+03,+4.66984803281E-02,-1.65081103352E+01,-1.66115788810E+01,+5.10322985125E-02,-1.69758663983E+02,+1.06318722196E+02,+1.06203451927E+02,-1.63115627918E+02
9.01948921863E+03,+3.52053841324E-02,-1.65610941718E+01,-1.66667495352E+01,+3.42125055191E-02,-1.69792516213E+02,+1.06102837997E+02,+1.05995622102E+02,-1.63230701408E+02
9.02436811399E+03,+6.41834518016E-02,-1.65879594892E+01,-1.66812484516E+01,+5.67641152621E-02,-1.69691036310E+02,+1.06167828280E+02,+1.06034127559E+02,-1.63103271432E+02
9.02924964848E+03,+5.35610163755E-02,-1.66287275315E+01,-1.67227948505E+01,+5.25635988263E-02,-1.69828645272E+02,+1.06182579879E+02,+1.06065844130E+02,-1.63250040707E+02
9.03413382352E+03,+4.94032773818E-02,-1.66543617714E+01,-1.67545711858E+01,+5.00749561415E-02,-1.69828224115E+02,+1.06175221990E+02,+1.06042494744E+02,-1.63289787982E+02
9.03902064056E+03,+7.78021751071E-02,-1.66691204708E+01,-1.67667983465E+01,+7.76926117319E-02,-1.69984290540E+02,+1.05950085096E+02,+1.05890684680E+02,-1.63440056523E+02
9.04391010101E+03,+7.39543908094E-02,-1.67105989817E+01,-1.68081109679E+01,+6.82941236662E-02,-1.69949052906E+02,+1.06028657847E+02,+1.05971858144E+02,-1.63445836003E+02
9.04880220631E+03,+6.05040366530E-02,-1.67363292519E+01,-1.68392038604E+01,+5.91506082820E-02,-1.70114370175E+02,+1.05843188720E+02,+1.05701554572E+02,-1.63608522431E+02
9.05369695789E+03,+6.03191299029E-02,-1.67878240611E+01,-1.68775800675E+01,+6.21098509152E-02,-1.69974572010E+02,+1.05865645902E+02,+1.05757202441E+02,-1.63504818297E+02
9.05859435717E+03,+7.50461323148E-02,-1.67965655726E+01,-1.68956216725E+01,+7.43429738951E-02,-1.70077989148E+02,+1.05895802246E+02,+1.05792821563E+02,-1.63654661936E+02
9.06349440559E+03,+4.43732267127E-02,-1.68630919232E+01,-1.69551857008E+01,+4.77430806513E-02,-1.69967298283E+02,+1.05904169491E+02,+1.05804153369E+02,-1.63568201517E+02
9.06839710459E+03,+6.78315168198E-02,-1.68926524078E+01,-1.69906189699E+01,+6.22533548229E-02,-1.70023969985E+02,+1.05841559670E+02,+1.05718232598E+02,-1.63599021119E+02
9.07330245560E+03,+5.47437204508E-02,-1.69297463751E+01,-1.70226041207E+01,+6.19672485111E-02,-1.70008269740E+02,+1.05779767189E+02,+1.05712026571E+02,-1.63635257566E+02
9.07821046005E+03,+5.51014868144E-02,-1.69374995838E+01,-1.70286907592E+01,+5.90301585321E-02,-1.70143337618E+02,+1.05638395044E+02,+1.05474508086E+02,-1.63774767314E+02
9.08312111938E+03,+7.50806314172E-02,-1.69625480806E+01,-1.70594614259E+01,+7.40582083165E-02,-1.70165151096E+02,+1.05605863035E+02,+1.05581860829E+02,-1.63798643930E+02
9.08803443502E+03,+5.03597543715E-02,-1.69938261304E+01,-1.70864669322E+01,+5.84301278532E-02,-1.70225900600E+02,+1.05592978301E+02,+1.05448274210E+02,-1.63855558107E+02
9.09295040841E+03,+5.96705437333E-02,-1.70590154325E+01,-1.71456616618E+01,+6.43020650627E-02,-1.70265770061E+02,+1.05488823593E+02,+1.05383488071E+02,-1.63893938332E+02
9.09786904099E+03,+4.68344202341E-02,-1.70810700647E+01,-1.71767358077E+01,+4.37328213374E-02,-1.70343796887E+02,+1.05415950546E+02,+1.05298762896E+02,-1.63966417637E+02
