! CMT, S5085, 19027456, 23.4.5/2
! Date: 4/10/2026 3:03:34 PM
! Stimulus(Hz),    S11(dB),           S21(dB),           S12(dB),           S22(dB),           S11(°),            S21(°),            S12(°),            S22(°)
9.00000000000E+03,-3.70677401507E-01,-1.48279075474E+01,-1.48060987771E+01,-4.69506184523E-01,-1.65708632225E+02,+1.15331895273E+02,+1.15139754595E+02,-1.57153516537E+02
9.24781195299E+03,-2.95023082205E-01,-1.67597157105E+01,-1.67245808407E+01,-3.46901816093E-01,-1.67465731114E+02,+1.12475372181E+02,+1.12172452240E+02,-1.60257416686E+02
9.49562390598E+03,-2.40051413636E-01,-1.84511513222E+01,-1.84019192626E+01,-2.80048139478E-01,-1.68802093933E+02,+1.10404061217E+02,+1.10048158519E+02,-1.62491675564E+02
9.74343585896E+03,-2.15302069037E-01,-1.99725049959E+01,-1.99044937948E+01,-2.34941991244E-01,-1.69768563059E+02,+1.08973860619E+02,+1.08528553827E+02,-1.64188634966E+02
9.99124781195E+03,-1.95193309636E-01,-2.13466969195E+01,-2.12615512080E+01,-2.06574607082E-01,-1.70632409664E+02,+1.07812241443E+02,+1.07262383764E+02,-1.65603598129E+02
1.02390597649E+04,-1.76245856919E-01,-2.26037052199E+01,-2.24998974948E+01,-1.88889834422E-01,-1.71252753638E+02,+1.06907856837E+02,+1.06303330853E+02,-1.66672756802E+02
1.04868717179E+04,-1.76153784864E-01,-2.37823305428E+01,-2.36582062827E+01,-1.70968943308E-01,-1.71816039012E+02,+1.06288181671E+02,+1.05580407973E+02,-1.67573793296E+02
1.07346836709E+04,-1.71114295070E-01,-2.48625145804E+01,-2.47306672860E+01,-1.58189946166E-01,-1.72319576344E+02,+1.05706500062E+02,+1.04891090316E+02,-1.68361891741E+02
1.09824956239E+04,-1.65593764016E-01,-2.58816663750E+01,-2.57134770472E+01,-1.54728154183E-01,-1.72706044932E+02,+1.05405308070E+02,+1.04425980752E+02,-1.69099571134E+02
1.12303075769E+04,-1.58740406121E-01,-2.68432427524E+01,-2.66710562938E+01,-1.45289654679E-01,-1.73098380687E+02,+1.05042303024E+02,+1.03944140530E+02,-1.69628823747E+02
1.14781195299E+04,-1.58394875960E-01,-2.77462994998E+01,-2.75667302800E+01,-1.41592179184E-01,-1.73405613093E+02,+1.04824577947E+02,+1.03561183765E+02,-1.70211945104E+02
1.17259314829E+04,-1.61757118333E-01,-2.86275221427E+01,-2.84260645836E+01,-1.43899082685E-01,-1.73706455067E+02,+1.04635154400E+02,+1.03283569676E+02,-1.70645405640E+02
1.19737434359E+04,-1.61351253554E-01,-2.94448416014E+01,-2.92220142037E+01,-1.37641310826E-01,-1.73940143873E+02,+1.04511564677E+02,+1.03000604572E+02,-1.71052801563E+02
1.22215553888E+04,-1.64222423202E-01,-3.02008662905E+01,-3.00087210306E+01,-1.28790161656E-01,-1.74189335780E+02,+1.04347598516E+02,+1.02648571297E+02,-1.71486507844E+02
1.24693673418E+04,-1.61776199812E-01,-3.09373709725E+01,-3.07247389924E+01,-1.30004273743E-01,-1.74383749080E+02,+1.04343484705E+02,+1.02501505932E+02,-1.71794272537E+02
1.27171792948E+04,-1.60994870724E-01,-3.16452007655E+01,-3.14425745135E+01,-1.29487219365E-01,-1.74546280735E+02,+1.04414225595E+02,+1.02389068921E+02,-1.72083940550E+02
1.29649912478E+04,-1.68936055931E-01,-3.23132596239E+01,-3.21335001994E+01,-1.24999967259E-01,-1.74760241767E+02,+1.04298896257E+02,+1.02108558754E+02,-1.72347679865E+02
1.32128032008E+04,-1.68538149852E-01,-3.29568125908E+01,-3.27788624310E+01,-1.21049159023E-01,-1.74872340369E+02,+1.04369231858E+02,+1.01948693819E+02,-1.72667714517E+02
1.34606151538E+04,-1.68598306091E-01,-3.35579863170E+01,-3.34054305844E+01,-1.24813187247E-01,-1.75065260475E+02,+1.04265137378E+02,+1.01896447165E+02,-1.72885264086E+02
1.37084271068E+04,-1.73735774960E-01,-3.41516885677E+01,-3.40120419127E+01,-1.23113462260E-01,-1.75187287442E+02,+1.04391336925E+02,+1.01640396523E+02,-1.73089951339E+02
1.39562390598E+04,-1.77891002148E-01,-3.47404366999E+01,-3.46134094120E+01,-1.24179407251E-01,-1.75343841064E+02,+1.04324617569E+02,+1.01533478487E+02,-1.73322551868E+02
1.42040510128E+04,-1.77273691661E-01,-3.53032538599E+01,-3.51822165026E+01,-1.19484485677E-01,-1.75485373262E+02,+1.04340990336E+02,+1.01402719309E+02,-1.73519740174E+02
1.44518629657E+04,-1.75672202894E-01,-3.57828951862E+01,-3.57135536877E+01,-1.16443163601E-01,-1.75534814590E+02,+1.04329335972E+02,+1.01249129325E+02,-1.73710270031E+02
1.46996749187E+04,-1.76878028171E-01,-3.63166369851E+01,-3.62727164858E+01,-1.27109804790E-01,-1.75637405995E+02,+1.04358153066E+02,+1.01087104171E+02,-1.73901386016E+02
1.49474868717E+04,-1.84472245957E-01,-3.68040636395E+01,-3.67789958605E+01,-1.22975702800E-01,-1.75742063153E+02,+1.04118570583E+02,+1.00928908001E+02,-1.74040340056E+02
1.51952988247E+04,-1.85129847462E-01,-3.72499038202E+01,-3.72877364354E+01,-1.23492430273E-01,-1.75800814410E+02,+1.04012729988E+02,+1.00852210253E+02,-1.74193896853E+02
1.54431107777E+04,-1.86382615224E-01,-3.77325759688E+01,-3.77712583320E+01,-1.20605451871E-01,-1.75932213711E+02,+1.03844823637E+02,+1.00681420652E+02,-1.74331566131E+02
1.56909227307E+04,-1.89489186814E-01,-3.81516654904E+01,-3.82416488495E+01,-1.23186840355E-01,-1.75986262089E+02,+1.03857318606E+02,+1.00494896620E+02,-1.74521724943E+02
1.59387346837E+04,-1.88619500357E-01,-3.85585424895E+01,-3.86941872163E+01,-1.23904603419E-01,-1.76100972453E+02,+1.03560663285E+02,+1.00282794092E+02,-1.74616165476E+02
1.61865466367E+04,-1.91350004936E-01,-3.90007159359E+01,-3.91776947251E+01,-1.26905796528E-01,-1.76143051589E+02,+1.03333636191E+02,+9.99663070474E+01,-1.74764468885E+02
1.64343585896E+04,-1.95781683768E-01,-3.93910819657E+01,-3.96070425657E+01,-1.23501219669E-01,-1.76216414758E+02,+1.03217136375E+02,+9.98734707395E+01,-1.74848444822E+02
1.66821705426E+04,-1.97567197200E-01,-3.97768740510E+01,-4.00385732556E+01,-1.22861670729E-01,-1.76262006261E+02,+1.03061275478E+02,+9.97745533092E+01,-1.74973778639E+02
1.69299824956E+04,-1.95687618209E-01,-4.02079361454E+01,-4.04614144029E+01,-1.19402498455E-01,-1.76345087660E+02,+1.02442040218E+02,+9.93931013754E+01,-1.75070081048E+02
1.71777944486E+04,-1.96466480557E-01,-4.05427495658E+01,-4.08715278731E+01,-1.21973803349E-01,-1.76374992906E+02,+1.02006740161E+02,+9.91350247986E+01,-1.75205166676E+02
1.74256064016E+04,-1.96915919321E-01,-4.09157129490E+01,-4.12839919289E+01,-1.22122681062E-01,-1.76433753153E+02,+1.01570744323E+02,+9.89234111550E+01,-1.75285185592E+02
1.76734183546E+04,-2.01587263817E-01,-4.12894599477E+01,-4.16634776777E+01,-1.27844758962E-01,-1.76483326656E+02,+1.01264421261E+02,+9.85891483472E+01,-1.75392384479E+02
1.79212303076E+04,-2.03853392410E-01,-4.16376452077E+01,-4.20737456103E+01,-1.20679877951E-01,-1.76510584909E+02,+1.00749591723E+02,+9.84133176709E+01,-1.75488524625E+02
1.81690422606E+04,-2.07822649078E-01,-4.19697389478E+01,-4.24684167222E+01,-1.20366000435E-01,-1.76541386324E+02,+1.00164073004E+02,+9.79637132103E+01,-1.75567148494E+02
1.84168542136E+04,-2.05939011117E-01,-4.22961798090E+01,-4.28435116473E+01,-1.23480802198E-01,-1.76620108004E+02,+9.94895366164E+01,+9.77581965842E+01,-1.75652124392E+02
1.86646661665E+04,-2.02889365060E-01,-4.26391856648E+01,-4.31919253938E+01,-1.18704653195E-01,-1.76637337704E+02,+9.85949492515E+01,+9.73487932951E+01,-1.75750971752E+02
