! CMT, S5085, 19027456, 23.4.5/2
! Date: 4/30/2026 11:18:58 AM
! Stimulus(Hz),    S11(dB),           S21(dB),           S12(dB),           S22(dB),           S11(°),            S21(°),            S12(°),            S22(°)
9.00000000000E+03,+3.83786119250E-01,-2.47115104888E+01,-2.48629253911E+01,+3.71661810469E-01,-1.78496042659E+02,-8.49074287386E+01,-8.39905964427E+01,-1.77946523462E+02
9.00486835309E+03,+3.54071719782E-01,-2.46428042164E+01,-2.47788704806E+01,+3.50960841138E-01,-1.78863583829E+02,-8.66352860502E+01,-8.55968534629E+01,-1.78455258918E+02
9.00973933961E+03,+3.66240812934E-01,-2.47032648947E+01,-2.48114157783E+01,+3.66387030693E-01,-1.78612342032E+02,-8.65585648711E+01,-8.55749273416E+01,-1.78247444091E+02
9.01461296098E+03,+3.58949409720E-01,-2.46753536648E+01,-2.47752885184E+01,+3.64738158287E-01,-1.78560972958E+02,-8.67737714795E+01,-8.57950904195E+01,-1.78257081292E+02
9.01948921863E+03,+3.30408971214E-01,-2.47333149736E+01,-2.48284551296E+01,+3.32435179652E-01,-1.78637984728E+02,-8.69214180588E+01,-8.59160706886E+01,-1.78203676046E+02
9.02436811399E+03,+3.67016364154E-01,-2.47232080291E+01,-2.48487137616E+01,+3.61684455549E-01,-1.78405029003E+02,-8.67186761572E+01,-8.59122102458E+01,-1.78099909765E+02
9.02924964848E+03,+3.46091576716E-01,-2.47194304883E+01,-2.48361693943E+01,+3.68485410734E-01,-1.78588154840E+02,-8.66364715770E+01,-8.58935275723E+01,-1.78176402729E+02
9.03413382352E+03,+3.55488032236E-01,-2.47485702371E+01,-2.48360901189E+01,+3.71107729647E-01,-1.78576894345E+02,-8.65381401983E+01,-8.55568700023E+01,-1.78119339297E+02
9.03902064056E+03,+3.87052636159E-01,-2.47072609553E+01,-2.48101574233E+01,+3.79103585168E-01,-1.78631040565E+02,-8.67119471201E+01,-8.59264272520E+01,-1.78290661736E+02
9.04391010101E+03,+3.67587853956E-01,-2.47230080861E+01,-2.48303950744E+01,+3.73750210712E-01,-1.78558487267E+02,-8.66426940989E+01,-8.58632004845E+01,-1.78290783476E+02
9.04880220631E+03,+3.55394717011E-01,-2.47544001735E+01,-2.48314164888E+01,+3.70161833911E-01,-1.78762622809E+02,-8.66880068072E+01,-8.58315718586E+01,-1.78341957181E+02
