! CMT, S5085, 19027456, 23.4.5/2
! Date: 4/30/2026 11:26:40 AM
! Stimulus(Hz),    S11(dB),           S21(dB),           S12(dB),           S22(dB),           S11(°),            S21(°),            S12(°),            S22(°)
9.00000000000E+03,+1.96487781504E-01,-2.42604989116E+01,-2.43647067570E+01,+1.98585389065E-01,-1.78165684741E+02,-8.53929198797E+01,-8.47183999171E+01,-1.77847433053E+02
9.00486835309E+03,+1.85108241623E-01,-2.41936558979E+01,-2.42960263835E+01,+1.85067992205E-01,-1.78660750579E+02,-8.67320740797E+01,-8.58604719732E+01,-1.78237524667E+02
9.00973933961E+03,+1.87444737512E-01,-2.42318007701E+01,-2.43076492483E+01,+2.09559609577E-01,-1.78529758767E+02,-8.69181891378E+01,-8.62131078321E+01,-1.78169321689E+02
9.01461296098E+03,+1.82586433488E-01,-2.42238690329E+01,-2.43079043088E+01,+2.15661477796E-01,-1.78415560546E+02,-8.68282409427E+01,-8.63141287147E+01,-1.78231889649E+02
9.01948921863E+03,+1.61672918067E-01,-2.42610207971E+01,-2.43320346320E+01,+1.76559264492E-01,-1.78538989749E+02,-8.71009230929E+01,-8.64361739770E+01,-1.78184319577E+02
9.02436811399E+03,+1.80975319627E-01,-2.42527232781E+01,-2.43263784948E+01,+2.00378335045E-01,-1.78392456813E+02,-8.68001948650E+01,-8.63789879269E+01,-1.77979003332E+02
9.02924964848E+03,+1.72010082265E-01,-2.42553475714E+01,-2.43533478419E+01,+2.05652792225E-01,-1.78476682436E+02,-8.71171892277E+01,-8.63271622794E+01,-1.78081413796E+02
9.03413382352E+03,+1.67319715029E-01,-2.42296066729E+01,-2.43291105742E+01,+1.89553298673E-01,-1.78447614070E+02,-8.70739270433E+01,-8.61988740442E+01,-1.78173112543E+02
9.03902064056E+03,+1.98483270130E-01,-2.42036565376E+01,-2.43103562291E+01,+2.17643519902E-01,-1.78539889195E+02,-8.70020722295E+01,-8.63705366154E+01,-1.78277335632E+02
9.04391010101E+03,+2.07588960357E-01,-2.42451096004E+01,-2.43441166222E+01,+2.17143373619E-01,-1.78531369416E+02,-8.70563115596E+01,-8.61480267992E+01,-1.78138736212E+02
9.04880220631E+03,+1.86043674937E-01,-2.42310875455E+01,-2.43529827484E+01,+2.02401941058E-01,-1.78723077652E+02,-8.71644845755E+01,-8.64279491568E+01,-1.78288251794E+02
9.05369695789E+03,+1.64342305229E-01,-2.42668229759E+01,-2.43625843411E+01,+2.18515756001E-01,-1.78476825536E+02,-8.70690883392E+01,-8.64300669838E+01,-1.78094403618E+02
9.05859435717E+03,+1.95422154881E-01,-2.42706571766E+01,-2.43359209474E+01,+1.96472100761E-01,-1.78553775361E+02,-8.68968677081E+01,-8.63883657978E+01,-1.78313635470E+02
9.06349440559E+03,+1.46747997605E-01,-2.43093635829E+01,-2.43968298607E+01,+2.00240180713E-01,-1.78379958458E+02,-8.69207818103E+01,-8.63071832359E+01,-1.78096259323E+02
9.06839710459E+03,+1.70367631921E-01,-2.42668011048E+01,-2.43868704486E+01,+2.15539182344E-01,-1.78440290688E+02,-8.71039655643E+01,-8.63948048471E+01,-1.78060810282E+02
9.07330245560E+03,+1.68457651936E-01,-2.42810904485E+01,-2.43975055600E+01,+2.08999360939E-01,-1.78321428559E+02,-8.67098482036E+01,-8.62285702938E+01,-1.78129896658E+02
9.07821046005E+03,+1.62343628480E-01,-2.43078628157E+01,-2.43726223644E+01,+2.06140915916E-01,-1.78508039689E+02,-8.68222822663E+01,-8.66765214026E+01,-1.78170751996E+02
9.08312111938E+03,+1.81708046764E-01,-2.42931094445E+01,-2.43670310791E+01,+2.18918498848E-01,-1.78396396288E+02,-8.67326890614E+01,-8.63333598811E+01,-1.78230828710E+02
9.08803443502E+03,+1.56463468211E-01,-2.42895936900E+01,-2.43719013768E+01,+1.91640487375E-01,-1.78532303953E+02,-8.70143557712E+01,-8.65386265064E+01,-1.78303973397E+02
9.09295040841E+03,+1.62160328702E-01,-2.42670966093E+01,-2.44013285851E+01,+1.97296978260E-01,-1.78538984565E+02,-8.71641824756E+01,-8.64240377062E+01,-1.78186027704E+02
9.09786904099E+03,+1.66977710631E-01,-2.43025842245E+01,-2.44037207954E+01,+1.79423118368E-01,-1.78633770300E+02,-8.71877358262E+01,-8.65891649244E+01,-1.78254749989E+02
9.10279033420E+03,+1.85211021162E-01,-2.42785689140E+01,-2.43870517765E+01,+2.05844300416E-01,-1.78424738344E+02,-8.72639881345E+01,-8.65069302577E+01,-1.78143740495E+02
9.10771428947E+03,+1.90524392299E-01,-2.43020975143E+01,-2.43805924864E+01,+2.38983005526E-01,-1.78486953034E+02,-8.68308059036E+01,-8.61556983057E+01,-1.78262621836E+02
9.11264090825E+03,+1.51779767227E-01,-2.43563040446E+01,-2.43957530073E+01,+1.70145182826E-01,-1.78436674206E+02,-8.71232237321E+01,-8.62889844815E+01,-1.78055651399E+02
