! CMT, S5085, 19027456, 23.4.5/2
! Date: 5/21/2025 5:56:15 PM
! Stimulus(Hz),    S11(dB),           S21(dB),           S12(dB),           S22(dB),           S11(°),            S21(°),            S12(°),            S22(°)
9.00000000000E+03,-6.88305052712E-02,-4.26688788447E+01,-4.23653191225E+01,-7.01183621016E-02,+1.79778650969E+02,-1.79474890265E+00,+2.20011743958E+00,+1.79610921408E+02
9.24781195299E+03,-7.52345862093E-02,-4.24898003209E+01,-4.25472166679E+01,-6.64949814152E-02,+1.79841644168E+02,-6.40576012176E-01,+3.79679319135E+00,+1.79676429401E+02
9.49562390598E+03,-7.39559582259E-02,-4.23595813465E+01,-4.26307360422E+01,-6.60357009850E-02,+1.79837773034E+02,-9.95153418251E-01,+3.05723420913E+00,+1.79632989881E+02
9.74343585896E+03,-7.82753011872E-02,-4.25259484950E+01,-4.26887053886E+01,-5.52544296722E-02,+1.79862474143E+02,-5.05586693401E-01,+3.79885540640E+00,+1.79669428625E+02
9.99124781195E+03,-7.61127326327E-02,-4.24105238372E+01,-4.25175207897E+01,-6.67825052852E-02,+1.79875708902E+02,-3.67533171578E-01,+4.11907201459E+00,+1.79775304240E+02
1.02390597649E+04,-7.56399121191E-02,-4.25405865652E+01,-4.25571075134E+01,-7.95989037400E-02,+1.79857945711E+02,+7.12682325002E-03,+4.30614121102E+00,+1.79705916018E+02
1.04868717179E+04,-7.12362988544E-02,-4.25055664661E+01,-4.25190289831E+01,-6.42636225984E-02,+1.79843307005E+02,+4.01397584527E-01,+4.69691580589E+00,+1.79720882888E+02
1.07346836709E+04,-7.41398785966E-02,-4.23983942976E+01,-4.24957555648E+01,-6.32968125582E-02,+1.79847128812E+02,-1.00529772988E-01,+5.41087211603E+00,+1.79736753710E+02
1.09824956239E+04,-7.66945639341E-02,-4.23583508944E+01,-4.24706583791E+01,-6.96180337947E-02,+1.79883276576E+02,+4.45925524483E-01,+5.02375520142E+00,+1.79668165036E+02
1.12303075769E+04,-6.46512198194E-02,-4.24124792869E+01,-4.24789874154E+01,-6.72256407160E-02,+1.79887118143E+02,+3.81171549032E-01,+5.13797474459E+00,+1.79721137510E+02
1.14781195299E+04,-7.25016713236E-02,-4.23786131157E+01,-4.24486792476E+01,-6.80940384163E-02,+1.79846463336E+02,+1.35537932180E+00,+4.87827488817E+00,+1.79768297617E+02
1.17259314829E+04,-6.56562181623E-02,-4.24856557257E+01,-4.24255397080E+01,-7.16269073514E-02,+1.79896326853E+02,+1.32416438881E+00,+4.92552872805E+00,+1.79728096522E+02
1.19737434359E+04,-7.31823656562E-02,-4.23859044341E+01,-4.26415022730E+01,-6.46884615013E-02,+1.79862531971E+02,+8.48584669172E-01,+5.63594456614E+00,+1.79729859355E+02
1.22215553888E+04,-6.75100874975E-02,-4.24442219114E+01,-4.25426618550E+01,-6.97260072297E-02,+1.79847399751E+02,+1.68065994829E+00,+5.97909896103E+00,+1.79707926886E+02
1.24693673418E+04,-7.24912211955E-02,-4.24671916841E+01,-4.25485407843E+01,-6.97782546804E-02,+1.79857472073E+02,+2.06445759280E+00,+5.95955526825E+00,+1.79757870316E+02
1.27171792948E+04,-6.95272236403E-02,-4.22778627354E+01,-4.25775923474E+01,-6.48101867407E-02,+1.79847298695E+02,+2.30138503317E+00,+6.12442826309E+00,+1.79756540851E+02
1.29649912478E+04,-7.23273073069E-02,-4.24215589367E+01,-4.25379549750E+01,-6.08522141421E-02,+1.79842051775E+02,+2.56921136608E+00,+5.71674804325E+00,+1.79734248402E+02
1.32128032008E+04,-6.77625194657E-02,-4.23896509006E+01,-4.25691934021E+01,-6.52575131335E-02,+1.79857035530E+02,+2.56970931598E+00,+6.44058494855E+00,+1.79783260086E+02
1.34606151538E+04,-7.11695879303E-02,-4.23971307265E+01,-4.24945679777E+01,-7.31172592952E-02,+1.79872734813E+02,+2.83656881758E+00,+6.20551468996E+00,+1.79740129904E+02
1.37084271068E+04,-7.02660194557E-02,-4.24186091794E+01,-4.24934588304E+01,-7.22855920448E-02,+1.79888575174E+02,+3.17764498951E+00,+6.82917493555E+00,+1.79745174119E+02
1.39562390598E+04,-6.72623634314E-02,-4.24693575960E+01,-4.24598425183E+01,-6.32628184871E-02,+1.79915832384E+02,+3.70607844735E+00,+6.63120241447E+00,+1.79767993609E+02
1.42040510128E+04,-6.78025997475E-02,-4.24041963575E+01,-4.24559770850E+01,-6.86195685079E-02,+1.79851711621E+02,+3.74945268267E+00,+7.21778631455E+00,+1.79744179720E+02
1.44518629657E+04,-6.74221123165E-02,-4.23757413118E+01,-4.25083080484E+01,-6.95207589024E-02,+1.79852493177E+02,+3.57128980481E+00,+6.52528973512E+00,+1.79831468196E+02
1.46996749187E+04,-6.21276220482E-02,-4.24375233695E+01,-4.25066425797E+01,-6.89699452093E-02,+1.79893465609E+02,+4.10383154372E+00,+7.57750517140E+00,+1.79772282542E+02
1.49474868717E+04,-7.09914411732E-02,-4.23998744395E+01,-4.24697087427E+01,-6.21231154840E-02,+1.79887549297E+02,+4.31103499831E+00,+7.68048465809E+00,+1.79787975737E+02
1.51952988247E+04,-6.65377682345E-02,-4.23735708473E+01,-4.25584482629E+01,-6.43620997660E-02,+1.79849209754E+02,+4.61790358358E+00,+7.64851600316E+00,+1.79776104815E+02
1.54431107777E+04,-7.10733432735E-02,-4.23390400405E+01,-4.25759889768E+01,-6.92949949840E-02,+1.79865862620E+02,+5.30442282612E+00,+8.57279393863E+00,+1.79781392980E+02
1.56909227307E+04,-7.04407474948E-02,-4.23716175816E+01,-4.24871156402E+01,-6.94769889614E-02,+1.79855497768E+02,+5.31945177117E+00,+8.57346675827E+00,+1.79795468175E+02
1.59387346837E+04,-6.99581979000E-02,-4.23872542869E+01,-4.24475012004E+01,-6.32031902484E-02,+1.79911425394E+02,+5.02240419676E+00,+8.38376846902E+00,+1.79768926640E+02
1.61865466367E+04,-7.21650921208E-02,-4.23642231588E+01,-4.24849991317E+01,-6.84556885683E-02,+1.79872926806E+02,+4.87891454941E+00,+9.00923660277E+00,+1.79746836396E+02
1.64343585896E+04,-6.75853277933E-02,-4.24274753168E+01,-4.24433371722E+01,-7.40015643733E-02,+1.79837061000E+02,+5.56411835888E+00,+8.57348682296E+00,+1.79825831745E+02
1.66821705426E+04,-6.38941414341E-02,-4.24366480534E+01,-4.25849533186E+01,-6.31641894454E-02,+1.79885308969E+02,+6.43312281025E+00,+8.58911996406E+00,+1.79758680133E+02
1.69299824956E+04,-6.64139520685E-02,-4.24684620742E+01,-4.25061070245E+01,-6.28756200675E-02,+1.79884405650E+02,+6.07696158714E+00,+8.64407139350E+00,+1.79785557237E+02
