! CMT, S5085, 19027456, 23.4.5/2
! Date: 9/18/2025 2:02:56 PM
! Stimulus(Hz),    S11(dB),           S21(dB),           S12(dB),           S22(dB),           S11(°),            S21(°),            S12(°),            S22(°)
9.00000000000E+03,-3.08114105703E-01,-2.51370726956E+01,-2.47845477057E+01,-3.25521988822E-01,+1.73838546540E+02,+4.71508039824E+01,+4.62315225354E+01,+1.74661617422E+02
9.24781195299E+03,-3.26344979437E-01,-2.48956545415E+01,-2.47311428892E+01,-3.33644423616E-01,+1.74060280991E+02,+4.70157698335E+01,+4.45890789819E+01,+1.74739627569E+02
9.49562390598E+03,-3.36408633998E-01,-2.48499705550E+01,-2.49633618330E+01,-3.35179281957E-01,+1.74153012593E+02,+4.53795921816E+01,+4.44566756090E+01,+1.74869497109E+02
9.74343585896E+03,-3.44788449513E-01,-2.41919322306E+01,-2.47340226282E+01,-3.20637855894E-01,+1.73964631148E+02,+4.71378766125E+01,+4.69512884848E+01,+1.74787450680E+02
9.99124781195E+03,-3.09353362694E-01,-2.43411560585E+01,-2.49099858120E+01,-2.87675909293E-01,+1.73931207310E+02,+5.11672140330E+01,+5.17073869031E+01,+1.74730886343E+02
1.02390597649E+04,-2.80753505342E-01,-2.42403858179E+01,-2.42538182976E+01,-3.02800679477E-01,+1.73903697571E+02,+5.42976672932E+01,+5.06215628475E+01,+1.74559198795E+02
1.04868717179E+04,-3.14781422780E-01,-2.40562934164E+01,-2.38922750454E+01,-3.56618270272E-01,+1.73991471255E+02,+5.08221160682E+01,+4.57822958802E+01,+1.74685031028E+02
1.07346836709E+04,-3.20027145373E-01,-2.37312197943E+01,-2.41264167603E+01,-3.32717306310E-01,+1.73902227568E+02,+5.21108745323E+01,+4.88921452289E+01,+1.74729247985E+02
1.09824956239E+04,-3.44311323262E-01,-2.35196834459E+01,-2.36189808561E+01,-3.15362098831E-01,+1.73970771353E+02,+4.99879331541E+01,+5.21825458674E+01,+1.74442569037E+02
1.12303075769E+04,-3.65405559191E-01,-2.34055977890E+01,-2.33088702845E+01,-3.48062091795E-01,+1.74031822669E+02,+4.81139953722E+01,+4.99958891235E+01,+1.74463528369E+02
