Frequency (Hz);"Trace 1: Gain: Real ";"Trace 1: Gain: Imaginary ";Trace 1: Gain: Magnitude (dB);"Trace 2: Reflection: Real ";"Trace 2: Reflection: Imaginary ";Trace 2: Reflection: Magnitude (dB)
10000;0.048283544587745225;0.13765639231167584;-16.72016477887062;-0.9514719894791114;-0.17454364139311943;-0.2883346732864889
10012.967854;0.04796267586031423;0.13632475810328093;-16.801684743267234;-0.9516501770443693;-0.17389137028223;-0.28781565387583685
10025.952524;0.047628475270745624;0.13502187225767026;-16.8825932380407;-0.9520363320390309;-0.1732127021412099;-0.2854981066605778
10038.954032;0.0473183893319444;0.13377875653414648;-16.960314201929265;-0.9524689329428168;-0.17245804359214292;-0.2828875504257322
10051.972401;0.047003708193710525;0.13247552089305586;-17.042325722323735;-0.9526538042602116;-0.17154139587079728;-0.2827166231992156
10065.007651;0.04670990832857534;0.13124837095801256;-17.120203260423352;-0.9529604041809472;-0.17099478063138798;-0.28087677256683236
10078.059806;0.046386996025293406;0.13001795199917215;-17.199586556729784;-0.9531129504356026;-0.1702836615658171;-0.2806540430185879
10091.128886;0.046083094640892996;0.12880177876356932;-17.27843822179731;-0.9534633130546522;-0.1694776024186367;-0.2788284967871112
10104.214914;0.04577250062280422;0.1276007118579335;-17.357238844817907;-0.9537030858786687;-0.168812539377948;-0.27775285644999387
10117.317912;0.045456975419681786;0.1264352721334901;-17.434695110484203;-0.9541199535416107;-0.16803024615677226;-0.27529144183462684
10130.437902;0.04517074938970041;0.12524475791907033;-17.513734283748924;-0.9543215930091203;-0.16737408141180435;-0.2745292477836889
10143.574905;0.044881531312062704;0.12411410651351745;-17.589851758883242;-0.9546116640916809;-0.1667866140511769;-0.272876027246018
10156.728945;0.0445681826577886;0.12297130762920917;-17.667940210274097;-0.9547427193331087;-0.16606341126344407;-0.2728320346481077
10169.900042;0.04427456176321165;0.1218494316085715;-17.744963425469386;-0.9550626378501924;-0.16535231087268132;-0.2710967389710011
10183.08822;0.04397441993927882;0.12074502872218482;-17.82171084798531;-0.9553548770939336;-0.16468556808853502;-0.26953340480930227
10196.293499;0.04370514575717253;0.1196375188988395;-17.898614514710854;-0.9556283338874988;-0.164035849719929;-0.26810576806476405
10209.515903;0.04340633875366666;0.11857049493640245;-17.974279786077425;-0.9558651763274044;-0.16334912454189082;-0.26705311511571506
10222.755454;0.04310205456106765;0.11749589814222572;-18.051230227705652;-0.9558984407219451;-0.16276364713809488;-0.2676412501529576
10236.012174;0.04280743692093177;0.11645276650530713;-18.12656318940112;-0.956338089121485;-0.16215301909640611;-0.2646754368554905
10249.286084;0.042545347657644936;0.11540487395564764;-18.202072439810053;-0.9564969480703527;-0.16130768828065511;-0.26453493417062
10262.577209;0.04223405676393427;0.11438265469738196;-18.277735257052093;-0.9568329153000379;-0.1606787649955543;-0.2625030633508134
10275.885568;0.04195500382862927;0.11338057403127197;-18.351899802021773;-0.9570545569354207;-0.16019577849389857;-0.2612611870144748
10289.211186;0.041682511658406;0.11235807193516206;-18.427920899053575;-0.9572517703135888;-0.15944670573712091;-0.26062432545940695
10302.554085;0.04139373657523711;0.11136642567309024;-18.50290744080563;-0.9576133713131747;-0.1588016367060672;-0.2583785058669532
10315.914286;0.04110269622524209;0.1104074233144191;-18.576346034764377;-0.9577029120617911;-0.158287298393911;-0.25833975280573135
10329.291813;0.04083441934961455;0.10943344799140214;-18.65086003544619;-0.9578464728195353;-0.15762446251183077;-0.2580374045446735
10342.686687;0.04056026241934734;0.10847699718323686;-18.72493703602203;-0.9579533675298362;-0.15703779009117322;-0.2579443759345324
10356.098932;0.04028700742278367;0.10754432708822406;-18.79793885847311;-0.9583308850497767;-0.15647038788882545;-0.255430845420827
10369.528569;0.040005325087806506;0.10660531638583151;-18.872234753944635;-0.9585011440039813;-0.1558099823869844;-0.25487757524326365
10382.975622;0.03976935584600497;0.10568148149761183;-18.944837795686475;-0.9586611751180536;-0.15518420875207667;-0.2543609037068557
10396.440113;0.039453261529211435;0.10477572575019237;-19.018925504326816;-0.9589126314244315;-0.1546539001405071;-0.25289736151235226
10409.922064;0.03921346425534027;0.10386690062287533;-19.09176821024525;-0.9591215332969899;-0.15393808520863972;-0.25206982156187546
10423.421498;0.03893433994091203;0.10298685146906719;-19.164194720711933;-0.9593135539748865;-0.1535175112924054;-0.2509696411429487
10436.938439;0.03868701780580039;0.1021127967199989;-19.23588646079563;-0.9593792648932558;-0.15292304762230916;-0.2512277302338781
10450.472908;0.038406864733766415;0.10123632759346418;-19.309285879027872;-0.9595162254122891;-0.15224988196948408;-0.2509636949883194
10464.024928;0.03814563777202129;0.1003871692073147;-19.380700059704957;-0.9598024796378477;-0.15172330726687225;-0.2491725546113964
10477.594522;0.03788026755293724;0.0995402311636344;-19.45265471424413;-0.9600036954028562;-0.1511359735315905;-0.24821407192550757
10491.181713;0.03762050152481255;0.09870498340973878;-19.52414581540836;-0.9600956846499428;-0.15062822903251374;-0.24810642781016964
10504.786524;0.037380991382507014;0.09789464843366681;-19.593699454771972;-0.9603409557843834;-0.15013638763112253;-0.24662098293631138
10518.408977;0.0371301810341407;0.09707031308687958;-19.665241312398926;-0.9604640185897106;-0.14966182997043007;-0.24618841749220202
10532.049096;0.03685731340283442;0.09623975068556456;-19.738529445571693;-0.9606896509995583;-0.14903397708970728;-0.24505817557456988
10545.706903;0.036618198768826736;0.0954335239202947;-19.809481325075097;-0.9608421545145086;-0.14841172794980637;-0.24456214531528153
10559.382422;0.036360793425745976;0.09466096874178768;-19.87888344969806;-0.9610772571726075;-0.1479440140835494;-0.2431232011208381
10573.075674;0.036124487805658724;0.0938837518989431;-19.948565032437507;-0.961083204678958;-0.1475085489261675;-0.24366165942203397
