! CMT, S5085, 19027456, 23.4.5/2
! Date: 5/5/2026 2:59:57 PM
! Stimulus(Hz),    S11(dB),           S21(dB),           S12(dB),           S22(dB),           S11(°),            S21(°),            S12(°),            S22(°)
9.00000000000E+03,-1.15671814502E+00,+1.87810815036E+00,-3.32906641653E+01,-3.68205466421E+00,-3.84646780565E-01,-6.38274167568E+01,-1.17244611590E+02,+1.42699971579E+02
9.00486835309E+03,-1.12403581887E+00,+1.99332080703E+00,-3.31044346941E+01,-3.69673923098E+00,-5.13304897399E-01,-6.41689890204E+01,-1.19335589129E+02,+1.43102283692E+02
9.00973933961E+03,-1.07488799270E+00,+2.06344917996E+00,-3.34300378882E+01,-3.76819387032E+00,-3.76913345922E-01,-6.37054117137E+01,-1.20028874012E+02,+1.42287006208E+02
9.01461296098E+03,-1.21046187635E+00,+1.92543281933E+00,-3.28513662634E+01,-3.59605288747E+00,-6.28664895041E-01,-6.47866442460E+01,-1.31429012305E+02,+1.42729907884E+02
9.01948921863E+03,-1.20620292065E+00,+1.90259607407E+00,-3.14552883834E+01,-3.67307805779E+00,-5.94756830358E-01,-6.43047218437E+01,-1.17773229050E+02,+1.43114495418E+02
9.02436811399E+03,-1.20036144414E+00,+1.93287572653E+00,-3.25160246780E+01,-3.72402653523E+00,-5.42520918113E-01,-6.41833373257E+01,-1.23122728723E+02,+1.43023342568E+02
9.02924964848E+03,-1.17817007135E+00,+1.94079222664E+00,-3.23540698408E+01,-3.65972792027E+00,+1.02777758712E+00,-6.28427938780E+01,-1.24890939878E+02,+1.42761328352E+02
9.03413382352E+03,-1.22631246149E+00,+1.91930494689E+00,-3.24876304599E+01,-3.67312287165E+00,-7.98024563313E-01,-6.46058495871E+01,-1.13797171156E+02,+1.42401788085E+02
9.03902064056E+03,-1.10043438378E+00,+2.07432128262E+00,-3.31997926071E+01,-3.67675756689E+00,-5.70618642728E-01,-6.44047138546E+01,-1.27685974505E+02,+1.43267302082E+02
9.04391010101E+03,-1.24937464528E+00,+1.94760467723E+00,-3.30124206753E+01,-3.71729892199E+00,-3.00133453965E-01,-6.42040658635E+01,-1.30774893841E+02,+1.43389802224E+02
9.04880220631E+03,-1.12552864622E+00,+2.09911843944E+00,-3.30437765333E+01,-3.70471331256E+00,-2.01987334747E-01,-6.38712780029E+01,-1.15788293489E+02,+1.43996032796E+02
