! CMT, S5085, 19027456, 23.4.5/2
! Date: 5/5/2026 3:19:08 PM
! Stimulus(Hz),    S11(dB),           S21(dB),           S12(dB),           S22(dB),           S11(°),            S21(°),            S12(°),            S22(°)
9.00000000000E+03,-1.16299261923E+00,+2.12440108780E+00,-5.05985279097E+01,-3.97004784317E+00,+9.59268277828E-02,-6.35660774952E+01,-1.24056308393E+02,+1.40884515646E+02
9.00486835309E+03,-1.15570165043E+00,+2.12535143606E+00,-4.94974490676E+01,-3.95918776834E+00,+3.45443943252E-01,-6.33629180502E+01,-1.10757747710E+02,+1.40799848604E+02
9.00973933961E+03,-1.15739405081E+00,+2.13471309024E+00,-4.84651830921E+01,-3.97483042737E+00,+3.13496101804E-01,-6.32808011098E+01,-1.23852575224E+02,+1.40942857125E+02
9.01461296098E+03,-1.19134033066E+00,+2.11616762808E+00,-4.94539242612E+01,-3.97927985951E+00,+4.48773737656E-01,-6.33594766356E+01,-1.11658414418E+02,+1.40902847237E+02
9.01948921863E+03,-1.18577257986E+00,+2.12461317161E+00,-5.03067275681E+01,-3.95722743840E+00,+2.11713205886E-01,-6.36633047683E+01,-1.26357148172E+02,+1.40852617524E+02
9.02436811399E+03,-1.16479239123E+00,+2.12076171633E+00,-4.91870491996E+01,-3.99909131528E+00,+5.37685341187E-01,-6.32166873498E+01,-1.17779762340E+02,+1.40778891466E+02
9.02924964848E+03,-1.19228370998E+00,+2.14121828359E+00,-4.99478081381E+01,-3.96726017968E+00,+3.12293168450E-01,-6.35049433243E+01,-1.14158244265E+02,+1.40943902305E+02
9.03413382352E+03,-1.16881967492E+00,+2.17382177359E+00,-5.12865325709E+01,-3.99096760954E+00,+1.94294825576E-01,-6.35662585217E+01,-1.08682625869E+02,+1.40751303173E+02
9.03902064056E+03,-1.17865103154E+00,+2.16113408185E+00,-4.81066091292E+01,-4.01072320426E+00,+5.32467367992E-01,-6.33897053849E+01,-1.12330338892E+02,+1.40915300771E+02
9.04391010101E+03,-1.21206557698E+00,+2.14082807674E+00,-4.84493773171E+01,-3.98637519395E+00,+2.02471533887E-01,-6.36733764106E+01,-1.13036661634E+02,+1.40992298304E+02
9.04880220631E+03,-1.15505260434E+00,+2.18902558522E+00,-4.87924550308E+01,-4.00531154884E+00,+3.57598924411E-01,-6.36319606818E+01,-1.09056219228E+02,+1.40809185795E+02
9.05369695789E+03,-1.16367100913E+00,+2.21998785085E+00,-5.00796433511E+01,-4.01000806373E+00,-3.26852378961E-02,-6.40033015359E+01,-1.00256461976E+02,+1.40829226287E+02
9.05859435717E+03,-1.20198909202E+00,+2.18396667313E+00,-4.93383221140E+01,-4.01066920480E+00,+2.81652546069E-01,-6.37942850689E+01,-1.19290720367E+02,+1.40819994980E+02
9.06349440559E+03,-1.18335096765E+00,+2.18852036862E+00,-4.91689151823E+01,-3.98448847830E+00,+2.45830930795E-01,-6.39021500334E+01,-1.08050726302E+02,+1.40812389200E+02
9.06839710459E+03,-1.18116293147E+00,+2.20507071789E+00,-5.01756142984E+01,-4.01103346735E+00,+2.51357093228E-01,-6.38480980035E+01,-1.16177380751E+02,+1.40936933889E+02
9.07330245560E+03,-1.16530043506E+00,+2.22805684462E+00,-4.92693756610E+01,-4.01131008764E+00,+3.34531671107E-01,-6.37748678410E+01,-1.17226056657E+02,+1.40648074963E+02
9.07821046005E+03,-1.17253460720E+00,+2.24600014271E+00,-4.80948472656E+01,-4.02938909247E+00,+2.41201020499E-01,-6.38447038625E+01,-1.10882783553E+02,+1.40894214798E+02
9.08312111938E+03,-1.17552847163E+00,+2.24140620885E+00,-5.03122032927E+01,-4.02081836843E+00,+3.13386889574E-01,-6.38610521690E+01,-1.07646561815E+02,+1.40856562527E+02
