Freq.	V     out)
9.00000000000000e+003	     5.25423550304721e+001       -8.56024820909743e-001     
9.00114266865275e+003	     5.25423547854769e+001       -8.56133488485230e-001     
9.00228548238236e+003	     5.25423545404196e+001       -8.56242169851382e-001     
9.00342844120723e+003	     5.25423542953000e+001       -8.56350865009946e-001     
9.00457154514580e+003	     5.25423540501182e+001       -8.56459573962672e-001     
9.00571479421648e+003	     5.25423538048741e+001       -8.56568296711309e-001     
9.00685818843770e+003	     5.25423535595678e+001       -8.56677033257605e-001     
9.00800172782789e+003	     5.25423533141992e+001       -8.56785783603311e-001     
9.00914541240549e+003	     5.25423530687684e+001       -8.56894547750176e-001     
9.01028924218891e+003	     5.25423528232751e+001       -8.57003325699949e-001     
9.01143321719661e+003	     5.25423525777196e+001       -8.57112117454381e-001     
9.01257733744702e+003	     5.25423523321017e+001       -8.57220923015223e-001     
9.01372160295858e+003	     5.25423520864215e+001       -8.57329742384225e-001     
9.01486601374973e+003	     5.25423518406789e+001       -8.57438575563137e-001     
9.01601056983892e+003	     5.25423515948739e+001       -8.57547422553711e-001     
9.01715527124459e+003	     5.25423513490065e+001       -8.57656283357698e-001     
9.01830011798520e+003	     5.25423511030767e+001       -8.57765157976849e-001     
9.01944511007919e+003	     5.25423508570844e+001       -8.57874046412917e-001     
9.02059024754503e+003	     5.25423506110297e+001       -8.57982948667652e-001     
9.02173553040117e+003	     5.25423503649125e+001       -8.58091864742807e-001     
9.02288095866606e+003	     5.25423501187328e+001       -8.58200794640135e-001     
9.02402653235817e+003	     5.25423498724907e+001       -8.58309738361388e-001     
9.02517225149596e+003	     5.25423496261860e+001       -8.58418695908318e-001     
9.02631811609791e+003	     5.25423493798188e+001       -8.58527667282680e-001     
9.02746412618247e+003	     5.25423491333890e+001       -8.58636652486225e-001     
9.02861028176812e+003	     5.25423488868966e+001       -8.58745651520708e-001     
9.02975658287333e+003	     5.25423486403417e+001       -8.58854664387881e-001     
9.03090302951658e+003	     5.25423483937242e+001       -8.58963691089500e-001     
9.03204962171635e+003	     5.25423481470441e+001       -8.59072731627318e-001     
9.03319635949111e+003	     5.25423479003013e+001       -8.59181786003089e-001     
9.03434324285935e+003	     5.25423476534959e+001       -8.59290854218569e-001     
9.03549027183955e+003	     5.25423474066279e+001       -8.59399936275511e-001     
9.03663744645021e+003	     5.25423471596971e+001       -8.59509032175671e-001     
9.03778476670980e+003	     5.25423469127037e+001       -8.59618141920804e-001     
9.03893223263683e+003	     5.25423466656476e+001       -8.59727265512665e-001     
9.04007984424979e+003	     5.25423464185287e+001       -8.59836402953010e-001     
9.04122760156717e+003	     5.25423461713471e+001       -8.59945554243596e-001     
9.04237550460747e+003	     5.25423459241027e+001       -8.60054719386177e-001     
9.04352355338920e+003	     5.25423456767956e+001       -8.60163898382511e-001     
9.04467174793086e+003	     5.25423454294257e+001       -8.60273091234354e-001     
9.04582008825094e+003	     5.25423451819930e+001       -8.60382297943463e-001     
9.04696857436798e+003	     5.25423449344974e+001       -8.60491518511595e-001     
9.04811720630047e+003	     5.25423446869390e+001       -8.60600752940506e-001     
9.04926598406692e+003	     5.25423444393178e+001       -8.60710001231955e-001     
9.05041490768586e+003	     5.25423441916337e+001       -8.60819263387699e-001     
9.05156397717579e+003	     5.25423439438867e+001       -8.60928539409496e-001     
9.05271319255525e+003	     5.25423436960769e+001       -8.61037829299104e-001     
9.05386255384275e+003	     5.25423434482041e+001       -8.61147133058282e-001     
9.05501206105682e+003	     5.25423432002683e+001       -8.61256450688788e-001     
9.05616171421598e+003	     5.25423429522697e+001       -8.61365782192380e-001     
9.05731151333877e+003	     5.25423427042080e+001       -8.61475127570818e-001     
9.05846145844372e+003	     5.25423424560834e+001       -8.61584486825861e-001     
9.05961154954936e+003	     5.25423422078958e+001       -8.61693859959269e-001     
9.06076178667423e+003	     5.25423419596452e+001       -8.61803246972800e-001     
9.06191216983686e+003	     5.25423417113315e+001       -8.61912647868216e-001     
9.06306269905580e+003	     5.25423414629548e+001       -8.62022062647276e-001     
9.06421337434960e+003	     5.25423412145151e+001       -8.62131491311740e-001     
9.06536419573679e+003	     5.25423409660123e+001       -8.62240933863369e-001     
9.06651516323593e+003	     5.25423407174464e+001       -8.62350390303924e-001     
9.06766627686557e+003	     5.25423404688173e+001       -8.62459860635166e-001     
9.06881753664426e+003	     5.25423402201252e+001       -8.62569344858856e-001     
9.06996894259056e+003	     5.25423399713699e+001       -8.62678842976755e-001     
9.07112049472302e+003	     5.25423397225514e+001       -8.62788354990625e-001     
9.07227219306021e+003	     5.25423394736698e+001       -8.62897880902228e-001     
9.07342403762068e+003	     5.25423392247250e+001       -8.63007420713327e-001     
9.07457602842301e+003	     5.25423389757170e+001       -8.63116974425683e-001     
9.07572816548575e+003	     5.25423387266458e+001       -8.63226542041059e-001     
9.07688044882749e+003	     5.25423384775114e+001       -8.63336123561217e-001     
9.07803287846679e+003	     5.25423382283136e+001       -8.63445718987922e-001     
9.07918545442222e+003	     5.25423379790527e+001       -8.63555328322936e-001     
9.08033817671236e+003	     5.25423377297284e+001       -8.63664951568022e-001     
9.08149104535580e+003	     5.25423374803408e+001       -8.63774588724944e-001     
9.08264406037111e+003	     5.25423372308900e+001       -8.63884239795467e-001     
9.08379722177688e+003	     5.25423369813758e+001       -8.63993904781353e-001     
9.08495052959169e+003	     5.25423367317982e+001       -8.64103583684368e-001     
