Freq.	V     out)
9.00000000000000e+003	     7.94810342519332e+001     -1.94498242079399e+001     
9.00157761148483e+003	     7.94808654588441e+001     -1.94529776387333e+001     
9.00315549950944e+003	     7.94806966131379e+001     -1.94561314997062e+001     
9.00473366412230e+003	     7.94805277148000e+001     -1.94592857908791e+001     
9.00631210537190e+003	     7.94803587638163e+001     -1.94624405122724e+001     
9.00789082330672e+003	     7.94801897601723e+001     -1.94655956639066e+001     
9.00946981797527e+003	     7.94800207038536e+001     -1.94687512458021e+001     
9.01104908942605e+003	     7.94798515948459e+001     -1.94719072579793e+001     
9.01262863770759e+003	     7.94796824331348e+001     -1.94750637004585e+001     
9.01420846286841e+003	     7.94795132187060e+001     -1.94782205732601e+001     
9.01578856495704e+003	     7.94793439515451e+001     -1.94813778764045e+001     
9.01736894402203e+003	     7.94791746316376e+001     -1.94845356099119e+001     
9.01894960011192e+003	     7.94790052589693e+001     -1.94876937738027e+001     
9.02053053327528e+003	     7.94788358335257e+001     -1.94908523680972e+001     
9.02211174356068e+003	     7.94786663552925e+001     -1.94940113928156e+001     
9.02369323101669e+003	     7.94784968242552e+001     -1.94971708479782e+001     
9.02527499569189e+003	     7.94783272403995e+001     -1.95003307336052e+001     
9.02685703763489e+003	     7.94781576037109e+001     -1.95034910497168e+001     
9.02843935689427e+003	     7.94779879141752e+001     -1.95066517963332e+001     
9.03002195351867e+003	     7.94778181717778e+001     -1.95098129734747e+001     
9.03160482755668e+003	     7.94776483765045e+001     -1.95129745811613e+001     
9.03318797905695e+003	     7.94774785283407e+001     -1.95161366194131e+001     
9.03477140806811e+003	     7.94773086272721e+001     -1.95192990882505e+001     
9.03635511463879e+003	     7.94771386732843e+001     -1.95224619876933e+001     
9.03793909881767e+003	     7.94769686663628e+001     -1.95256253177617e+001     
9.03952336065339e+003	     7.94767986064933e+001     -1.95287890784759e+001     
9.04110790019463e+003	     7.94766284936613e+001     -1.95319532698557e+001     
9.04269271749007e+003	     7.94764583278524e+001     -1.95351178919213e+001     
9.04427781258839e+003	     7.94762881090522e+001     -1.95382829446927e+001     
9.04586318553829e+003	     7.94761178372462e+001     -1.95414484281898e+001     
9.04744883638848e+003	     7.94759475124201e+001     -1.95446143424327e+001     
9.04903476518767e+003	     7.94757771345595e+001     -1.95477806874413e+001     
9.05062097198458e+003	     7.94756067036498e+001     -1.95509474632355e+001     
9.05220745682795e+003	     7.94754362196766e+001     -1.95541146698352e+001     
9.05379421976650e+003	     7.94752656826255e+001     -1.95572823072605e+001     
9.05538126084899e+003	     7.94750950924821e+001     -1.95604503755310e+001     
9.05696858012417e+003	     7.94749244492320e+001     -1.95636188746668e+001     
9.05855617764081e+003	     7.94747537528606e+001     -1.95667878046877e+001     
9.06014405344768e+003	     7.94745830033535e+001     -1.95699571656134e+001     
9.06173220759356e+003	     7.94744122006963e+001     -1.95731269574639e+001     
9.06332064012724e+003	     7.94742413448746e+001     -1.95762971802588e+001     
9.06490935109753e+003	     7.94740704358738e+001     -1.95794678340180e+001     
9.06649834055322e+003	     7.94738994736795e+001     -1.95826389187612e+001     
9.06808760854314e+003	     7.94737284582773e+001     -1.95858104345082e+001     
9.06967715511611e+003	     7.94735573896526e+001     -1.95889823812787e+001     
9.07126698032095e+003	     7.94733862677911e+001     -1.95921547590923e+001     
9.07285708420652e+003	     7.94732150926783e+001     -1.95953275679688e+001     
9.07444746682166e+003	     7.94730438642996e+001     -1.95985008079279e+001     
9.07603812821523e+003	     7.94728725826406e+001     -1.96016744789891e+001     
9.07762906843610e+003	     7.94727012476869e+001     -1.96048485811721e+001     
9.07922028753315e+003	     7.94725298594239e+001     -1.96080231144965e+001     
9.08081178555525e+003	     7.94723584178371e+001     -1.96111980789819e+001     
9.08240356255130e+003	     7.94721869229122e+001     -1.96143734746479e+001     
9.08399561857021e+003	     7.94720153746346e+001     -1.96175493015139e+001     
9.08558795366088e+003	     7.94718437729897e+001     -1.96207255595997e+001     
9.08718056787222e+003	     7.94716721179632e+001     -1.96239022489246e+001     
9.08877346125318e+003	     7.94715004095405e+001     -1.96270793695082e+001     
9.09036663385268e+003	     7.94713286477071e+001     -1.96302569213699e+001     
9.09196008571967e+003	     7.94711568324486e+001     -1.96334349045292e+001     
9.09355381690310e+003	     7.94709849637503e+001     -1.96366133190056e+001     
9.09514782745193e+003	     7.94708130415979e+001     -1.96397921648184e+001     
9.09674211741513e+003	     7.94706410659768e+001     -1.96429714419871e+001     
9.09833668684168e+003	     7.94704690368725e+001     -1.96461511505310e+001     
9.09993153578057e+003	     7.94702969542704e+001     -1.96493312904696e+001     
9.10152666428080e+003	     7.94701248181562e+001     -1.96525118618222e+001     
9.10312207239136e+003	     7.94699526285151e+001     -1.96556928646080e+001     
9.10471776016127e+003	     7.94697803853328e+001     -1.96588742988465e+001     
9.10631372763956e+003	     7.94696080885947e+001     -1.96620561645569e+001     
9.10790997487525e+003	     7.94694357382863e+001     -1.96652384617584e+001     
9.10950650191738e+003	     7.94692633343930e+001     -1.96684211904704e+001     
9.11110330881500e+003	     7.94690908769003e+001     -1.96716043507120e+001     
9.11270039561716e+003	     7.94689183657937e+001     -1.96747879425026e+001     
9.11429776237293e+003	     7.94687458010587e+001     -1.96779719658612e+001     
9.11589540913138e+003	     7.94685731826807e+001     -1.96811564208071e+001     
9.11749333594160e+003	     7.94684005106451e+001     -1.96843413073594e+001     
9.11909154285268e+003	     7.94682277849374e+001     -1.96875266255372e+001     
9.12069002991370e+003	     7.94680550055431e+001     -1.96907123753598e+001     
9.12228879717379e+003	     7.94678821724476e+001     -1.96938985568462e+001     
9.12388784468205e+003	     7.94677092856364e+001     -1.96970851700154e+001     
9.12548717248761e+003	     7.94675363450949e+001     -1.97002722148867e+001     
9.12708678063961e+003	     7.94673633508086e+001     -1.97034596914789e+001     
9.12868666918719e+003	     7.94671903027628e+001     -1.97066475998111e+001     
9.13028683817949e+003	     7.94670172009430e+001     -1.97098359399024e+001     
9.13188728766568e+003	     7.94668440453348e+001     -1.97130247117717e+001     
9.13348801769493e+003	     7.94666708359234e+001     -1.97162139154380e+001     
9.13508902831640e+003	     7.94664975726944e+001     -1.97194035509203e+001     
9.13669031957929e+003	     7.94663242556331e+001     -1.97225936182375e+001     
9.13829189153279e+003	     7.94661508847249e+001     -1.97257841174085e+001     
9.13989374422611e+003	     7.94659774599554e+001     -1.97289750484522e+001     
9.14149587770844e+003	     7.94658039813099e+001     -1.97321664113876e+001     
9.14309829202902e+003	     7.94656304487738e+001     -1.97353582062333e+001     
9.14470098723707e+003	     7.94654568623325e+001     -1.97385504330084e+001     
9.14630396338183e+003	     7.94652832219715e+001     -1.97417430917316e+001     
9.14790722051254e+003	     7.94651095276762e+001     -1.97449361824217e+001     
9.14951075867845e+003	     7.94649357794320e+001     -1.97481297050975e+001     
9.15111457792884e+003	     7.94647619772242e+001     -1.97513236597778e+001     
