Freq.	V(out)
9.00000000000000e+003	6.30579712988039e-001     2.12357943326538e-001
9.00114266865275e+003	6.30580516666763e-001     2.12384892985804e-001
9.00228548238236e+003	6.30581320549485e-001     2.12411846062121e-001
9.00342844120723e+003	6.30582124636257e-001     2.12438802555923e-001
9.00457154514580e+003	6.30582928927129e-001     2.12465762467640e-001
9.00571479421648e+003	6.30583733422155e-001     2.12492725797706e-001
9.00685818843770e+003	6.30584538121384e-001     2.12519692546552e-001
9.00800172782789e+003	6.30585343024871e-001     2.12546662714611e-001
9.00914541240549e+003	6.30586148132665e-001     2.12573636302315e-001
9.01028924218891e+003	6.30586953444820e-001     2.12600613310097e-001
9.01143321719661e+003	6.30587758961386e-001     2.12627593738389e-001
9.01257733744702e+003	6.30588564682416e-001     2.12654577587623e-001
9.01372160295858e+003	6.30589370607962e-001     2.12681564858233e-001
9.01486601374973e+003	6.30590176738075e-001     2.12708555550650e-001
9.01601056983892e+003	6.30590983072808e-001     2.12735549665309e-001
9.01715527124459e+003	6.30591789612212e-001     2.12762547202640e-001
9.01830011798520e+003	6.30592596356339e-001     2.12789548163078e-001
9.01944511007919e+003	6.30593403305241e-001     2.12816552547054e-001
9.02059024754503e+003	6.30594210458971e-001     2.12843560355003e-001
9.02173553040117e+003	6.30595017817580e-001     2.12870571587356e-001
9.02288095866606e+003	6.30595825381120e-001     2.12897586244548e-001
9.02402653235817e+003	6.30596633149643e-001     2.12924604327010e-001
9.02517225149596e+003	6.30597441123201e-001     2.12951625835176e-001
9.02631811609791e+003	6.30598249301846e-001     2.12978650769480e-001
9.02746412618247e+003	6.30599057685631e-001     2.13005679130354e-001
9.02861028176812e+003	6.30599866274606e-001     2.13032710918232e-001
9.02975658287333e+003	6.30600675068825e-001     2.13059746133548e-001
9.03090302951658e+003	6.30601484068339e-001     2.13086784776734e-001
9.03204962171635e+003	6.30602293273201e-001     2.13113826848224e-001
9.03319635949111e+003	6.30603102683462e-001     2.13140872348451e-001
9.03434324285935e+003	6.30603912299175e-001     2.13167921277850e-001
9.03549027183955e+003	6.30604722120392e-001     2.13194973636853e-001
9.03663744645021e+003	6.30605532147164e-001     2.13222029425895e-001
9.03778476670980e+003	6.30606342379545e-001     2.13249088645409e-001
9.03893223263683e+003	6.30607152817586e-001     2.13276151295829e-001
9.04007984424979e+003	6.30607963461339e-001     2.13303217377589e-001
9.04122760156717e+003	6.30608774310857e-001     2.13330286891123e-001
9.04237550460747e+003	6.30609585366192e-001     2.13357359836864e-001
9.04352355338920e+003	6.30610396627395e-001     2.13384436215247e-001
9.04467174793086e+003	6.30611208094520e-001     2.13411516026705e-001
9.04582008825094e+003	6.30612019767619e-001     2.13438599271673e-001
9.04696857436798e+003	6.30612831646743e-001     2.13465685950586e-001
9.04811720630047e+003	6.30613643731945e-001     2.13492776063876e-001
9.04926598406692e+003	6.30614456023278e-001     2.13519869611979e-001
9.05041490768586e+003	6.30615268520793e-001     2.13546966595329e-001
9.05156397717579e+003	6.30616081224543e-001     2.13574067014360e-001
9.05271319255525e+003	6.30616894134580e-001     2.13601170869507e-001
9.05386255384275e+003	6.30617707250957e-001     2.13628278161204e-001
9.05501206105682e+003	6.30618520573726e-001     2.13655388889885e-001
9.05616171421598e+003	6.30619334102940e-001     2.13682503055986e-001
9.05731151333877e+003	6.30620147838650e-001     2.13709620659940e-001
9.05846145844372e+003	6.30620961780909e-001     2.13736741702184e-001
9.05961154954936e+003	6.30621775929769e-001     2.13763866183150e-001
9.06076178667423e+003	6.30622590285283e-001     2.13790994103275e-001
9.06191216983686e+003	6.30623404847504e-001     2.13818125462993e-001
9.06306269905580e+003	6.30624219616484e-001     2.13845260262739e-001
9.06421337434960e+003	6.30625034592274e-001     2.13872398502949e-001
9.06536419573679e+003	6.30625849774929e-001     2.13899540184056e-001
9.06651516323593e+003	6.30626665164499e-001     2.13926685306496e-001
9.06766627686557e+003	6.30627480761038e-001     2.13953833870705e-001
9.06881753664426e+003	6.30628296564599e-001     2.13980985877117e-001
9.06996894259056e+003	6.30629112575233e-001     2.14008141326168e-001
9.07112049472302e+003	6.30629928792994e-001     2.14035300218293e-001
9.07227219306021e+003	6.30630745217933e-001     2.14062462553927e-001
9.07342403762068e+003	6.30631561850103e-001     2.14089628333506e-001
9.07457602842301e+003	6.30632378689558e-001     2.14116797557466e-001
9.07572816548575e+003	6.30633195736349e-001     2.14143970226242e-001
9.07688044882749e+003	6.30634012990529e-001     2.14171146340268e-001
9.07803287846679e+003	6.30634830452151e-001     2.14198325899983e-001
9.07918545442222e+003	6.30635648121268e-001     2.14225508905819e-001
9.08033817671236e+003	6.30636465997931e-001     2.14252695358215e-001
9.08149104535580e+003	6.30637284082194e-001     2.14279885257604e-001
9.08264406037111e+003	6.30638102374110e-001     2.14307078604424e-001
9.08379722177688e+003	6.30638920873730e-001     2.14334275399110e-001
9.08495052959169e+003	6.30639739581109e-001     2.14361475642098e-001
9.08610398383413e+003	6.30640558496297e-001     2.14388679333824e-001
9.08725758452280e+003	6.30641377619349e-001     2.14415886474725e-001
9.08841133167628e+003	6.30642196950317e-001     2.14443097065235e-001
9.08956522531318e+003	6.30643016489254e-001     2.14470311105792e-001
9.09071926545208e+003	6.30643836236211e-001     2.14497528596832e-001
9.09187345211159e+003	6.30644656191244e-001     2.14524749538791e-001
9.09302778531032e+003	6.30645476354403e-001     2.14551973932105e-001
9.09418226506686e+003	6.30646296725742e-001     2.14579201777211e-001
9.09533689139983e+003	6.30647117305313e-001     2.14606433074546e-001
9.09649166432784e+003	6.30647938093170e-001     2.14633667824545e-001
9.09764658386949e+003	6.30648759089366e-001     2.14660906027645e-001
9.09880165004340e+003	6.30649580293952e-001     2.14688147684283e-001
9.09995686286820e+003	6.30650401706983e-001     2.14715392794896e-001
9.10111222236249e+003	6.30651223328510e-001     2.14742641359921e-001
9.10226772854490e+003	6.30652045158587e-001     2.14769893379793e-001
9.10342338143405e+003	6.30652867197267e-001     2.14797148854950e-001
9.10457918104858e+003	6.30653689444603e-001     2.14824407785830e-001
9.10573512740710e+003	6.30654511900647e-001     2.14851670172868e-001
9.10689122052825e+003	6.30655334565453e-001     2.14878936016502e-001
9.10804746043067e+003	6.30656157439073e-001     2.14906205317169e-001
9.10920384713298e+003	6.30656980521560e-001     2.14933478075306e-001
9.11036038065383e+003	6.30657803812969e-001     2.14960754291350e-001
9.11151706101186e+003	6.30658627313350e-001     2.14988033965738e-001
9.11267388822571e+003	6.30659451022758e-001     2.15015317098908e-001
9.11383086231403e+003	6.30660274941246e-001     2.15042603691298e-001
9.11498798329546e+003	6.30661099068866e-001     2.15069893743343e-001
9.11614525118865e+003	6.30661923405672e-001     2.15097187255483e-001
9.11730266601226e+003	6.30662747951717e-001     2.15124484228154e-001
9.11846022778494e+003	6.30663572707053e-001     2.15151784661794e-001
9.11961793652535e+003	6.30664397671734e-001     2.15179088556840e-001
9.12077579225215e+003	6.30665222845814e-001     2.15206395913731e-001
9.12193379498399e+003	6.30666048229344e-001     2.15233706732903e-001
9.12309194473955e+003	6.30666873822379e-001     2.15261021014796e-001
9.12425024153749e+003	6.30667699624971e-001     2.15288338759846e-001
9.12540868539648e+003	6.30668525637173e-001     2.15315659968491e-001
9.12656727633518e+003	6.30669351859040e-001     2.15342984641169e-001
9.12772601437229e+003	6.30670178290623e-001     2.15370312778319e-001
9.12888489952646e+003	6.30671004931977e-001     2.15397644380379e-001
9.13004393181638e+003	6.30671831783154e-001     2.15424979447785e-001
9.13120311126073e+003	6.30672658844207e-001     2.15452317980978e-001
9.13236243787820e+003	6.30673486115191e-001     2.15479659980394e-001
9.13352191168746e+003	6.30674313596157e-001     2.15507005446473e-001
9.13468153270721e+003	6.30675141287160e-001     2.15534354379652e-001
9.13584130095613e+003	6.30675969188253e-001     2.15561706780370e-001
9.13700121645292e+003	6.30676797299489e-001     2.15589062649065e-001
9.13816127921628e+003	6.30677625620921e-001     2.15616421986176e-001
9.13932148926490e+003	6.30678454152603e-001     2.15643784792141e-001
9.14048184661748e+003	6.30679282894587e-001     2.15671151067399e-001
