! CMT, S5085, 19027456, 23.4.5/2
! Date: 4/14/2026 10:51:52 AM
! Stimulus(Hz),    S11(dB),           S21(dB),           S12(dB),           S22(dB),           S11(°),            S21(°),            S12(°),            S22(°)
9.00000000000E+03,+2.69734557998E-01,+6.28106696418E+00,-2.48532720521E+01,-1.92372084995E+00,-1.23482405427E+00,+1.63538784482E+01,-1.12633397636E+02,-1.22266097402E+02
9.24781195299E+03,+2.34531262199E-01,+6.28963786487E+00,-2.69543177362E+01,-1.84814667170E+00,+1.43344386869E-01,+1.77166150355E+01,-1.17091002208E+02,-1.24391551801E+02
9.49562390598E+03,-1.30565394147E-01,+5.96888718097E+00,-2.73988410828E+01,-2.25630637428E+00,-6.88202457896E-01,+1.51035555499E+01,-1.11569995169E+02,-1.26770280932E+02
9.74343585896E+03,+7.73284201198E-02,+6.11520675277E+00,-2.65149906832E+01,-2.51103683566E+00,-1.33798843092E-01,+1.63541066684E+01,-1.22680789596E+02,-1.27238519240E+02
9.99124781195E+03,-1.36922548538E-01,+6.00894733364E+00,-3.17576449119E+01,-2.34878247459E+00,-3.86287994640E-02,+1.60420242704E+01,-1.19574375285E+02,-1.27671836027E+02
1.02390597649E+04,+2.37900451652E-01,+6.33202779923E+00,-3.03864875835E+01,-2.15639698749E+00,-1.65784753676E+00,+1.41080351070E+01,-1.20404703793E+02,-1.30286716621E+02
1.04868717179E+04,+3.45693425434E-02,+6.22013422702E+00,-3.04604353110E+01,-2.31840697864E+00,+1.16806421932E+00,+1.61551219637E+01,-1.07424197519E+02,-1.31159162297E+02
1.07346836709E+04,+8.53146040662E-03,+6.22945765286E+00,-3.25129982429E+01,-2.10480650509E+00,-1.16440500167E+00,+1.31319653322E+01,-1.14140153864E+02,-1.33799908189E+02
1.09824956239E+04,+6.45748927733E-02,+6.25325239835E+00,-3.13704349897E+01,-2.90382930440E+00,+1.21263294511E+00,+1.58384615335E+01,-1.06177451171E+02,-1.34648039153E+02
1.12303075769E+04,+8.37299662022E-02,+6.32274273080E+00,-3.26055214154E+01,-2.58792400040E+00,-3.55516433967E-01,+1.39786389646E+01,-1.30739230621E+02,-1.35486185862E+02
1.14781195299E+04,-1.48681352972E-01,+6.04103424955E+00,-3.39281254795E+01,-3.04000901387E+00,+9.55454078558E-01,+1.46010205411E+01,-9.23573900217E+01,-1.34895895825E+02
1.17259314829E+04,+8.22948584555E-02,+6.49697187561E+00,-3.45154607004E+01,-2.70965306328E+00,-1.35320667362E+00,+1.24890196099E+01,-1.03427774080E+02,-1.35749120843E+02
1.19737434359E+04,+8.40610242290E-02,+6.40060829599E+00,-3.54329474304E+01,-2.93173573852E+00,-3.42468579779E-01,+1.34623041162E+01,-9.57868291051E+01,-1.38554483773E+02
1.22215553888E+04,+1.47868113194E-01,+6.50480037533E+00,-3.47322267274E+01,-3.12552736656E+00,-2.80263906726E-01,+1.28841537448E+01,-1.13463079574E+02,-1.37989357235E+02
1.24693673418E+04,+1.39545866353E-01,+6.49265317353E+00,-3.68630401708E+01,-2.86971510947E+00,+6.74962658208E-01,+1.35451801295E+01,-9.27281927934E+01,-1.38657764232E+02
1.27171792948E+04,-8.37021525440E-02,+6.21931113835E+00,-3.49629534796E+01,-3.12740059983E+00,+3.35867711914E-01,+1.28401901795E+01,-1.03773829147E+02,-1.40900180461E+02
1.29649912478E+04,+9.57613633036E-03,+6.40228010373E+00,-4.08945387922E+01,-3.07062325219E+00,-1.10097734062E+00,+1.10824277525E+01,-1.19397339311E+02,-1.41707885924E+02
1.32128032008E+04,+8.84950967103E-02,+6.47477652063E+00,-3.87056372629E+01,-2.93806544815E+00,-1.06318878372E+00,+1.13534470788E+01,-1.09444432967E+02,-1.41747038856E+02
1.34606151538E+04,-1.02896622052E-02,+6.40512970105E+00,-3.78022122722E+01,-2.91036513612E+00,-1.80127189748E-01,+1.18579298955E+01,-1.40005883606E+02,-1.43795391656E+02
1.37084271068E+04,+2.78841562085E-02,+6.44886497940E+00,-4.87240794950E+01,-2.96464386755E+00,-6.35785869275E-01,+1.08150499084E+01,-9.81429554208E+01,-1.44392523332E+02
1.39562390598E+04,-4.09346796692E-02,+6.39917764708E+00,-3.83586253222E+01,-2.89955474794E+00,-6.44377544322E-01,+1.06807411551E+01,-1.48139281534E+02,-1.44154544214E+02
1.42040510128E+04,-5.68837867546E-02,+6.37088221115E+00,-3.63095425013E+01,-3.12716658891E+00,-4.00123223536E-01,+1.06369142335E+01,-8.23606130818E+01,-1.44760096177E+02
