! CMT, S5085, 19027456, 23.4.5/2
! Date: 4/14/2026 10:53:59 AM
! Stimulus(Hz),    S11(dB),           S21(dB),           S12(dB),           S22(dB),           S11(°),            S21(°),            S12(°),            S22(°)
9.00000000000E+03,+5.24049680268E-01,+5.43406769536E+00,-1.91912118231E+01,-2.98610309360E-01,+3.65592175073E+00,+2.68724256513E+01,-1.06792107312E+02,-1.04338716664E+02
9.24781195299E+03,+7.72207812125E-02,+5.40333793224E+00,-2.07169175555E+01,-1.38021264162E+00,-1.57669097505E-01,+2.41823925011E+01,-8.90136487255E+01,-1.03791939678E+02
9.49562390598E+03,+5.89706889532E-01,+5.73035949678E+00,-1.95140089631E+01,-1.00451885554E+00,+3.04582650445E+00,+2.57068266938E+01,-1.05377382720E+02,-1.10180314874E+02
9.74343585896E+03,+2.80708209038E-01,+5.74270452888E+00,-2.35821580099E+01,-1.59369003200E+00,+1.40927021453E+00,+2.51297539946E+01,-1.03971324131E+02,-1.11813783079E+02
9.99124781195E+03,+6.81695486565E-01,+6.32553263420E+00,-2.45862660874E+01,-1.39787055684E+00,-1.47830909978E-01,+2.29138883447E+01,-1.10764972710E+02,-1.14020651055E+02
1.02390597649E+04,+2.58214609018E-01,+5.80662588829E+00,-2.38519439933E+01,-1.80387615364E+00,+2.36823138803E+00,+2.34940264154E+01,-1.12429639881E+02,-1.18893309104E+02
1.04868717179E+04,+4.83555569070E-01,+6.59567776622E+00,-2.46312136748E+01,-8.37379234478E-01,-3.81922555003E+00,+1.87158636656E+01,-1.03304709590E+02,-1.14460853070E+02
1.07346836709E+04,+5.06200654778E-01,+6.34973953965E+00,-2.53810073093E+01,-1.77209158989E+00,-9.39845848664E-01,+2.12050976758E+01,-1.06263623012E+02,-1.14470725763E+02
1.09824956239E+04,-1.27975527077E-01,+5.70782754226E+00,-2.59034535183E+01,-2.42153692876E+00,-4.90894894008E-01,+1.96221029763E+01,-1.00726991619E+02,-1.20022756105E+02
1.12303075769E+04,+4.59552514101E-01,+6.31115781590E+00,-2.51431189011E+01,-1.88109164986E+00,-5.40291674578E-01,+2.08272952551E+01,-1.06702084553E+02,-1.19936958210E+02
1.14781195299E+04,-2.80104664297E-02,+6.02452338054E+00,-2.81612426178E+01,-2.34871144669E+00,-4.77085512567E-01,+1.97903547194E+01,-1.25454817056E+02,-1.23087614391E+02
1.17259314829E+04,+6.81829696030E-02,+6.03277375491E+00,-2.76815896827E+01,-2.09585397558E+00,+1.78134511419E+00,+2.17376674197E+01,-1.19126414529E+02,-1.22586711158E+02
1.19737434359E+04,-1.58693724273E-02,+6.06675581939E+00,-3.28579071792E+01,-2.27751793220E+00,+1.46193259014E+00,+2.08399016566E+01,-9.60317889034E+01,-1.26661797956E+02
1.22215553888E+04,+1.69802489672E-01,+6.21860377668E+00,-3.20648644152E+01,-2.33870647443E+00,-1.28453319734E+00,+1.77173204202E+01,-1.37160839219E+02,-1.22211014630E+02
1.24693673418E+04,-2.12931749390E-01,+5.93172621632E+00,-3.67434490032E+01,-3.20514336154E+00,-8.53806747340E-01,+1.77738978519E+01,-8.35936338798E+01,-1.25750102973E+02
1.27171792948E+04,+1.06255219337E-01,+6.13420456286E+00,-3.80870875202E+01,-2.79013534996E+00,+5.85180366497E-01,+1.98011044308E+01,-1.11750466179E+02,-1.27538375847E+02
1.29649912478E+04,-2.16212383297E-01,+5.96109753456E+00,-3.19323165761E+01,-2.75547542056E+00,-1.46814610507E+00,+1.59908720940E+01,-1.08797003426E+02,-1.30353785953E+02
1.32128032008E+04,-3.09613249536E-01,+5.91767316640E+00,-2.80995976325E+01,-2.30703484674E+00,-8.31505231824E-01,+1.56322793372E+01,-9.52505022302E+01,-1.30449858470E+02
1.34606151538E+04,+1.77232175988E-01,+6.40836162809E+00,-3.07993741801E+01,-2.70649282249E+00,-1.22082971809E-01,+1.72154118274E+01,-9.51126245002E+01,-1.32962636422E+02
1.37084271068E+04,-9.15826423315E-02,+6.24696987734E+00,-3.80078695398E+01,-2.80223001082E+00,+6.04932919807E-01,+1.75633301242E+01,-1.04244654033E+02,-1.33268092092E+02
1.39562390598E+04,+1.03757968984E-02,+6.30951901265E+00,-3.69210118055E+01,-2.09692604760E+00,-1.17864311964E-01,+1.68589999362E+01,-1.33047488020E+02,-1.31936909126E+02
1.42040510128E+04,-1.13966317296E-01,+6.22007135099E+00,-3.63218975736E+01,-2.74496549687E+00,+1.07553377920E+00,+1.77304126487E+01,-1.36299159575E+02,-1.33355304417E+02
1.44518629657E+04,-3.44702492025E-02,+6.23955354245E+00,-3.29554643611E+01,-2.54154867845E+00,+1.55198240768E-01,+1.60425918349E+01,-1.08093564153E+02,-1.33661438592E+02
1.46996749187E+04,+1.12262191851E-01,+6.47537843683E+00,-4.06309281273E+01,-2.52745971136E+00,+1.22406607347E-02,+1.53243494961E+01,-9.59878317211E+01,-1.33913095186E+02
1.49474868717E+04,-8.97823070723E-02,+6.33014424830E+00,-3.70134314635E+01,-2.89422861293E+00,-2.06698636532E+00,+1.39998789573E+01,-1.38996390914E+02,-1.37131499201E+02
1.51952988247E+04,-1.70045606402E-02,+6.43301283813E+00,-3.46817651012E+01,-2.49980832785E+00,-7.29238381674E-01,+1.48068960030E+01,-1.30138799047E+02,-1.34993472642E+02
1.54431107777E+04,-4.98746997427E-02,+6.45501015098E+00,-4.05592938340E+01,-2.64377789757E+00,+6.08015067453E-01,+1.59539650116E+01,-6.80944460951E+01,-1.34966027040E+02
1.56909227307E+04,-6.57896926373E-02,+6.37595526778E+00,-4.37122331304E+01,-3.04839249102E+00,-1.95519548389E-01,+1.41456267852E+01,-6.08906607876E+01,-1.39509837609E+02
1.59387346837E+04,-2.59156479379E-01,+6.24011493478E+00,-3.96053570797E+01,-3.13803673530E+00,-1.30835026890E+00,+1.36955722368E+01,-1.04971550947E+02,-1.38653717920E+02
1.61865466367E+04,+4.88293614677E-02,+6.47639506428E+00,-3.94014602897E+01,-3.17141512407E+00,+1.20508424712E+00,+1.55651996421E+01,-9.53294069243E+01,-1.37979227206E+02
1.64343585896E+04,-9.10523405132E-02,+6.35398309324E+00,-3.99406835574E+01,-3.05421922421E+00,-7.01308229631E-01,+1.37538421978E+01,-1.40153447903E+02,-1.40818260709E+02
1.66821705426E+04,-1.68694587905E-02,+6.46083341404E+00,-4.07374730865E+01,-2.81727691494E+00,-1.19256782479E+00,+1.32521527362E+01,-1.53002269336E+02,-1.38913711695E+02
1.69299824956E+04,-2.62277176417E-01,+6.35267278210E+00,-4.33304621223E+01,-2.68249042327E+00,+2.03554326755E-01,+1.46877554482E+01,+1.05439144525E+01,-1.40048462993E+02
1.71777944486E+04,-4.05558429825E-02,+6.43377724765E+00,-3.54980573094E+01,-2.98516099727E+00,-1.05760180325E+00,+1.22543223919E+01,-1.16373823487E+02,-1.40141066392E+02
1.74256064016E+04,-1.68430946574E-01,+6.40388656422E+00,-4.46601915675E+01,-2.99400185822E+00,-8.84929766657E-01,+1.27166714666E+01,-1.68651604000E+01,-1.41594652914E+02
1.76734183546E+04,-1.58422455708E-01,+6.34401173872E+00,-4.05060666978E+01,-2.98218569491E+00,+1.74309951726E+00,+1.50011123261E+01,-1.06531824590E+02,-1.40819604733E+02
1.79212303076E+04,+1.18949214879E-01,+6.81230900557E+00,-4.04777620074E+01,-3.05101921073E+00,-4.50677979763E-01,+1.29796377016E+01,-1.41750099071E+02,-1.41395882351E+02
1.81690422606E+04,-8.76232896472E-02,+6.45416124548E+00,-4.35603869251E+01,-3.16837092417E+00,-9.16289880881E-01,+1.24239504611E+01,+2.40274615328E+01,-1.43924923145E+02
1.84168542136E+04,-2.84507857934E-02,+6.60026816674E+00,-5.13482153988E+01,-3.01811396971E+00,-5.03592141189E-01,+1.24704316588E+01,-1.03509349042E+02,-1.43549022673E+02
1.86646661665E+04,+1.81943494699E-01,+6.74616625940E+00,-3.98071801357E+01,-2.97678770871E+00,-1.53944154515E+00,+1.12275242957E+01,-4.60175053591E+01,-1.45280820135E+02
1.89124781195E+04,-1.44206834096E-01,+6.40950783882E+00,-6.07733641887E+01,-3.17571581358E+00,-4.34586358745E-01,+1.18673955145E+01,+1.67177689289E+02,-1.46275678710E+02
1.91602900725E+04,-2.03272414668E-01,+6.35952374198E+00,-4.95945085325E+01,-3.20619694098E+00,-2.49260789267E-01,+1.18534630585E+01,-1.16606851447E+02,-1.46551010021E+02
1.94081020255E+04,+6.27506570387E-02,+6.65847412642E+00,-3.94882151567E+01,-2.88976749608E+00,+4.02157752357E-01,+1.30865896495E+01,-1.17619814602E+02,-1.45679618688E+02
1.96559139785E+04,-6.02078494520E-02,+6.52036378215E+00,-4.44781924608E+01,-3.14871361042E+00,-9.04872748251E-01,+1.09788623448E+01,+1.32420185436E+02,-1.47198983046E+02
1.99037259315E+04,-1.37376396604E-01,+6.46186012551E+00,-4.04036084532E+01,-3.30117317056E+00,-4.93520119962E-01,+1.12238836676E+01,+1.33366284066E+02,-1.46632935540E+02
2.01515378845E+04,+5.53415328894E-02,+6.67647198063E+00,-4.09610202705E+01,-3.15905775580E+00,-3.79471299824E-01,+1.15834359515E+01,-1.60845421739E+02,-1.46301771178E+02
2.03993498375E+04,-1.27065050471E-01,+6.46575847432E+00,-4.73473968739E+01,-3.36126020341E+00,+9.86075893851E-01,+1.27931553141E+01,-1.35524799552E+02,-1.47163690382E+02
2.06471617904E+04,-8.20604110748E-02,+6.49802102669E+00,-4.43240956516E+01,-3.24124372285E+00,-1.53536348997E-01,+1.13676658103E+01,+1.56663877246E+01,-1.49186414102E+02
2.08949737434E+04,+1.50803012583E-02,+6.65021399020E+00,-4.88799369135E+01,-3.12792257962E+00,+1.22284531032E+00,+1.17047665905E+01,-7.79381912360E+00,-1.47545446804E+02
2.11427856964E+04,-1.93158159553E-01,+6.48551918557E+00,-4.14048551442E+01,-3.00548187684E+00,-1.53964518290E+00,+9.46571467587E+00,-1.25814512695E+02,-1.49199901605E+02
2.13905976494E+04,+5.62150978193E-02,+6.62592184373E+00,-4.68556326942E+01,-3.55429299552E+00,+2.71288511425E-01,+1.10673870292E+01,-1.01318292769E+02,-1.48430182357E+02
2.16384096024E+04,-1.78688532387E-02,+6.66307286432E+00,-4.92766624771E+01,-3.15108705306E+00,-1.07542053905E-01,+1.09836593140E+01,-1.10388820145E+02,-1.49104873577E+02
2.18862215554E+04,+1.84212228067E-01,+6.81753976174E+00,-5.33712846721E+01,-3.15832722379E+00,-4.11749689149E-01,+1.07419060977E+01,-3.73518138419E+01,-1.49861652511E+02
2.21340335084E+04,-7.11333167024E-02,+6.63779103185E+00,-4.26126912536E+01,-3.32653349757E+00,-6.94235830013E-01,+1.01323098320E+01,-2.65147258792E+01,-1.49194249820E+02
2.23818454614E+04,+1.48534976108E-01,+6.76570728925E+00,-4.63320728213E+01,-3.31218135503E+00,-2.04729505410E+00,+8.51955205394E+00,-1.09862772962E+02,-1.50817050524E+02
2.26296574144E+04,+5.37488758233E-02,+6.74012824639E+00,-4.47637727849E+01,-3.12985951888E+00,-9.09947177716E-01,+9.64371797569E+00,-1.51145096585E+02,-1.50259638168E+02
2.28774693673E+04,+1.34172515641E-03,+6.62253260110E+00,-4.44368831436E+01,-3.04542898759E+00,-1.79204946538E+00,+8.58536732179E+00,-4.01693679609E+01,-1.51875977313E+02
2.31252813203E+04,+4.63617678285E-02,+6.78085823026E+00,-5.19401537001E+01,-3.15684017059E+00,+2.74766494817E-01,+1.06358781784E+01,-9.43279298424E+01,-1.51560575285E+02
2.33730932733E+04,-7.62830770367E-02,+6.51464826431E+00,-3.86118327340E+01,-3.12998919260E+00,-1.03383109938E+00,+9.01599854977E+00,-1.22891115194E+02,-1.52269995094E+02
