! CMT, S5085, 19027456, 23.4.5/2
! Date: 4/14/2026 11:06:18 AM
! Stimulus(Hz),    S11(dB),           S21(dB),           S12(dB),           S22(dB),           S11(°),            S21(°),            S12(°),            S22(°)
9.00000000000E+03,-1.74487075488E-01,-6.19536462520E-01,-2.58824693703E+01,-1.97150006511E+00,+1.55652652119E+00,+2.76465528950E+01,-1.16020317085E+02,-1.09304928513E+02
9.24781195299E+03,+4.21149662556E-02,-4.01000714734E-02,-2.68160013401E+01,-2.09014536144E+00,-3.37150015461E-01,+2.47772389445E+01,-1.18851824708E+02,-1.08457079460E+02
9.49562390598E+03,+2.17366075116E-01,+1.34739274263E-01,-2.57570041440E+01,-2.08810315232E+00,+1.30717626643E+00,+2.59858942382E+01,-1.10870486779E+02,-1.08565412262E+02
9.74343585896E+03,-2.05666146423E-01,+8.81134417651E-02,-3.23771040993E+01,-1.67203889338E+00,+6.68167589088E-01,+2.52855314459E+01,-1.34220522972E+02,-1.10347181765E+02
9.99124781195E+03,+6.60857432482E-02,+3.90490643339E-01,-2.84661719240E+01,-2.13664932278E+00,-4.81402958452E-01,+2.41369272021E+01,-1.12799770545E+02,-1.12169298843E+02
1.02390597649E+04,+1.80650355896E-01,+5.36469451225E-01,-2.79275844097E+01,-2.02339726060E+00,+1.59882169743E+00,+2.58392471813E+01,-1.09009789588E+02,-1.12547634112E+02
1.04868717179E+04,-5.16943836140E-02,+3.33583095121E-01,-3.10689751266E+01,-2.23531874797E+00,-1.20909374598E+00,+2.27896081340E+01,-1.10452058408E+02,-1.16648648786E+02
1.07346836709E+04,+1.18943109583E-01,+5.24178750339E-01,-3.07559805758E+01,-2.30792017378E+00,+1.03642037845E+00,+2.42719762775E+01,-1.27003059668E+02,-1.16865509308E+02
1.09824956239E+04,+4.01379914431E-03,+5.41177965366E-01,-3.31858267039E+01,-2.58348668205E+00,-8.22062228552E-01,+2.24400835344E+01,-1.02205039446E+02,-1.16674675324E+02
1.12303075769E+04,-1.57585184808E-01,+5.75743353668E-01,-3.37391457536E+01,-2.56263580961E+00,-1.03549650250E+00,+2.11417600392E+01,-1.13155255178E+02,-1.18330703043E+02
1.14781195299E+04,-2.35581075757E-02,+7.28096551219E-01,-3.41449346337E+01,-2.47893732386E+00,-2.04202078360E-02,+2.24209196730E+01,-9.90662499392E+01,-1.22012338991E+02
1.17259314829E+04,-8.36627480828E-02,+6.59820791719E-01,-3.16570870847E+01,-2.57888862663E+00,-5.94069281050E-01,+2.06377093472E+01,-1.05821038459E+02,-1.21045676380E+02
1.19737434359E+04,-1.84671761887E-01,+5.90024833824E-01,-3.83111999839E+01,-2.58998753660E+00,-1.09794617521E+00,+1.98476914864E+01,-1.07085800209E+02,-1.23207453721E+02
1.22215553888E+04,+7.99867465264E-03,+7.81289577334E-01,-3.52291530682E+01,-2.78073839238E+00,-7.99041828300E-01,+2.06926088132E+01,-1.09025194107E+02,-1.22563065149E+02
1.24693673418E+04,-4.50754947864E-02,+8.29907727187E-01,-3.38117816798E+01,-2.94365780693E+00,-1.17829906650E+00,+1.97812375648E+01,-9.92568535694E+01,-1.24207734838E+02
1.27171792948E+04,-1.66510734025E-01,+8.12358637536E-01,-3.86353723357E+01,-2.94577998991E+00,+8.09440623947E-01,+2.08473896410E+01,-9.85260298450E+01,-1.24965640070E+02
1.29649912478E+04,-4.94310539850E-02,+9.72775271138E-01,-3.74333605677E+01,-2.91471675129E+00,-5.27909623644E-01,+1.96205884113E+01,-1.00537070602E+02,-1.27830769567E+02
1.32128032008E+04,-7.42445227606E-02,+9.61271238112E-01,-3.84986495181E+01,-2.73991580005E+00,-5.98949398609E-02,+1.94620490142E+01,-1.02275947418E+02,-1.26506646571E+02
1.34606151538E+04,-9.75307680601E-02,+9.54986669024E-01,-4.39162969449E+01,-2.89499024437E+00,-2.57436124337E-01,+1.97869964290E+01,-5.04590000471E+01,-1.28624115526E+02
1.37084271068E+04,+7.83030951034E-02,+1.13185821315E+00,-4.10804437856E+01,-2.88419389614E+00,+9.42479017728E-01,+1.97190486656E+01,-1.56701576351E+02,-1.27950072397E+02
1.39562390598E+04,-7.27928434453E-02,+1.08813896670E+00,-4.33685802800E+01,-3.07066587376E+00,-1.60321998764E+00,+1.72639936237E+01,-1.47810428437E+02,-1.29918101447E+02
1.42040510128E+04,-2.66904282658E-02,+1.08451507492E+00,-4.17559910843E+01,-2.84125143867E+00,+7.04512090881E-01,+1.86887751710E+01,-1.19945744382E+02,-1.30413682811E+02
1.44518629657E+04,-5.98215087069E-03,+1.22891266574E+00,-5.17673705959E+01,-2.87493617090E+00,+8.31601606887E-02,+1.77190051827E+01,-1.09364579939E+02,-1.31975666067E+02
1.46996749187E+04,-3.26469206687E-02,+1.20143852125E+00,-4.58504206180E+01,-3.17858125592E+00,-6.66068007394E-01,+1.70444957582E+01,-3.42987383130E+01,-1.31843700283E+02
1.49474868717E+04,+1.28168817804E-01,+1.27272502959E+00,-4.55182787192E+01,-3.04922949376E+00,-7.74354004460E-01,+1.68086633581E+01,-1.25689757456E+02,-1.33119710150E+02
1.51952988247E+04,-1.24565898271E-01,+1.14562554462E+00,-4.64377151159E+01,-3.13016121346E+00,-7.19137287125E-01,+1.61517125824E+01,-1.59281363508E+02,-1.32952256339E+02
1.54431107777E+04,+6.39383090180E-02,+1.33498103031E+00,-4.05400653066E+01,-3.25180663305E+00,-4.95390233186E-02,+1.71610572034E+01,-8.30177432572E+01,-1.33681891190E+02
1.56909227307E+04,-6.46617361883E-02,+1.20269283012E+00,-4.51371404682E+01,-2.99796050779E+00,-8.69719781247E-01,+1.52439656030E+01,-1.00164675913E+02,-1.35860751106E+02
1.59387346837E+04,-6.46102617166E-02,+1.16705101002E+00,-4.26542383445E+01,-3.05851144068E+00,+2.50979440418E-01,+1.68037870140E+01,-1.04632843379E+02,-1.35562981383E+02
1.61865466367E+04,+2.56633284581E-02,+1.25803823233E+00,-4.58237005034E+01,-2.98753190857E+00,-6.52698927240E-01,+1.54573983361E+01,-9.25789683250E+01,-1.35831028220E+02
1.64343585896E+04,-1.22493913835E-01,+1.19184534277E+00,-4.47604880731E+01,-3.28977747519E+00,-2.65435456870E-01,+1.61171272626E+01,-1.54344915095E+02,-1.36111536694E+02
1.66821705426E+04,-1.05394414676E-01,+1.22031740634E+00,-4.54025938032E+01,-3.00230008303E+00,-6.34161957788E-01,+1.55455676745E+01,-9.48612700266E+01,-1.36792548953E+02
1.69299824956E+04,+5.00820849803E-02,+1.37876327596E+00,-5.89404536474E+01,-2.99825948159E+00,-1.39255107619E-02,+1.58094011856E+01,-5.70926724356E+01,-1.37091617912E+02
1.71777944486E+04,-7.19281794733E-02,+1.23288591245E+00,-4.81730380118E+01,-3.13310705339E+00,-5.90699674940E-01,+1.46686939574E+01,-4.56239784435E+01,-1.40078156922E+02
1.74256064016E+04,-7.82363547943E-02,+1.26372869623E+00,-4.80965377970E+01,-3.14847200700E+00,+5.55332455878E-03,+1.47986778592E+01,+1.79165744289E+02,-1.39317630518E+02
1.76734183546E+04,-2.74084260418E-02,+1.32759762507E+00,-4.51445575317E+01,-3.21238434801E+00,+2.20821810116E-01,+1.51421343090E+01,-6.27681382591E+01,-1.38513870244E+02
1.79212303076E+04,-1.68255011607E-01,+1.28936081089E+00,-4.61586290977E+01,-3.16039034823E+00,-8.45479268779E-01,+1.42926315657E+01,+1.04720255179E+02,-1.39074323687E+02
1.81690422606E+04,+5.53397642792E-02,+1.43464955237E+00,-4.87087827055E+01,-3.28087447731E+00,+1.22266280919E-01,+1.50885628280E+01,-1.52040107735E+02,-1.40394754080E+02
1.84168542136E+04,+3.84488907054E-02,+1.41900775648E+00,-4.83225762663E+01,-3.17453806956E+00,-3.69606084912E-01,+1.37098179050E+01,+1.66478830271E+02,-1.41955621385E+02
1.86646661665E+04,+6.82003463563E-02,+1.50503425136E+00,-4.60773170775E+01,-3.18576325931E+00,-6.02072924147E-01,+1.42088567230E+01,+1.65095835763E+02,-1.42488974156E+02
1.89124781195E+04,-1.34083000428E-01,+1.40346936104E+00,-5.12816644957E+01,-3.09607038471E+00,-1.17446221225E+00,+1.31035891548E+01,-1.28784665241E+02,-1.40977715137E+02
1.91602900725E+04,+8.00149601437E-02,+1.50555767845E+00,-4.92637247382E+01,-3.29378367832E+00,-1.08313846277E-01,+1.37935773551E+01,-4.28683340496E+01,-1.43199763183E+02
1.94081020255E+04,-2.98052353639E-02,+1.40235997096E+00,-6.91719420406E+01,-3.29855408334E+00,+2.56319418820E-01,+1.39557936468E+01,-4.80151987572E+01,-1.44002520189E+02
1.96559139785E+04,-7.68041849870E-02,+1.35963035829E+00,-3.92495724097E+01,-3.40987534157E+00,+1.96594024163E-01,+1.38817370410E+01,-1.09873748381E+02,-1.43953855201E+02
1.99037259315E+04,-5.10786932860E-02,+1.40160822852E+00,-4.57921146361E+01,-3.25864121558E+00,-9.13134804099E-02,+1.32787812906E+01,-1.14186220153E+02,-1.43457201410E+02
2.01515378845E+04,+7.79080325655E-02,+1.52461173127E+00,-4.01532815023E+01,-3.31921527763E+00,-2.55341150964E-01,+1.29839893714E+01,-1.33794573200E+02,-1.45014078311E+02
2.03993498375E+04,-1.36040836438E-01,+1.38580988666E+00,-4.27066030240E+01,-3.36456457965E+00,-1.25449904388E-01,+1.34031404600E+01,-1.24965149353E+02,-1.44457636835E+02
2.06471617904E+04,-2.08076944486E-02,+1.45648179318E+00,-4.57944143295E+01,-3.38235874761E+00,-1.58798269696E-01,+1.27003572443E+01,-7.63162598648E+00,-1.45060907220E+02
2.08949737434E+04,-1.24003132318E-01,+1.34716936788E+00,-5.11517488501E+01,-3.37279517927E+00,+5.58720244484E-02,+1.27862549143E+01,+3.60380414194E-01,-1.45140567117E+02
2.11427856964E+04,+5.23858546622E-03,+1.48590757683E+00,-4.40797177715E+01,-3.25958259288E+00,-5.36333626373E-01,+1.18907438420E+01,-4.49345001242E+01,-1.45900591738E+02
2.13905976494E+04,-7.00664829983E-02,+1.43460877531E+00,-5.76622487927E+01,-3.23024333781E+00,-5.35160724321E-02,+1.21872131879E+01,+6.50894105314E+00,-1.46425530207E+02
2.16384096024E+04,-9.44526355607E-02,+1.44915984339E+00,-4.18304609808E+01,-3.33472094649E+00,-9.90450116827E-02,+1.19096031025E+01,+1.77895318962E+02,-1.46877128407E+02
2.18862215554E+04,+4.13581302894E-02,+1.49624564455E+00,-4.24781652148E+01,-3.47030472342E+00,-7.57325264746E-01,+1.15812208418E+01,-1.44735577977E+02,-1.47975729924E+02
2.21340335084E+04,-8.79655888023E-02,+1.43583091038E+00,-5.05474966861E+01,-3.29250489315E+00,+2.04827700048E-01,+1.17252389786E+01,-1.24356083234E+02,-1.47560075185E+02
2.23818454614E+04,-2.37877275347E-02,+1.49702391267E+00,-4.95600048883E+01,-3.44252085591E+00,+8.28411889650E-02,+1.12087123340E+01,-1.79049566431E+02,-1.47765781728E+02
