! CMT, S5085, 19027456, 23.4.5/2
! Date: 4/14/2026 11:02:05 AM
! Stimulus(Hz),    S11(dB),           S21(dB),           S12(dB),           S22(dB),           S11(°),            S21(°),            S12(°),            S22(°)
9.00000000000E+03,+1.61305879746E-02,+9.55976096528E-01,-3.47666198266E+01,-2.44432713152E+00,+1.21894944124E-01,+2.33820178320E+01,-1.12148189084E+02,-1.13711985372E+02
9.24781195299E+03,+1.62110853633E-02,+1.05017597763E+00,-3.63876203804E+01,-2.62997757781E+00,+1.02866550854E-01,+2.26254906977E+01,-1.16268408083E+02,-1.16925907711E+02
9.49562390598E+03,+2.59501757509E-03,+1.08482729755E+00,-3.81093178677E+01,-2.63014653185E+00,-1.39129583464E-01,+2.20132013714E+01,-1.21387902671E+02,-1.17690113357E+02
9.74343585896E+03,-4.52261961460E-03,+1.09816150622E+00,-3.56432616685E+01,-2.61002811911E+00,+2.48920411265E-01,+2.14878263148E+01,-1.09321665418E+02,-1.18533241656E+02
9.99124781195E+03,-1.16488711052E-02,+1.17840572017E+00,-4.11343678406E+01,-2.67773409054E+00,-9.95055915655E-02,+2.10926654528E+01,-1.19793758104E+02,-1.20101828104E+02
1.02390597649E+04,+6.42954690436E-03,+1.20895251259E+00,-3.79127004387E+01,-2.83004767118E+00,-1.14061653178E-01,+2.07750277803E+01,-1.13182052368E+02,-1.21345334555E+02
1.04868717179E+04,+1.30438307066E-02,+1.26143039213E+00,-3.99831408740E+01,-2.78696767494E+00,+1.76407742538E-01,+2.01994262716E+01,-1.20934948913E+02,-1.23535944276E+02
1.07346836709E+04,+2.02348893249E-02,+1.31406947230E+00,-4.32008271535E+01,-2.80817793114E+00,-3.09946425693E-02,+1.96215540598E+01,-1.05451535983E+02,-1.23951138443E+02
1.09824956239E+04,+2.12596075605E-02,+1.32982335998E+00,-4.03583855531E+01,-2.89773947508E+00,+1.54465204212E-01,+1.95908383391E+01,-9.56446877044E+01,-1.24182130948E+02
1.12303075769E+04,-1.38914909325E-02,+1.34705902468E+00,-4.30770763366E+01,-2.90611895509E+00,-1.54500369442E-01,+1.90039486776E+01,-1.06276335687E+02,-1.25693287589E+02
1.14781195299E+04,-9.33299435362E-03,+1.34027799635E+00,-4.25083906316E+01,-2.92598480274E+00,+8.19625315807E-02,+1.86189629935E+01,-1.06096499322E+02,-1.27394978133E+02
1.17259314829E+04,-1.62781912824E-02,+1.37071347002E+00,-4.23579592926E+01,-2.98294125539E+00,+1.73483988357E-02,+1.81098158908E+01,-1.05812280266E+02,-1.27383626560E+02
1.19737434359E+04,+8.37068131733E-03,+1.45205399747E+00,-4.61364529399E+01,-3.02411189898E+00,+1.19097482313E-01,+1.79977270284E+01,-8.57802083191E+01,-1.29320176600E+02
1.22215553888E+04,+1.47266765802E-02,+1.49777373018E+00,-4.63345861299E+01,-2.93408298038E+00,-1.11418011236E-01,+1.74686329882E+01,-1.19018297650E+02,-1.29991169728E+02
