! CMT, S5085, 19027456, 23.4.5/2
! Date: 9/1/2026 1:16:31 PM
! Stimulus(Hz),    S11(dB),           S21(dB),           S12(dB),           S22(dB),           S11(°),            S21(°),            S12(°),            S22(°)
9.00000000000E+03,-2.09829146696E-02,-3.07842920494E+01,-3.08914249655E+01,-5.56010482902E-03,-1.56935671843E+00,+8.71029306536E+01,+8.77800868473E+01,-1.65547502572E+00
9.24781195299E+03,-1.46083106572E-02,-3.05305742762E+01,-3.06573682999E+01,-3.52497809115E-03,-1.65758131513E+00,+8.68709487905E+01,+8.77015953424E+01,-1.68918856872E+00
9.49562390598E+03,-1.03568736246E-02,-3.03143859544E+01,-3.04275897734E+01,-6.95537439946E-03,-1.71263923097E+00,+8.69856999062E+01,+8.76610445199E+01,-1.73506892129E+00
9.74343585896E+03,-1.11452668871E-02,-3.01136373771E+01,-3.02178597579E+01,-8.20000286699E-03,-1.75906942359E+00,+8.69589850362E+01,+8.76325767225E+01,-1.77058789833E+00
9.99124781195E+03,-1.12948042695E-02,-2.98913038601E+01,-2.99817141365E+01,-8.04099230037E-03,-1.79709788791E+00,+8.69809393015E+01,+8.76655492797E+01,-1.82907483738E+00
1.02390597649E+04,-8.93285698763E-03,-2.97084982917E+01,-2.98016719881E+01,-9.01543995153E-03,-1.85145173770E+00,+8.71161340403E+01,+8.75571141498E+01,-1.88491136654E+00
1.04868717179E+04,-9.28881440908E-03,-2.95022791093E+01,-2.95767829277E+01,-9.04606712360E-03,-1.89469143956E+00,+8.70979347252E+01,+8.75026333008E+01,-1.92821829584E+00
1.07346836709E+04,-9.24423128175E-03,-2.93069126003E+01,-2.93840359206E+01,-8.42248576069E-03,-1.92677147731E+00,+8.70440599069E+01,+8.75530645797E+01,-1.97678745762E+00
1.09824956239E+04,-9.16317098531E-03,-2.90997938781E+01,-2.91984149462E+01,-8.78572327894E-03,-1.99060530733E+00,+8.70004934421E+01,+8.75108840464E+01,-2.01710324522E+00
1.12303075769E+04,-1.06062656723E-02,-2.89153410960E+01,-2.89904009186E+01,-8.78687939721E-03,-2.03710068172E+00,+8.70966981059E+01,+8.74357983592E+01,-2.06972823318E+00
1.14781195299E+04,-1.28488259301E-02,-2.87378782654E+01,-2.88183563899E+01,-8.16989508284E-03,-2.05963448454E+00,+8.70660960917E+01,+8.75315367553E+01,-2.09690400337E+00
1.17259314829E+04,-1.15753958623E-02,-2.85569987527E+01,-2.86276846611E+01,-8.46884931139E-03,-2.11362037246E+00,+8.70152105448E+01,+8.74432468434E+01,-2.14887274278E+00
1.19737434359E+04,-1.15246450898E-02,-2.83735681904E+01,-2.84511842659E+01,-7.46535866347E-03,-2.15834201087E+00,+8.70188549819E+01,+8.73189125834E+01,-2.18334391307E+00
1.22215553888E+04,-1.27922925083E-02,-2.82194697480E+01,-2.82691926733E+01,-9.75263320994E-03,-2.20492877641E+00,+8.70360885677E+01,+8.73847439858E+01,-2.25155179559E+00
1.24693673418E+04,-1.07084361188E-02,-2.80413037332E+01,-2.81104726759E+01,-8.89019046444E-03,-2.26033242887E+00,+8.70136337526E+01,+8.73772594094E+01,-2.29266060006E+00
1.27171792948E+04,-1.12032745933E-02,-2.78576488733E+01,-2.79218226457E+01,-8.23448764722E-03,-2.30183092472E+00,+8.70421030516E+01,+8.73697345555E+01,-2.32600431974E+00
1.29649912478E+04,-1.22935700640E-02,-2.76962836278E+01,-2.77691506348E+01,-9.26264964802E-03,-2.33989398600E+00,+8.70363799475E+01,+8.72659510814E+01,-2.38841326476E+00
1.32128032008E+04,-1.26821438885E-02,-2.75292227988E+01,-2.75949263533E+01,-6.38727498008E-03,-2.40113152289E+00,+8.70546258322E+01,+8.72804310549E+01,-2.42378159304E+00
1.34606151538E+04,-1.27187385724E-02,-2.73809624664E+01,-2.74291239246E+01,-9.30762849158E-03,-2.42676568249E+00,+8.70714990173E+01,+8.72451064681E+01,-2.47945594101E+00
1.37084271068E+04,-1.40861838202E-02,-2.72231432765E+01,-2.72708372493E+01,-8.79231243893E-03,-2.49099481456E+00,+8.69056618872E+01,+8.71956558771E+01,-2.51117262326E+00
1.39562390598E+04,-1.29932043241E-02,-2.70674381365E+01,-2.71307577702E+01,-1.16908625037E-02,-2.52279291711E+00,+8.69808825436E+01,+8.71691146340E+01,-2.55891743596E+00
1.42040510128E+04,-1.29922695246E-02,-2.69131801973E+01,-2.69632517886E+01,-9.83830321099E-03,-2.57500425351E+00,+8.69089150797E+01,+8.71471061326E+01,-2.61133108701E+00
1.44518629657E+04,-1.22567120974E-02,-2.67671000129E+01,-2.67985218331E+01,-1.10828290264E-02,-2.61602889601E+00,+8.69124891913E+01,+8.70829452849E+01,-2.66256270241E+00
1.46996749187E+04,-1.33226450971E-02,-2.66245184297E+01,-2.66717296139E+01,-1.05467538946E-02,-2.65946138288E+00,+8.69418566373E+01,+8.71373818699E+01,-2.68502637710E+00
1.49474868717E+04,-1.34401551407E-02,-2.64782493483E+01,-2.65196781646E+01,-1.16596197095E-02,-2.70235359347E+00,+8.68789898323E+01,+8.70129017547E+01,-2.74772533462E+00
1.51952988247E+04,-1.42118386365E-02,-2.63314194469E+01,-2.63743357682E+01,-1.14119311489E-02,-2.74837367160E+00,+8.68691792661E+01,+8.70537892493E+01,-2.78502111154E+00
1.54431107777E+04,-1.51697148174E-02,-2.61919336916E+01,-2.62380428847E+01,-1.38851993731E-02,-2.79850863151E+00,+8.68387015395E+01,+8.69634259357E+01,-2.82870778240E+00
1.56909227307E+04,-1.38826786490E-02,-2.60577504543E+01,-2.61073214260E+01,-1.18248328294E-02,-2.84032146771E+00,+8.67885923564E+01,+8.69056236643E+01,-2.86066755490E+00
1.59387346837E+04,-1.38665853789E-02,-2.59248150273E+01,-2.59607140139E+01,-1.38515304033E-02,-2.88059673403E+00,+8.67548151789E+01,+8.69075032845E+01,-2.92257171881E+00
1.61865466367E+04,-1.50214458851E-02,-2.57883228575E+01,-2.58245156149E+01,-1.36797207806E-02,-2.93662854677E+00,+8.67494546616E+01,+8.68208318981E+01,-2.97245144038E+00
1.64343585896E+04,-1.51563995761E-02,-2.56506322930E+01,-2.56830784781E+01,-1.28028510229E-02,-2.98413652734E+00,+8.66591827324E+01,+8.68868115093E+01,-3.01488194523E+00
1.66821705426E+04,-1.60759447755E-02,-2.55268078072E+01,-2.55665508351E+01,-1.41391741281E-02,-3.02052403112E+00,+8.66909657637E+01,+8.67843143362E+01,-3.05350174576E+00
1.69299824956E+04,-1.56220203554E-02,-2.54055038577E+01,-2.54283480524E+01,-1.37801669962E-02,-3.06708199381E+00,+8.66215049445E+01,+8.68033222820E+01,-3.10442706308E+00
1.71777944486E+04,-1.74407799614E-02,-2.52838137677E+01,-2.53033491077E+01,-1.46060874996E-02,-3.11047134214E+00,+8.65279717356E+01,+8.66468705436E+01,-3.15357855558E+00
