! CMT, S5085, 19027456, 23.4.5/2
! Date: 9/1/2026 1:23:04 PM
! Stimulus(Hz),    S11(dB),           S21(dB),           S12(dB),           S22(dB),           S11(°),            S21(°),            S12(°),            S22(°)
9.00000000000E+03,-2.44784336338E-02,-3.09134216963E+01,-3.10260984456E+01,-6.93055521668E-03,-1.57005962054E+00,+8.70570262700E+01,+8.76030143792E+01,-1.66557392563E+00
9.24781195299E+03,-1.50297357993E-02,-3.06567317744E+01,-3.07821657904E+01,-5.10449708219E-03,-1.67263722763E+00,+8.68823891563E+01,+8.75129261099E+01,-1.70309737873E+00
9.49562390598E+03,-1.04808892214E-02,-3.04551728728E+01,-3.05559855377E+01,-7.88116345628E-03,-1.72942111542E+00,+8.69963041143E+01,+8.76314923164E+01,-1.74737410668E+00
9.74343585896E+03,-1.11582628283E-02,-3.02212881870E+01,-3.03404839288E+01,-9.53108998167E-03,-1.78249379600E+00,+8.68670840738E+01,+8.75779810433E+01,-1.79712438893E+00
9.99124781195E+03,-1.03106373696E-02,-3.00252875131E+01,-3.01208815372E+01,-7.67380532934E-03,-1.82180346074E+00,+8.69419572742E+01,+8.76071801424E+01,-1.85458603613E+00
1.02390597649E+04,-8.91029704989E-03,-2.98070284946E+01,-2.99213541284E+01,-1.02433241625E-02,-1.87606782443E+00,+8.69803281620E+01,+8.74618827081E+01,-1.90735937682E+00
1.04868717179E+04,-9.03344886331E-03,-2.96143478473E+01,-2.97037803038E+01,-8.06607895261E-03,-1.91771366493E+00,+8.71957773700E+01,+8.76261777451E+01,-1.95438340028E+00
1.07346836709E+04,-8.85788761687E-03,-2.94148463879E+01,-2.95230031809E+01,-7.69135244989E-03,-1.96691063558E+00,+8.69838116022E+01,+8.74732622958E+01,-1.99286896963E+00
1.09824956239E+04,-9.68184400193E-03,-2.92183202988E+01,-2.93219221273E+01,-7.42501882355E-03,-2.01385543918E+00,+8.69324145494E+01,+8.75843021536E+01,-2.04948657117E+00
1.12303075769E+04,-1.05367252530E-02,-2.90412596730E+01,-2.91249728275E+01,-7.75807725215E-03,-2.05730755969E+00,+8.69980440149E+01,+8.74401896005E+01,-2.09117638045E+00
1.14781195299E+04,-1.01276360220E-02,-2.88645985759E+01,-2.89362499765E+01,-9.07442888409E-03,-2.09324341100E+00,+8.70517127643E+01,+8.74619436877E+01,-2.12147398315E+00
1.17259314829E+04,-1.09340521374E-02,-2.86619822397E+01,-2.87577891658E+01,-8.62898991230E-03,-2.15175737938E+00,+8.70672920445E+01,+8.74028388576E+01,-2.16880994592E+00
1.19737434359E+04,-1.10060889583E-02,-2.84899243698E+01,-2.85718774914E+01,-7.07323290724E-03,-2.19605638901E+00,+8.70011461976E+01,+8.73230325967E+01,-2.20901404460E+00
1.22215553888E+04,-1.21593306019E-02,-2.83334786669E+01,-2.83890177947E+01,-1.00248208767E-02,-2.23005465120E+00,+8.70390673946E+01,+8.73941233640E+01,-2.28594271832E+00
1.24693673418E+04,-9.77946320062E-03,-2.81508932678E+01,-2.82296917347E+01,-1.02023021924E-02,-2.28896091323E+00,+8.70538585901E+01,+8.72656115963E+01,-2.31321219817E+00
1.27171792948E+04,-1.11305497741E-02,-2.79784548770E+01,-2.80575799083E+01,-8.72074394828E-03,-2.33924375913E+00,+8.69535274420E+01,+8.73473323510E+01,-2.34794024524E+00
1.29649912478E+04,-1.19027272111E-02,-2.78125226496E+01,-2.78875336081E+01,-8.00350957365E-03,-2.37534621991E+00,+8.70648856879E+01,+8.73644754646E+01,-2.41464417154E+00
1.32128032008E+04,-1.27339306100E-02,-2.76524427614E+01,-2.77134221158E+01,-5.32906202489E-03,-2.43042053065E+00,+8.69552461550E+01,+8.73245456677E+01,-2.45694368494E+00
1.34606151538E+04,-1.23760568105E-02,-2.74944897585E+01,-2.75522216077E+01,-8.36852779319E-03,-2.46530176049E+00,+8.69976306542E+01,+8.71957545997E+01,-2.51221705534E+00
1.37084271068E+04,-1.23689181604E-02,-2.73454104031E+01,-2.73985238381E+01,-8.59087918024E-03,-2.52670589371E+00,+8.69483686086E+01,+8.72065209684E+01,-2.54635280848E+00
1.39562390598E+04,-1.23474965074E-02,-2.71856541888E+01,-2.72395838218E+01,-1.09065969671E-02,-2.55973336348E+00,+8.69244035077E+01,+8.71650572427E+01,-2.60453830878E+00
1.42040510128E+04,-1.27167572844E-02,-2.70412110760E+01,-2.70855959071E+01,-1.07945769854E-02,-2.60865470125E+00,+8.68884441360E+01,+8.71316703351E+01,-2.64329634677E+00
1.44518629657E+04,-1.10652581598E-02,-2.68899659556E+01,-2.69370170451E+01,-9.73396121316E-03,-2.65517692283E+00,+8.69057882492E+01,+8.71263303830E+01,-2.69240133622E+00
1.46996749187E+04,-1.24499847116E-02,-2.67426109653E+01,-2.67916351300E+01,-1.09863243014E-02,-2.69792713098E+00,+8.69404197136E+01,+8.70941782832E+01,-2.72081209937E+00
1.49474868717E+04,-1.28090802325E-02,-2.66054978958E+01,-2.66384698054E+01,-1.08172010737E-02,-2.74325714767E+00,+8.68420005042E+01,+8.69906810750E+01,-2.78534894438E+00
