! CMT, S5085, 19027456, 23.4.5/2
! Date: 9/1/2026 1:29:16 PM
! Stimulus(Hz),    S11(dB),           S21(dB),           S12(dB),           S22(dB),           S11(°),            S21(°),            S12(°),            S22(°)
9.00000000000E+03,-2.47834943608E-02,-3.08915308307E+01,-3.10011271729E+01,-5.81304773213E-03,-1.57462356583E+00,+8.70582192595E+01,+8.75843718216E+01,-1.67499474890E+00
9.24781195299E+03,-1.48249836459E-02,-3.06748183246E+01,-3.08110991759E+01,-4.18534059023E-03,-1.67018821319E+00,+8.68240765803E+01,+8.78261010644E+01,-1.70536196744E+00
9.49562390598E+03,-1.11415741849E-02,-3.04583492360E+01,-3.05596635489E+01,-8.45894720118E-03,-1.73645812197E+00,+8.68451262126E+01,+8.76322224578E+01,-1.75255775162E+00
9.74343585896E+03,-1.04902241227E-02,-3.02451388134E+01,-3.03424245967E+01,-7.41525601848E-03,-1.78624299133E+00,+8.69794747644E+01,+8.77034185969E+01,-1.79505173079E+00
9.99124781195E+03,-9.64953610534E-03,-3.00278725006E+01,-3.01156341038E+01,-7.09113818097E-03,-1.81355237503E+00,+8.69486913317E+01,+8.78010530271E+01,-1.85030817137E+00
1.02390597649E+04,-8.67782704314E-03,-2.98151180055E+01,-2.99074891906E+01,-9.60082302005E-03,-1.88215075035E+00,+8.69504966129E+01,+8.75013093666E+01,-1.90454122342E+00
1.04868717179E+04,-8.68111172300E-03,-2.96161802901E+01,-2.97235300831E+01,-6.97430078944E-03,-1.91438948520E+00,+8.70296845653E+01,+8.75540153279E+01,-1.95664079068E+00
1.07346836709E+04,-8.57324739368E-03,-2.94196571594E+01,-2.95136065601E+01,-7.06741448287E-03,-1.95997910447E+00,+8.71723584414E+01,+8.76039651695E+01,-1.99090081950E+00
1.09824956239E+04,-1.07418979620E-02,-2.92230338706E+01,-2.93120694071E+01,-9.22704739857E-03,-2.01483865604E+00,+8.70316272977E+01,+8.73824428243E+01,-2.04358626842E+00
1.12303075769E+04,-1.06221291216E-02,-2.90404411140E+01,-2.91293511679E+01,-7.72978946532E-03,-2.06010632384E+00,+8.70138064147E+01,+8.75445835171E+01,-2.09150216331E+00
1.14781195299E+04,-1.06652406334E-02,-2.88588595756E+01,-2.89415446391E+01,-8.60600087171E-03,-2.08941056065E+00,+8.69885392242E+01,+8.74347913125E+01,-2.11916519022E+00
1.17259314829E+04,-1.18461911803E-02,-2.86679748314E+01,-2.87286554402E+01,-7.81915197483E-03,-2.14077964830E+00,+8.71112822162E+01,+8.74383728312E+01,-2.16757312355E+00
1.19737434359E+04,-1.03951556116E-02,-2.84897376930E+01,-2.85576064040E+01,-5.63532452129E-03,-2.19279220197E+00,+8.70519936843E+01,+8.73974103321E+01,-2.19957109042E+00
