! CMT, S5085, 19027456, 23.4.5/2
! Date: 9/1/2026 1:34:11 PM
! Stimulus(Hz),    S11(dB),           S21(dB),           S12(dB),           S22(dB),           S11(°),            S21(°),            S12(°),            S22(°)
9.00000000000E+03,-2.44265547711E-02,-3.08843002361E+01,-3.10211556431E+01,-5.63851648418E-03,-1.56925243727E+00,+8.69318416657E+01,+8.77551102822E+01,-1.66927992113E+00
9.24781195299E+03,-1.64401421678E-02,-3.06525460855E+01,-3.07762801613E+01,-3.17093796115E-03,-1.68667269294E+00,+8.71597854832E+01,+8.75825794634E+01,-1.70498951773E+00
9.49562390598E+03,-1.12317451775E-02,-3.04929398573E+01,-3.05465671066E+01,-7.54980419165E-03,-1.73920267795E+00,+8.69682529635E+01,+8.76290779630E+01,-1.74953682428E+00
9.74343585896E+03,-1.04602676978E-02,-3.02388766596E+01,-3.03404585573E+01,-8.18224568715E-03,-1.77725038104E+00,+8.69499502327E+01,+8.76256458924E+01,-1.79251257284E+00
9.99124781195E+03,-9.48004193250E-03,-3.00073414315E+01,-3.01298679311E+01,-7.43864302292E-03,-1.81470992068E+00,+8.69135829115E+01,+8.75392111711E+01,-1.84129082548E+00
1.02390597649E+04,-8.92642452491E-03,-2.98285707469E+01,-2.99060363769E+01,-1.02998132665E-02,-1.87771140921E+00,+8.70077835472E+01,+8.75416940653E+01,-1.90739223539E+00
1.04868717179E+04,-8.43047782047E-03,-2.96328360216E+01,-2.97143104833E+01,-8.81931928475E-03,-1.91545589694E+00,+8.70743231832E+01,+8.77325407235E+01,-1.94224302093E+00
1.07346836709E+04,-1.06724493368E-02,-2.94425185639E+01,-2.94990702720E+01,-7.71164532817E-03,-1.96234729975E+00,+8.70519612592E+01,+8.77197651180E+01,-1.98771761496E+00
1.09824956239E+04,-1.00344435834E-02,-2.92140636896E+01,-2.93296630225E+01,-8.16029874254E-03,-2.01991282714E+00,+8.69221538789E+01,+8.74726638523E+01,-2.04254086302E+00
1.12303075769E+04,-1.07741995375E-02,-2.90360998543E+01,-2.91300210042E+01,-7.66694635232E-03,-2.05848976788E+00,+8.70145556168E+01,+8.74447325894E+01,-2.08605389715E+00
1.14781195299E+04,-1.09499406847E-02,-2.88526220215E+01,-2.89446074127E+01,-7.57528352897E-03,-2.09558188870E+00,+8.69723685860E+01,+8.74651743698E+01,-2.12084378198E+00
1.17259314829E+04,-1.00749766692E-02,-2.86674345921E+01,-2.87629477328E+01,-8.19173566275E-03,-2.14899575598E+00,+8.70579963484E+01,+8.73768737483E+01,-2.16487033877E+00
1.19737434359E+04,-1.09339754681E-02,-2.84839328419E+01,-2.85721375859E+01,-5.64025956707E-03,-2.19314550899E+00,+8.70929800826E+01,+8.74294600025E+01,-2.21061023678E+00
1.22215553888E+04,-1.24329690192E-02,-2.83290435443E+01,-2.83991880265E+01,-7.17671601713E-03,-2.23265056274E+00,+8.70722965845E+01,+8.74939668989E+01,-2.27591950401E+00
1.24693673418E+04,-1.03004468159E-02,-2.81572022175E+01,-2.82221973278E+01,-8.46609736187E-03,-2.28221965596E+00,+8.69596519664E+01,+8.73584170700E+01,-2.31531421253E+00
1.27171792948E+04,-1.11041587697E-02,-2.79793606641E+01,-2.80497595517E+01,-6.70489169096E-03,-2.33750157701E+00,+8.69749783172E+01,+8.74037708770E+01,-2.34761099749E+00
1.29649912478E+04,-1.11543699691E-02,-2.78130714247E+01,-2.78913375608E+01,-7.98101039045E-03,-2.37305293898E+00,+8.70416542847E+01,+8.72327691863E+01,-2.40800422897E+00
1.32128032008E+04,-1.24575135894E-02,-2.76523675867E+01,-2.77169196877E+01,-6.82188581214E-03,-2.43502183492E+00,+8.70128844028E+01,+8.72734759451E+01,-2.44972046575E+00
1.34606151538E+04,-1.22933202207E-02,-2.74921810808E+01,-2.75530605689E+01,-6.85668743211E-03,-2.46517726130E+00,+8.69987028566E+01,+8.72249738104E+01,-2.50119729516E+00
1.37084271068E+04,-1.22983679889E-02,-2.73388850479E+01,-2.74027330599E+01,-8.39067819630E-03,-2.52935728817E+00,+8.69642816546E+01,+8.71959035302E+01,-2.53009310381E+00
1.39562390598E+04,-1.21647640974E-02,-2.71856186833E+01,-2.72435581203E+01,-9.92442264770E-03,-2.56010832155E+00,+8.69495499822E+01,+8.71659783150E+01,-2.58545144268E+00
1.42040510128E+04,-1.18841118347E-02,-2.70429033968E+01,-2.70878052005E+01,-1.07240736701E-02,-2.61110715158E+00,+8.68040383601E+01,+8.71012841669E+01,-2.63775666528E+00
1.44518629657E+04,-1.07641677897E-02,-2.68971997073E+01,-2.69338873118E+01,-8.52855165583E-03,-2.65275814284E+00,+8.69266637879E+01,+8.71399522371E+01,-2.68325086686E+00
1.46996749187E+04,-1.27004794157E-02,-2.67519787824E+01,-2.67973692294E+01,-9.68181930291E-03,-2.70012918337E+00,+8.69586263559E+01,+8.70647477326E+01,-2.71977847955E+00
1.49474868717E+04,-1.24531493886E-02,-2.66010297190E+01,-2.66357886655E+01,-1.11692112567E-02,-2.74913079650E+00,+8.68762059011E+01,+8.70272101517E+01,-2.78181362674E+00
