! CMT, S5085, 19027456, 23.4.5/2
! Date: 9/2/2026 11:19:46 AM
! Stimulus(Hz),    S11(dB),           S21(dB),           S12(dB),           S22(dB),           S11(°),            S21(°),            S12(°),            S22(°)
9.00000000000E+03,-3.72506239467E+00,-4.29357278963E+00,-8.36597191286E+00,-4.84460036238E-01,-9.44536589268E-02,-7.45634434263E+01,-2.65803916437E+01,+2.97441370371E+01
9.24781195299E+03,-3.82170101845E+00,-4.34777804671E+00,-8.28801166033E+00,-3.56541941440E-01,-1.29349245402E+00,-7.63134587670E+01,-2.51465152611E+01,+2.90026187532E+01
9.49562390598E+03,-3.92116695194E+00,-4.42411695365E+00,-8.18209807945E+00,-2.39251161429E-01,-2.39810971490E+00,-7.79271312262E+01,-2.38023876817E+01,+2.82885678017E+01
9.74343585896E+03,-4.04723762194E+00,-4.48216598114E+00,-8.05685048256E+00,-1.13516395632E-01,-3.41248724908E+00,-7.96497032441E+01,-2.25933250645E+01,+2.74827602388E+01
9.99124781195E+03,-4.17590704137E+00,-4.53993248060E+00,-7.89734921135E+00,+1.20403218398E-02,-4.40351241904E+00,-8.13069264480E+01,-2.15548698149E+01,+2.67223694514E+01
1.02390597649E+04,-4.31270713450E+00,-4.60972416910E+00,-7.73085742022E+00,+1.25183060865E-01,-5.29520562836E+00,-8.30940516385E+01,-2.07049989782E+01,+2.59007999327E+01
1.04868717179E+04,-4.45479460286E+00,-4.68979183472E+00,-7.54200394825E+00,+2.34272428460E-01,-6.15638604067E+00,-8.47462814435E+01,-1.99290266896E+01,+2.50785130175E+01
1.07346836709E+04,-4.60714262334E+00,-4.76702715421E+00,-7.34632580310E+00,+3.41942562460E-01,-6.86089966103E+00,-8.66188852745E+01,-1.94055362250E+01,+2.42368823343E+01
1.09824956239E+04,-4.77131427852E+00,-4.83290511090E+00,-7.13752234813E+00,+4.44923210235E-01,-7.57356710849E+00,-8.83890049675E+01,-1.90359851677E+01,+2.33896012573E+01
1.12303075769E+04,-4.94567519516E+00,-4.91050756790E+00,-6.91812006155E+00,+5.49359246581E-01,-8.17372463318E+00,-9.01100910470E+01,-1.88809751674E+01,+2.25382719929E+01
1.14781195299E+04,-5.11950836155E+00,-4.99135776008E+00,-6.70499951325E+00,+6.44760019749E-01,-8.64718835340E+00,-9.19038592424E+01,-1.87894948387E+01,+2.16612885585E+01
1.17259314829E+04,-5.30207543662E+00,-5.06987225407E+00,-6.47632979004E+00,+7.39530009564E-01,-9.09291057223E+00,-9.36806775764E+01,-1.89164534590E+01,+2.07840537352E+01
1.19737434359E+04,-5.48852336415E+00,-5.15531025570E+00,-6.26527128706E+00,+8.30891209693E-01,-9.40986794358E+00,-9.55395959667E+01,-1.91334711673E+01,+1.98770126191E+01
1.22215553888E+04,-5.67851078744E+00,-5.25284466516E+00,-6.05167427190E+00,+9.08595012140E-01,-9.67874122575E+00,-9.73303393073E+01,-1.94896092245E+01,+1.89181081463E+01
1.24693673418E+04,-5.86664758632E+00,-5.33864886116E+00,-5.84619275608E+00,+9.90462841815E-01,-9.80093086232E+00,-9.91667821720E+01,-2.00004850638E+01,+1.79895878192E+01
1.27171792948E+04,-6.07496422318E+00,-5.42681866723E+00,-5.63423975760E+00,+1.06478010229E+00,-9.88209771348E+00,-1.00979650319E+02,-2.06035092991E+01,+1.70286298480E+01
1.29649912478E+04,-6.26685052384E+00,-5.53205668154E+00,-5.44173752865E+00,+1.13470110938E+00,-9.77734197935E+00,-1.02777321060E+02,-2.13143318522E+01,+1.60525378423E+01
1.32128032008E+04,-6.47002533573E+00,-5.62505150968E+00,-5.25069040222E+00,+1.19684977033E+00,-9.63764139201E+00,-1.04586947795E+02,-2.21139426093E+01,+1.50795533834E+01
1.34606151538E+04,-6.66130717025E+00,-5.72789796093E+00,-5.06539887609E+00,+1.25512096639E+00,-9.33234936310E+00,-1.06329833127E+02,-2.29965487708E+01,+1.40893579957E+01
1.37084271068E+04,-6.85945632988E+00,-5.83269200087E+00,-4.89264454939E+00,+1.30666084395E+00,-8.93900825287E+00,-1.08201666597E+02,-2.39533115683E+01,+1.31091175616E+01
