! CMT, S5085, 19027456, 23.4.5/2
! Date: 9/1/2026 1:45:12 PM
! Stimulus(Hz),    S11(dB),           S21(dB),           S12(dB),           S22(dB),           S11(°),            S21(°),            S12(°),            S22(°)
9.00000000000E+03,-2.30266936970E-02,-6.61219569400E+01,-9.31335522405E+01,-3.95127059304E-03,-3.17068160164E+00,+4.58231510759E+01,+6.25234226230E+01,-3.29943597257E+00
9.24781195299E+03,-1.29232650864E-02,-6.48467108786E+01,-8.15061489239E+01,-1.65742135911E-03,-3.32979371432E+00,+3.40121576960E+01,+2.87470874157E+01,-3.38873715448E+00
9.49562390598E+03,-7.55051391421E-03,-6.63708783818E+01,-8.56082733988E+01,-6.05829721125E-03,-3.43076585695E+00,+2.92896717913E+01,-5.64782658576E+00,-3.47799201836E+00
9.74343585896E+03,-8.99903261251E-03,-6.69420166026E+01,-8.15067169012E+01,-5.98010615222E-03,-3.52849563690E+00,+3.81459128553E+01,+7.62869645020E+00,-3.56012712252E+00
9.99124781195E+03,-7.37375910255E-03,-6.74272559090E+01,-8.16916797897E+01,-5.53081786834E-03,-3.60130663581E+00,+2.99275696776E+01,+2.76912355474E+01,-3.67110482230E+00
1.02390597649E+04,-6.93424346439E-03,-6.84715666530E+01,-8.67946390717E+01,-5.85380967932E-03,-3.70758780712E+00,+3.14666735570E+01,-1.57187182336E+00,-3.77374325119E+00
1.04868717179E+04,-5.85699313395E-03,-6.92746733764E+01,-8.47521585666E+01,-4.23484766970E-03,-3.78917730526E+00,+3.19528473623E+01,+1.49711111681E+01,-3.85525797847E+00
1.07346836709E+04,-6.20680006843E-03,-6.93108739024E+01,-8.81907941162E+01,-3.13343151575E-03,-3.87902165881E+00,+3.41176804947E+01,-6.85939943920E+01,-3.94317884278E+00
1.09824956239E+04,-6.54550457831E-03,-6.91312900643E+01,-8.60151311151E+01,-4.58934485357E-03,-3.97437544052E+00,+2.55885998072E+01,-7.23799097587E+01,-4.04280201431E+00
1.12303075769E+04,-7.21637774588E-03,-7.04942425643E+01,-8.41702402638E+01,-3.43189307013E-03,-4.06546134515E+00,+3.02264164295E+01,-7.67556732580E+01,-4.13720791950E+00
1.14781195299E+04,-6.29915231251E-03,-7.04910557320E+01,-8.63583114624E+01,-5.09595785281E-03,-4.14344269808E+00,+3.05182673312E+01,-6.60270241381E+01,-4.20037547762E+00
1.17259314829E+04,-7.47826109349E-03,-7.22319456164E+01,-8.01036163997E+01,-3.45574588612E-03,-4.24274223614E+00,+3.05036003700E+01,-6.35231796679E+01,-4.29565366024E+00
1.19737434359E+04,-6.88932331450E-03,-7.10146144090E+01,-8.61694612216E+01,-1.03133470561E-03,-4.32883603439E+00,+1.20576640884E+01,-1.25353032785E+02,-4.38380268734E+00
