! CMT, S5085, 19027456, 23.4.5/2
! Date: 9/1/2026 1:39:01 PM
! Stimulus(Hz),    S11(dB),           S21(dB),           S12(dB),           S22(dB),           S11(°),            S21(°),            S12(°),            S22(°)
9.00000000000E+03,-2.33142127168E-02,-6.58820924978E+01,-7.96638505864E+01,-5.50609469113E-03,-3.17618538556E+00,+4.13168044828E+01,+2.57430436706E+01,-3.30501660047E+00
9.24781195299E+03,-1.30866189351E-02,-6.49521553233E+01,-9.55462346005E+01,-2.83505418345E-03,-3.32722567656E+00,+3.31480433163E+01,+6.30882798324E+01,-3.38485387743E+00
9.49562390598E+03,-9.75162442470E-03,-6.60105349040E+01,-8.41511910486E+01,-5.75344163175E-03,-3.43256089423E+00,+3.31969305323E+01,+7.89687175171E+01,-3.47835041316E+00
9.74343585896E+03,-9.02297839009E-03,-6.64205131683E+01,-8.45990798242E+01,-6.22237732949E-03,-3.52818418106E+00,+3.03112997013E+01,+5.00835759590E+01,-3.55431892732E+00
9.99124781195E+03,-7.83945152846E-03,-6.84360668256E+01,-8.48186993734E+01,-4.98478980975E-03,-3.60008549763E+00,+2.83356055675E+01,+4.42794160020E+01,-3.65838224536E+00
1.02390597649E+04,-7.21260693951E-03,-6.83093289841E+01,-8.22787710594E+01,-6.80873909946E-03,-3.70706008023E+00,+2.63454240304E+01,-3.31014688183E+01,-3.76374304417E+00
1.04868717179E+04,-5.50969196212E-03,-6.85903001790E+01,-8.65383924640E+01,-5.35383694861E-03,-3.78896373462E+00,+3.23797344336E+01,+2.05276903993E+01,-3.85087648759E+00
1.07346836709E+04,-6.48085458866E-03,-6.89650232606E+01,-9.05783821083E+01,-4.38988498694E-03,-3.87641904327E+00,+2.95380562849E+01,-1.80620783231E+01,-3.94507935554E+00
1.09824956239E+04,-6.10802037126E-03,-6.90241231924E+01,-8.45274521932E+01,-5.46833120072E-03,-3.97535684454E+00,+1.66098916875E+01,-2.11242860719E+01,-4.02697513546E+00
1.12303075769E+04,-7.22345016888E-03,-6.93816094593E+01,-8.23989671846E+01,-5.26975854730E-03,-4.06143464823E+00,+3.00062647086E+01,-9.36464362842E+01,-4.12648364829E+00
1.14781195299E+04,-7.13456877683E-03,-6.94320588221E+01,-8.46788700062E+01,-3.90920641414E-03,-4.14471739273E+00,+3.15748893971E+01,-6.77499606090E+01,-4.20591702957E+00
1.17259314829E+04,-7.68318210325E-03,-7.08934811388E+01,-8.30859401025E+01,-4.31577903379E-03,-4.23966574872E+00,+2.64919073219E+01,-5.52489845661E+01,-4.30174552473E+00
1.19737434359E+04,-6.37893493380E-03,-7.27369584612E+01,-8.19221771739E+01,-1.31029693405E-03,-4.33048573676E+00,+2.40534922499E+01,-7.72512664426E+01,-4.38038690803E+00
1.22215553888E+04,-8.38465402488E-03,-7.42874849300E+01,-8.61681499045E+01,-2.67455211421E-03,-4.41431424124E+00,+2.05236821681E+01,-1.13356300811E+02,-4.48647363602E+00
1.24693673418E+04,-5.94009492793E-03,-7.55569881766E+01,-8.49490987342E+01,-4.33681173852E-03,-4.51138405791E+00,+1.95600861540E+01,-1.33309097161E+02,-4.58256878354E+00
1.27171792948E+04,-6.56547686240E-03,-7.56263521251E+01,-7.92487651324E+01,-4.09799029452E-03,-4.61397285349E+00,+8.48478656866E+00,-1.21284982377E+02,-4.66336159645E+00
1.29649912478E+04,-7.12275970457E-03,-7.67580393480E+01,-8.22954496843E+01,-3.80393134406E-03,-4.68197567250E+00,+3.83249550455E+00,-1.18226373347E+02,-4.77480718128E+00
1.32128032008E+04,-7.84889557173E-03,-8.49669032480E+01,-7.75095874801E+01,-1.10324710108E-03,-4.79286690891E+00,+3.58453069412E+01,-1.22016599829E+02,-4.85278525199E+00
1.34606151538E+04,-6.31048311898E-03,-7.74121715490E+01,-7.68345137226E+01,-1.12014502813E-03,-4.86470663475E+00,-1.93653963697E+01,-1.23754266208E+02,-4.95399555109E+00
1.37084271068E+04,-7.49518152940E-03,-8.13349587991E+01,-7.63270037567E+01,-3.06365962913E-03,-4.97808671579E+00,-1.61792113100E+01,-1.12855848980E+02,-5.02885824459E+00
1.39562390598E+04,-7.18460995810E-03,-8.38969852189E+01,-7.61074342048E+01,-6.20067758259E-03,-5.05322591304E+00,-4.55223902012E+01,-1.18889812244E+02,-5.13057544837E+00
1.42040510128E+04,-6.15158342796E-03,-8.34020855071E+01,-7.60301860003E+01,-5.39049938134E-03,-5.14383635676E+00,-4.60495131777E+01,-1.37384510955E+02,-5.21853860649E+00
1.44518629657E+04,-5.40764102678E-03,-8.82482149325E+01,-7.50565752861E+01,-3.22560592669E-03,-5.24079643307E+00,-6.36918833698E+01,-1.32354825125E+02,-5.31063690877E+00
